회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS연결),매출액(수익)(*)(IFRS연결),당기순이익(손실)(IFRS연결)
(주)CMG제약,058820,2010/12,-7537071,11350419,-6945220
(주)CMG제약,058820,2011/12,640283,17751704,-1508282
(주)CMG제약,058820,2012/12,-4205503,16255389,-6660149
(주)CMG제약,058820,2013/12,791250,20402140,296181
(주)CMG제약,058820,2014/12,442322,22752584,158039
(주)CMG제약,058820,2015/12,-2572168,27041894,-3650091
(주)CMG제약,058820,2016/12,1730753,32969825,1727895
(주)CMG제약,058820,2017/12,1558607,41535588,2834901
(주)CMG제약,058820,2018/12,2567820,49864782,6065026
(주)CMG제약,058820,2019/12,2603774,58622681,3051177
(주)CMG제약,058820,2020/12,,,
(주)DB하이텍,000990,2010/12,-378471909,620043034,-191152903
(주)DB하이텍,000990,2011/12,-43150444,552216245,-97946584
(주)DB하이텍,000990,2012/12,-15621631,590786488,-31341318
(주)DB하이텍,000990,2013/12,-9610612,493752028,-83046768
(주)DB하이텍,000990,2014/12,45560248,567718224,-77008844
(주)DB하이텍,000990,2015/12,124968815,666594987,126733352
(주)DB하이텍,000990,2016/12,172427930,773140180,88344018
(주)DB하이텍,000990,2017/12,143195168,679737744,110175089
(주)DB하이텍,000990,2018/12,112993143,669279136,86828768
(주)DB하이텍,000990,2019/12,181292188,807416423,104637012
(주)DB하이텍,000990,2020/12,239335181,935919766,166025591
(주)ES큐브,050120,2010/12,-533613,43887335,-1632071
(주)ES큐브,050120,2011/12,-3650245,53379952,-4796438
(주)ES큐브,050120,2012/12,89337,55971147,-359216
(주)ES큐브,050120,2013/12,-1164611,58597361,-16455910
(주)ES큐브,050120,2014/12,171090,44459581,-615409
(주)ES큐브,050120,2015/12,-4060426,42152967,-2307159
(주)ES큐브,050120,2016/12,2161041,34289385,21541047
(주)ES큐브,050120,2017/12,2248520,35745794,1737925
(주)ES큐브,050120,2018/12,-1211129,33763508,-6121462
(주)ES큐브,050120,2019/12,-2617071,43708239,-13767748
(주)ES큐브,050120,2020/12,10315988,80672425,-25292140
(주)HJ중공업,097230,2010/12,119726000,3167774000,-72295000
(주)HJ중공업,097230,2011/12,107974000,2891499000,-96920000
(주)HJ중공업,097230,2012/12,52914000,2549319000,-53214000
(주)HJ중공업,097230,2013/12,-69574000,2529341000,-190193000
(주)HJ중공업,097230,2014/12,-144988000,2520325000,-299811000
(주)HJ중공업,097230,2015/12,-79370000,3115473000,-260925000
(주)HJ중공업,097230,2016/12,-79319000,2813271000,-334446000
(주)HJ중공업,097230,2017/12,-116693000,2452314000,-277978000
(주)HJ중공업,097230,2018/12,61676000,1697869000,-1283647000
(주)HJ중공업,097230,2019/12,83839000,1628751000,306169000
(주)HJ중공업,097230,2020/12,51629000,1695815000,78346000
(주)MH에탄올,023150,2010/12,3448726,55048463,-1792566
(주)MH에탄올,023150,2011/12,603258,44785159,-4357312
(주)MH에탄올,023150,2012/12,5451733,59768175,287369
(주)MH에탄올,023150,2013/12,3009741,62199887,7028234
(주)MH에탄올,023150,2014/12,8744851,48983781,-203193
(주)MH에탄올,023150,2015/12,11092013,50386203,7778593
(주)MH에탄올,023150,2016/12,11874476,48897025,8144684
(주)MH에탄올,023150,2017/12,8116711,51977132,4308068
(주)MH에탄올,023150,2018/12,1228204,72795863,-12033428
(주)MH에탄올,023150,2019/12,7829103,80879342,-7552043
(주)MH에탄올,023150,2020/12,15781923,94645239,3802823
(주)SH에너지화학,002360,2010/12,-6800536,150630768,-6500918
(주)SH에너지화학,002360,2011/12,4165988,173209351,1800972
(주)SH에너지화학,002360,2012/12,2183184,193950102,210854
(주)SH에너지화학,002360,2013/12,6424227,231912218,4606872
(주)SH에너지화학,002360,2014/12,21271907,230912587,16733050
(주)SH에너지화학,002360,2015/12,22950175,216441364,12590617
(주)SH에너지화학,002360,2016/12,24101160,218397677,18028878
(주)SH에너지화학,002360,2017/12,14181936,188114822,9879057
(주)SH에너지화학,002360,2018/12,2100669,183598766,2033570
(주)SH에너지화학,002360,2019/12,-3131128,140852575,-3090151
(주)SH에너지화학,002360,2020/12,-7851791,93584262,-6945600
(주)SIMPAC,009160,2010/12,21538801,181795010,20514721
(주)SIMPAC,009160,2011/12,27346333,215365697,24976613
(주)SIMPAC,009160,2012/12,25191277,225353321,19285856
(주)SIMPAC,009160,2013/12,23599349,205751154,20043596
(주)SIMPAC,009160,2014/12,17341900,263152264,14312319
(주)SIMPAC,009160,2015/12,21241031,269528038,16449973
(주)SIMPAC,009160,2016/12,23566192,267074156,16183843
(주)SIMPAC,009160,2017/12,11697915,230634812,12895699
(주)SIMPAC,009160,2018/12,10190572,306150809,69198558
(주)SIMPAC,009160,2019/12,11141319,430085162,9487516
(주)SIMPAC,009160,2020/12,7787378,365863303,34139484
(주)SNT에너지,100840,2010/12,,,
(주)SNT에너지,100840,2011/12,,,
(주)SNT에너지,100840,2012/12,,,
(주)SNT에너지,100840,2013/12,,,
(주)SNT에너지,100840,2014/12,,,
(주)SNT에너지,100840,2015/12,,,
(주)SNT에너지,100840,2016/12,,,
(주)SNT에너지,100840,2017/12,,,
(주)SNT에너지,100840,2018/12,,,
(주)SNT에너지,100840,2019/12,17473548,213326726,15452273
(주)SNT에너지,100840,2020/12,23125971,237399736,9787541
