종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"238200","비피도","KOSDAQ","기술성장기업부","기술성장기업","031007","기타 식품 제조업","12",,"8180000","500","4090000000","원(KRW)","신용철","033-435-4962","강원도 홍천군 홍천읍 농공단지길 23-16 "
"092040","아미코젠","KOSDAQ","기술성장기업부","기술성장기업","031007","기타 식품 제조업","12",,"19754708","500","9877354000","원(KRW)","신용철","055-759-6161","경상남도 진주시 문산읍 월아산로950번길 14-10 아미코젠 문산 1공장 "
"377220","프롬바이오","KOSDAQ","기술성장기업부","이익미실현기업","031007","기타 식품 제조업","12",,"14155000","100","1415500000","원(KRW)","심태진","031-695-8200","경기도 수원시 영통구 신원로 88 디지털엠파이어2, 104동 102호 "
"276730","제주맥주","KOSDAQ","기술성장기업부","이익미실현기업","031101","알코올음료 제조업","12",,"57171671","500","28585835500","원(KRW)","문혁기","064-798-9800","제주특별자치도 제주시 한림읍 금능농공길 62-11 "
"352700","씨앤투스성진","KOSDAQ","기술성장기업부","이익미실현기업","031309","기타 섬유제품 제조업","12",,"28276899","500","14336649500","원(KRW)","하춘욱","02-585-5915","부산광역시 강서구 녹산산업중로192번길 24 "
"357550","석경에이티","KOSDAQ","기술성장기업부","기술성장기업","032001","기초 화학물질 제조업","12",,"5455000","500","2727500000","원(KRW)","임형섭","031-493-0955","경기도 안산시 단원구 별망로459번길 24 "
"365340","성일하이텍","KOSDAQ","기술성장기업부","이익미실현기업","032001","기초 화학물질 제조업","12",,"11613649","500","5806824500","원(KRW)","이강명","063-466-9200","전라북도 군산시 군산산단로 143-12 "
"286750","나노브릭","KOSDAQ","기술성장기업부","기술성장기업","032001","기초 화학물질 제조업","12",,"20464549","500","10232274500","원(KRW)","주재현","031-663-9420","경기도 평택시 산단로52번길 68 "
"239890","피엔에이치테크","KOSDAQ","기술성장기업부","기술성장기업","032001","기초 화학물질 제조업","12",,"9206632","500","4603316000","원(KRW)","현서용","031-8021-1890","경기도 용인시 기흥구 동백중앙로16번길 16-25, 804호(중동, 대우프론티어밸리 1단지) &nbsp"
"110020","전진바이오팜","KOSDAQ","기술성장기업부","기술성장기업","032004","기타 화학제품 제조업","12",,"6840000","500","3420000000","원(KRW)","이태훈","053-593-7191","대구광역시 달서구 성서공단북로 295 - "
"112290","영창케미칼","KOSDAQ","기술성장기업부","기술성장기업","032004","기타 화학제품 제조업","12",,"10110545","1000","10262465000","원(KRW)","이성일, 이승훈","054-930-2500","경상북도 성주군 선남면 유서리길 174-12 &nbsp"
"214260","라파스","KOSDAQ","기술성장기업부","기술성장기업","032004","기타 화학제품 제조업","12",,"8617416","500","4308708000","원(KRW)","정도현","02-392-3011","서울특별시 강서구 마곡중앙8로1길 62 라파스 &nbsp;"
"294140","레몬","KOSDAQ","기술성장기업부","기술성장기업","032005","화학섬유 제조업","12",,"37000000","500","18500000000","원(KRW)","김광진","054-470-8800","경상북도 구미시 산동면 산호대로 1105-65 "
"182400","엔케이맥스","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"39647120","500","19823560000","원(KRW)","박상우","031-603-9218","경기도 성남시 분당구 돌마로 172 정자동, 헬스케어혁신파크 1층및6층 "
"288330","브릿지바이오테라퓨틱스","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"19896425","500","9948212500","원(KRW)","이정규","031-8092-3280","경기도 성남시 분당구 판교로 255번길 58, 303호 (삼평동, 씨즈타워) "
"331920","셀레믹스","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"8164148","500","4082074000","원(KRW)","김효기, 이용훈","02-6746-8067","서울특별시 금천구 가산디지털1로 131, A동 19층 및 20층 2004호 외 &nbsp"
"196300","애니젠","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"5602556","500","2801278000","원(KRW)","김재일","062-714-1166","광주광역시 북구 첨단과기로 333 광주테크노파크 시험생산동 206호 &nbsp"
"251120","바이오에프디엔씨","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"8695700","500","4347850000","원(KRW)","모상현, 정대현","032-811-2027","인천광역시 연수구 송도미래로 30 A동 509호, 510호, 511호"
"086820","바이오솔루션","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"8143426","500","4071713000","원(KRW)","장송선","02-3446-8884","서울특별시 서초구 논현로 121 두일빌딩 1층,3~8층(양재동) "
"310210","보로노이","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"12645869","500","6322934500","원(KRW)","김현태","032-830-4855","인천광역시 연수구 송도과학로 32 에스동 18층 "
"298380","에이비엘바이오","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"47658014","500","23829007000","원(KRW)","이상훈","031-8018-9800","경기도 성남시 분당구 대왕판교로 712번길 16, 2층(삼평동) "
"183490","엔지켐생명과학","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"84288078","500","42144039000","원(KRW)","손기영","043-652-2845","충청북도 제천시 바이오밸리로 59 &nbsp"
"048530","인트론바이오","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"34150762","500","17075381000","원(KRW)","윤성준, 윤경원(각자대표)","031-739-5678","경기도 성남시 중원구  사기막골로 137 중앙인더스피아 5차 701~704호"
"263050","유틸렉스","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"36758355","500","18379177500","원(KRW)","권병세, 최수영","02-3402-7314","서울특별시 금천구 가산디지털1로 58 408호 (가산동, 에이스한솔타워)"
"087010","펩트론","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"20626853","500","10313426500","원(KRW)","최호일","042-360-8880","대전광역시 유성구 유성대로1628번길 37-24 "
"225220","제놀루션","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"9590835","500","4795417500","원(KRW)","김기옥","02-449-8670","서울특별시 강서구 마곡중앙8로3길 63 (주)제놀루션"
"244460","올리패스","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"27424804","500","13712402000","원(KRW)","정신","02-6488-2200","경기도 용인시 기흥구 동백중앙로16번길 16-4 에이스동백타워1동 20층"
