,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률
1,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,109.1471192,-341.5718679,75.17050474,-8.429134465,-0.74,-756.8194064,-25.87,-40.97,-15.78,-9.96,-16.95,-26.84,2.53,140.55,-165.71,246.1985014,-100.872314,-23.81776809,478.648111,-4.31,55.31740849,693.49,649.98,68.81,323.41,80.77,-7.75,-8.1,-11.83,-3.62,-12.71,7.330001366,0.47,2.89,10.67,1.66,1749.845902,-0.657014925,69.13432836,18.56217164,425.2910448,0.39,0.655129899,0.93,0.52,0.57,5.71,1.85,0.42
7,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,113.9413687,6.164569375,20.05315057,11.0,64.75096031,5.15,12.16,5.42,2.29,2.54,6.01,-1.01,92.86,2.22,457.9487933,55.70005978,8.1440118,954.9511603,90.99,90.90921061,957.86,856.94,158.5,414.65,10.0,50.08571429,13.63,0.0,1.24,2.84,11.76334853,14.73,106.25,478.91,33.79,67.32648173,75.89031532,77.78828829,14.95242342,515.2252252,0.45,0.493891974,4.53,0.61,0.68,6.05,3.08,0.55
8,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,-49.69226843,73.25936202,17.56329547,8.56,1.400176025,4.44,5.2,1.99,1.7,1.83,2.15,-1.86,93.7,2.81,422.0731073,21.96794372,20.32789534,1297.106266,159.42,93.71375157,1618.07,1520.84,199.55,468.79,6.71,303.0,15.35,647.74,0.96,3.16,6.405069126,9.9,114.6,438.05,32.47,72.1686029,78.97614108,100.0788382,14.3143195,797.6887967,0.38,0.412632184,5.21,0.51,0.55,6.65,3.12,0.47
12,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,92.5107757,1.564117767,4.854247527,-0.42,4185.927443,0.16,-0.64,-0.78,0.19,0.22,0.29,-0.65,100.19,1.22,2392.628947,-15.35560098,223.3456039,1704.814715,235.11,86.12413859,472.77,371.91,84.78,297.97,16.11,1.72,81.36,3402.53,11.29,9.33,27.05654208,38.87,565.49,2009.57,32.14,71.07159012,49.22597458,5.915254237,0.002084746,189.3050847,1.21,1.415101079,8.72,2.46,3.13,11.55,12.19,2.03
18,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-452.2282032,-2.840375748,-5.545508375,-14.29,-153.8633857,-3.59,-18.13,-5.61,-1.11,-1.69,-5.54,2.29,115.62,28.8,405.6015052,-73.53721068,-16.18792122,799.0936998,68.98,62.92630364,119.8,95.25,71.07,356.25,58.92,-0.82,1.16,1.34,0.43,1.43,124.010987,1.04,7.67,278.71,3.45,340.5431111,5.900333333,362.7,0.0,3616.066667,0.31,0.47035689,0.9,0.7,0.86,3.84,11.85,0.49
19,(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,312.6611959,-124.9094742,4.65013396,29.45408102,0.0,-116.0852395,-5.99,-31.5,-4.78,-0.91,-3.62,-21.76,7.25,132.18,7.75,526.0459375,-165.7002906,910.174308,649.7428548,34.11,15.95799695,156.01,152.69,48.38,20592.7,526.65,-0.68,9.52,53.92,8.0,84.97,5.933525597,-0.12,-3.22,-148.46,-1.28,-118.7980449,-218.6223333,352.5666667,0.0,4535.5,0.15,0.603758667,0.2,0.22,0.23,5.18,0.42,0.13
22,(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,45.09492365,-8.106283961,-11.83400029,-5.42,-50.99375776,2.08,-2.09,-0.78,0.78,2.95,-2.95,6.86,100.5,45.51,52793.53982,-1102.00231,-1747.643045,38591.59739,610.26,26.05150755,92.89,83.75,29.88,96.91,283.85,0.27,-4.99,-6.56,-3.69,-9.54,-128.5423834,8.26,19.11,156.53,21.33,39.22391682,185.285877,510.0820046,26.44570995,2254.406986,0.37,1.42326073,0.51,1.09,1.25,8.72,9.73,0.53
24,(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,1616.277678,-7.005543678,33.45531496,1.96,803.7149942,9.12,0.48,0.21,4.06,13.24,1.01,7.51,98.31,85.99,8538.310714,41.05271429,-700.886,8387.571429,787.71,29.5256308,61.27,36.07,0.73,66557.71,238.69,1.08,-2.5,-3.09,-1.76,-3.95,-65.0537565,11.43,21.39,728.46,25.71,37.65607508,220.6909615,661.9807692,14.56415385,2676.942308,0.45,1.451642278,0.64,1.25,1.83,3.94,6.33,0.47
30,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-379.3230748,-14.27578638,40.05363551,4.17,-84.86820585,1.69,-16.53,-2.56,0.26,1.24,-0.93,14.97,112.24,99.39,9865.908584,-1630.871532,-1527.360478,9279.902246,1355.58,20.80648561,20.96,16.33,4.89,1679.28,380.62,0.1,-1.14,-1.81,-0.9,-5.45,-5.86347243,3.83,4.32,814.98,23.15,35.78520565,320.945,811.72,41.35938,2193.14,0.15,0.73374488,0.2,1.27,1.42,11.99,6.8,0.33
31,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,37.24113362,-13.31695475,11.10431097,-6.0,537.4432098,9.68,-9.34,-1.69,1.76,9.16,-0.88,12.76,105.78,101.53,10961.44975,-1023.516486,1540.813301,8060.959601,1277.63,17.58440081,11.62,8.73,3.21,1797.11,468.69,0.73,0.01,0.02,0.01,0.06,-3.275407124,5.0,5.62,1121.61,27.91,30.96013195,108.437234,874.9148936,42.81595745,2150.191489,0.18,0.946098025,0.22,2.59,3.39,11.0,8.08,0.33
34,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-88.29221109,-0.553511841,11.97438295,2.75,-47.59504828,1.13,0.11,0.2,2.1,3.36,0.61,0.65,99.59,6.05,1745.097978,1.897193583,-7.699526588,583.8494619,14.69,62.57224245,171.22,123.05,7.42,1264.27,59.82,1.72,6.4,8.7,2.4,1.28,67.63899015,14.0,45.27,108.26,7.49,70.259756,117.5369643,291.1428571,119.7342411,915.1160714,1.86,2.981015117,4.96,3.85,5.14,15.32,6.81,2.36
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-79.41534298,-2.138086884,-2.400691212,5.41,-85.18771344,1.14,1.11,1.64,1.7,1.97,2.21,-0.11,98.53,39.13,1651.960128,18.29738091,46.81270776,936.3419724,87.25,86.07927729,1287.95,953.73,441.48,2749.34,16.17,22.72,56.94,277.3,7.93,5.29,28.13395368,16.27,67.41,164.52,10.85,75.98243207,127.2395513,191.75,77.61636538,774.974359,1.48,1.723249539,10.59,2.12,2.8,8.69,6.5,1.95
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-251.9569526,-6.064011679,-23.28239559,1.28,-249.053849,-2.22,-2.19,-2.51,-2.55,-3.06,-2.84,-0.2,102.32,35.02,1267.344236,-27.80414243,144.6976537,876.2465702,76.79,80.21659328,1110.48,887.83,542.25,1864.22,24.66,-24.12,43.59,121.45,8.62,7.56,22.03406348,11.1,44.32,102.46,9.73,107.577529,82.02468354,209.6582278,214.4488861,766.6202532,1.15,1.378266812,6.79,1.66,2.16,7.22,6.14,1.54
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,-22.7843423,11.19897057,4.637518481,7.0,-7.880603224,11.18,8.56,6.13,8.0,14.12,10.81,-0.95,82.16,17.53,7748.114221,663.0876992,452.3649279,6114.163953,1205.3,58.95239649,140.97,117.58,22.15,170.02,69.63,15.51,12.07,39.15,4.96,7.01,57.09740249,13.74,59.15,353.46,19.42,41.96925117,165.4670909,233.3927273,45.03183273,1117.698182,0.72,1.263183398,1.65,1.47,1.78,8.7,3.61,0.85
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.86293087,436.6018391,80.64191091,32.74267069,63.93,-12.88556978,3.33,22.6,13.02,1.92,3.02,20.48,0.5,80.75,17.66,4679.093286,1057.604614,570.9998222,6283.402738,1277.69,63.81112525,135.98,87.82,49.22,157.58,56.71,4.07,5.64,12.26,2.04,4.54,133.843675,16.76,32.0,292.53,37.32,27.54291805,189.48468,312.626,72.253562,1256.668,0.58,0.905960631,1.58,1.33,1.96,4.1,4.23,0.75
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,-86.28943106,1.416586295,40.48147167,-1.8,9.329672564,2.59,2.21,1.39,1.64,2.54,2.17,0.35,97.01,15.52,6573.259108,145.0036097,572.6821363,6407.138943,1296.53,64.96328955,131.76,91.59,58.26,163.65,53.93,3.47,15.72,29.05,5.51,8.7,126.4836825,9.64,24.96,199.32,15.22,57.1257515,103.31222,311.6150713,61.88545214,1239.700611,0.63,0.981673693,1.77,1.43,2.14,4.34,7.08,0.82
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,145.7294739,14.14136286,18.11849479,5.98,143.5955237,6.56,3.94,3.19,5.32,8.8,5.29,-0.27,95.11,72.32,32564.60114,1282.740819,3759.590081,25873.82344,5074.77,62.60417905,182.56,162.88,51.29,140.21,59.73,77.44,4.27,96.23,1.6,2.03,-19.68152128,-1.34,-3.2,-69.11,-1.7,-1973.751912,-20.0574359,627.1282051,29.02157949,1501.548718,0.81,1.341704598,2.05,1.5,1.68,14.06,3.95,0.94
