,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률
2,(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,2348.675303,55.10040697,25.51000779,1.49,631.501169,3.88,1.45,0.52,1.4,1.96,0.74,1.65,98.55,-106.33,235.5174664,3.419043233,-45.47103205,566.1984817,13.12,87.63197101,694.71,610.74,394.63,282.72,14.11,0.7,-39.85,-194.73,-4.93,-13.51,14.12036409,12.51,77.91,289.4,34.29,71.28432327,51.11823529,79.44852941,17.60488235,411.4852941,0.36,0.506332174,1.26,0.48,0.52,5.39,2.07,0.42
3,(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,-46.64107421,0.010945505,11.52057578,20.59,-44.09832543,1.94,0.69,0.28,0.78,0.9,0.32,-0.65,99.32,-106.65,262.6504346,1.824364742,8.367992904,566.4178132,13.13,84.38790538,324.58,268.23,101.24,285.31,18.5,3.6,-17.73,-104.12,-2.77,-7.06,25.0902282,12.16,37.8,132.06,31.04,76.80981107,43.0795122,114.8414634,30.44576829,354.4329268,0.4,0.464338804,2.85,0.68,0.8,4.77,1.86,0.56
4,(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-2409.614083,-4.480892909,18.85196864,-4.88,-681.514824,-9.51,-13.5,-6.37,-4.49,-5.37,-7.62,-0.11,113.24,-120.22,306.2597741,-41.33867417,27.29649184,530.854621,6.02,82.79595317,296.85,235.21,29.0,254.69,20.78,-32.22,16.12,24988.82,2.77,5.8,31.31521064,7.63,24.21,90.92,15.96,134.4744069,27.67179487,114.2435897,28.00719872,362.7692308,0.47,0.564492769,2.88,0.99,1.22,5.22,2.1,0.75
5,(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,96.31050607,311.2449541,116.0101629,21.92128628,2.56,248.6155448,5.25,5.24,2.06,2.07,2.34,2.34,-0.47,95.06,-53.95,303.2900457,15.89493889,30.55318006,930.0944103,86.02,91.10448384,862.15,792.17,23.52,219.41,9.76,50.08571429,29.03,0.0,2.58,8.69,9.181754936,9.48,62.31,273.6,31.9,63.25389982,65.742875,105.6625,22.0474375,693.625,0.39,0.445795644,3.36,0.63,0.71,5.56,2.66,0.54
9,(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,-92.95367001,0.539925772,9.957255281,-1.66,-30.01063072,2.83,0.33,0.11,0.94,1.01,0.12,-1.27,99.15,3.11,464.100004,1.547933807,21.19836872,1304.111697,160.82,92.71862171,1069.54,959.3,58.94,336.15,7.85,79.74,20.27,587.05,1.48,4.47,-110.2423158,8.71,108.22,475.13,26.4,86.15954025,71.81308017,125.4894515,12.11221941,824.2869198,0.33,0.356832562,4.9,0.43,0.47,5.35,3.3,0.4
13,(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,-4481.062648,6.304011816,4.69208537,-57.63,-1403.615523,-1.99,-28.08,-35.23,-2.49,-2.83,-40.47,-0.52,126.45,-31.95,1605.700752,-450.9293014,70.99873549,1197.835462,128.55,89.89100903,1056.51,883.95,278.73,334.9,11.25,-37.44,82.01,2558.09,8.29,6.67,18.04070889,3.04,65.87,225.06,2.45,346.888797,-57.2254,9.15,0.00186,475.1,1.25,1.425169637,10.48,1.92,2.35,10.55,15.18,1.69
14,(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,96.26025543,17.12351472,-24.12699097,-73.0,780.7008007,0.38,-1.38,-1.19,0.33,0.37,1.15,-1.43,100.68,-6.03,1218.293476,-16.86360405,79.17653217,1129.686014,128.93,87.66380762,769.89,668.53,425.42,284.54,14.07,22.2,39.24,102.05,4.84,6.16,15.13021877,10.2,251.09,857.87,12.98,79.24722726,54.86666667,23.7037037,0.0,1663.481481,0.86,0.966507052,7.57,1.05,1.23,7.2,13.48,0.94
15,(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,-274.8984821,0.053133214,-5.188114571,44.44,-2473.26904,-9.63,-5.47,-4.11,-7.24,-8.18,1.56,-0.54,104.45,8.13,1155.087015,-63.22139561,-76.12997511,1229.622096,133.16,89.2740202,765.67,639.55,492.89,211.48,12.01,-11.86,0.93,2.88,0.1,0.13,18.94690932,4.8,135.68,575.47,6.33,120.8459936,160.5933333,15.28205128,0.0,1208.307692,0.75,0.849151569,6.51,0.96,1.13,6.55,14.27,0.85
16,(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,89.07604564,110.710524,44.39009507,-18.65487191,-23.08,287.8921316,6.3,62.82,26.79,2.69,3.56,38.07,-0.61,61.22,30.22,823.8377463,517.5458123,29.81279375,1677.785632,244.51,68.17513144,1493.9,1275.25,918.41,263.79,46.68,8.98,-2.3,-2.58,-0.73,-2.24,15.68640579,25.56,380.46,11735.41,78.38,16.20042042,672.0003333,155.7666667,0.0,3482.0,0.43,0.565129304,1.74,0.74,0.88,4.82,13.3,0.68
20,(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-83.70571571,-6.132879872,84.57029349,-20.0,125.3690776,12.79,-31.35,-4.29,1.75,14.37,-39.39,4.05,124.44,-34.12,594.7501558,-186.4640143,-275.8787573,537.8172761,1.9,9.721473764,61.5,59.7,2.11,5952.2,928.65,3.09,2.96,270.39,2.67,23.68,-4.667892938,0.53,13.0,1164.79,4.67,-91.16982721,-983.0504167,23.08333333,0.0,3416.458333,0.14,1.124069766,0.16,0.24,0.24,9.46,0.39,0.11
25,(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,2345.717527,15.64399285,4.068573283,-1.92,-44.79294932,4.84,11.3,5.32,2.28,7.04,16.85,5.07,98.82,82.42,8885.698143,1004.033429,873.4357143,6731.428571,939.04,35.37876115,57.37,40.78,0.14,287248.6,182.66,0.87,0.72,0.81,0.47,0.97,-38.91907509,10.06,18.55,648.66,20.98,40.05949384,-198.0331373,669.0980392,10.79103922,2402.372549,0.47,1.453883537,0.7,1.33,2.07,3.76,5.98,0.5
26,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-34.05073231,-102.8910961,15.04430493,-21.24779744,3.92,190.5516122,17.85,-0.41,-0.19,8.13,17.72,-0.38,2.46,90.72,82.1,6638.694639,-27.53842705,699.2214976,7116.326486,1048.39,61.71599972,90.87,68.77,0.02,0.0,62.03,5.62,17.21,19.17,6.59,11.51,-241.9316167,13.21,31.73,668.75,23.06,38.67303873,208.1232075,680.8113208,31.86792453,1608.566038,0.46,0.992838635,0.84,1.36,1.87,5.03,4.65,0.55
27,(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,102.6122076,9.652951927,2.863033378,-11.32,26.84050306,22.01,15.44,9.46,13.48,20.04,14.06,1.17,80.41,84.97,6828.762682,1054.22045,1813.921371,7802.371368,1178.69,73.27498721,109.55,92.01,15.38,0.0,36.47,12.69,43.92,49.79,11.74,18.4,183.6212964,20.83,44.99,773.64,32.66,26.63980529,350.0610638,783.9574468,45.25402128,1674.276596,0.61,0.91054169,1.87,1.97,2.48,9.52,4.7,0.97
28,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,4.706390989,9.842964973,-2.95552733,-8.51,7.054292129,24.28,16.66,10.76,15.69,19.55,13.41,0.6,78.78,86.9,6626.936735,1103.836186,1659.658176,8573.257043,1314.52,87.8935173,257.95,185.46,17.87,0.0,13.77,29.41,146.33,233.68,17.71,26.21,45.89207382,23.63,46.21,828.18,34.95,28.31500723,392.6251163,869.5581395,47.99348837,1675.0,0.65,0.805113075,3.27,2.32,2.96,10.7,4.65,1.39
32,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,298.5904419,1.305491938,17.02028807,14.89,101.5802193,16.67,4.02,0.84,3.5,19.75,11.49,12.52,94.65,101.94,12827.12008,515.3906078,2573.11501,7807.656976,1363.18,17.8850757,25.82,20.1,8.54,1936.0,459.13,1.29,4.11,6.34,3.38,16.04,-7.709118423,10.06,11.5,2584.8,47.78,22.02879444,205.4540741,776.1666667,32.3997037,1805.851852,0.21,1.184438162,0.26,2.68,3.5,11.45,9.91,0.38
35,(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,2084.86346,7.271657822,19.57313536,3.57,194.259531,2.77,1.99,4.3,6.0,9.55,7.35,0.52,97.71,12.26,2086.668367,41.45108937,53.53362135,627.875035,23.54,62.99194659,168.09,134.09,15.75,1206.44,58.75,5.3,6.23,9.1,2.31,1.1,49.93309537,18.86,66.7,159.25,8.98,57.97240075,161.4256897,275.387931,112.7900086,948.1465517,2.17,3.449012887,5.82,4.23,5.56,17.73,7.81,2.66
36,(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,263.2193384,21.03194923,-0.431038523,20.69,231.1201021,9.21,7.25,15.13,19.23,27.66,21.7,0.34,90.96,26.39,2077.674023,150.5583726,222.6870176,750.441223,49.06,76.06657643,291.69,224.49,37.69,1384.72,31.46,26.68,57.91,160.41,13.86,6.65,35.05700085,33.51,122.0,292.95,16.07,35.16254844,241.4039286,221.9285714,91.3025,779.2714286,2.09,3.002055171,6.85,3.87,4.94,17.87,7.43,2.64
37,(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,-24.75599487,8.795430361,-6.266970193,4.29,7.889598239,10.6,5.82,11.13,20.29,26.1,14.62,0.09,91.94,31.84,1947.466811,113.2861496,221.6185629,816.4480909,62.33,79.33314148,399.36,329.69,115.03,2729.66,26.05,84.87,103.42,358.77,21.37,11.41,23.27170641,31.5,112.7,263.46,16.81,45.24632793,239.0107534,223.6643836,94.60160959,781.1506849,1.91,2.461191242,8.59,3.37,4.21,16.78,7.11,2.6
38,(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,43.19296664,13.57684568,0.903853572,1.37,5.015146943,11.04,8.26,15.02,20.08,24.63,18.66,-0.07,89.41,39.53,1965.069059,162.2177984,105.1445227,927.5062657,84.85,83.61310459,673.11,580.63,211.38,2792.03,19.6,210.93,89.01,510.0,14.59,8.31,16.13730526,32.85,130.53,304.32,18.72,38.24387805,266.2941892,214.8108108,90.79486486,830.7905405,1.82,2.23156366,9.87,2.87,3.39,18.61,6.05,2.4
44,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,3.928993351,11.16256187,-8.698414966,0.73,-6.319362055,11.47,9.74,5.89,6.93,11.9,10.11,-1.49,86.97,14.48,7074.151094,689.1403708,414.6669795,6804.24653,1349.5,57.69038318,81.19,62.03,7.16,182.56,73.34,16.58,8.23,19.01,3.48,6.13,-101.9307436,12.74,62.56,349.24,22.41,38.70562658,159.2655235,232.0252708,47.66966065,1262.949458,0.6,1.037334529,1.45,1.57,1.96,8.07,3.06,0.82
45,(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,-28.59405568,4.929441837,27.8983174,10.11,-26.51534583,6.59,5.44,3.85,4.66,8.1,6.7,0.53,94.06,11.14,9047.720219,492.0871895,1184.249229,7010.676493,1417.16,57.37175067,105.96,76.17,19.44,158.91,74.3,8.48,14.28,56.94,6.09,8.84,500.0638409,13.54,30.95,284.41,19.65,54.55637683,114.8911475,231.4918033,42.75352787,1079.757377,0.71,1.229809046,1.67,2.08,2.81,7.93,3.67,1.0
46,(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,14.93576268,5.879098316,2.422845961,-2.95,22.48387432,7.88,6.1,4.09,5.28,9.42,7.29,0.44,92.04,14.09,9266.932543,565.5841643,352.6441275,7567.081572,1508.53,54.86979418,102.82,69.62,14.76,145.26,82.25,14.66,11.71,42.01,5.29,8.29,1176.283377,14.18,34.11,295.6,22.25,52.02996624,163.8898649,256.2398649,53.40242568,1247.800676,0.67,1.194893667,1.52,1.69,2.43,5.56,3.56,0.86
47,(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,-1.617814206,3.624312421,-0.910436635,3.38,10.94655434,8.82,6.06,3.85,5.61,9.98,6.85,0.42,92.06,12.76,9182.562994,556.4340634,1211.818906,7872.084937,1585.77,57.53443355,113.8,84.21,33.41,143.41,73.81,16.75,12.82,41.51,5.44,8.52,214.4259929,14.14,33.07,247.21,22.13,51.45748802,149.7325817,245.5228758,65.43861111,1196.879085,0.64,1.130653592,1.45,1.52,2.15,5.23,3.67,0.79
