회사명,거래소코드,회계년도,상장일,상장폐지일,자기자본회전률
(주)CMG제약,58820,201112,200108,,0.9843328657600324
(주)CMG제약,58820,201212,200108,,0.6551298990140723
(주)CMG제약,58820,201312,200108,,0.5063321737143732
(주)CMG제약,58820,201412,200108,,0.4643388043409217
(주)CMG제약,58820,201512,200108,,0.5644927688405784
(주)CMG제약,58820,201612,200108,,0.4457956437448674
(주)CMG제약,58820,201712,200108,,0.41733476879322995
(주)CMG제약,58820,201812,200108,,0.49389197367063403
(주)CMG제약,58820,201912,200108,,0.4126321840305774
(주)CMG제약,58820,202012,200108,,0.35683256226747734
(주)DB하이텍,990,201112,197512,,1.79255086403344
(주)DB하이텍,990,201212,197512,,1.972724045424693
(주)DB하이텍,990,201312,197512,,1.9923411492700185
(주)DB하이텍,990,201412,197512,,3.4887182915137807
(주)DB하이텍,990,201512,197512,,3.5574478961848204
(주)DB하이텍,990,201612,197512,,2.5945398101274773
(주)DB하이텍,990,201712,197512,,1.704211457977861
(주)DB하이텍,990,201812,197512,,1.3198305665322931
(주)DB하이텍,990,201912,197512,,1.342291038602176
(주)DB하이텍,990,202012,197512,,1.3005792771571256
(주)ES큐브,50120,201112,200204,,1.360143281464553
(주)ES큐브,50120,201212,200204,,1.415101079367277
(주)ES큐브,50120,201312,200204,,1.4251696365706048
(주)ES큐브,50120,201412,200204,,0.9665070520082107
(주)ES큐브,50120,201512,200204,,0.8491515694434564
(주)ES큐브,50120,201612,200204,,0.5651293044478353
(주)ES큐브,50120,201712,200204,,0.4947069606927133
(주)ES큐브,50120,201812,200204,,0.47035689016260573
(주)ES큐브,50120,201912,200204,,0.6037586672333746
(주)ES큐브,50120,202012,200204,,1.1240697660023091
(주)HJ중공업,97230,201112,200708,,1.5488668600764497
(주)HJ중공업,97230,201212,200708,,1.4232607295071076
(주)HJ중공업,97230,201312,200708,,1.5080223245453739
(주)HJ중공업,97230,201412,200708,,1.5692820277490493
(주)HJ중공업,97230,201512,200708,,2.118169811994228
(주)HJ중공업,97230,201612,200708,,2.4854720351696193
(주)HJ중공업,97230,201712,200708,,3.3310861794603435
(주)HJ중공업,97230,201812,200708,,-25.924038843252816
(주)HJ중공업,97230,201912,200708,,-7.032725090243355
(주)HJ중공업,97230,202012,200708,,6.002916829646883
(주)MH에탄올,23150,201112,199612,,1.0496356487015899
(주)MH에탄올,23150,201212,199612,,1.4516422778500226
(주)MH에탄올,23150,201312,199612,,1.4538835368450638
(주)MH에탄올,23150,201412,199612,,0.9928386349080658
(주)MH에탄올,23150,201512,199612,,0.910541690428855
(주)MH에탄올,23150,201612,199612,,0.8051130754613854
(주)MH에탄올,23150,201712,199612,,0.6099914066621133
(주)MH에탄올,23150,201812,199612,,0.7337448797534207
(주)MH에탄올,23150,201912,199612,,0.9460980245305515
(주)MH에탄올,23150,202012,199612,,1.1844381624974725
(주)SH에너지화학,2360,201112,198512,,2.6548616767587347
(주)SH에너지화학,2360,201212,198512,,2.98101511665131
(주)SH에너지화학,2360,201312,198512,,3.449012886589678
(주)SH에너지화학,2360,201412,198512,,3.0020551711260834
(주)SH에너지화학,2360,201512,198512,,2.461191242030559
(주)SH에너지화학,2360,201612,198512,,2.2315636600052353
(주)SH에너지화학,2360,201712,198512,,1.7764918937370038
(주)SH에너지화학,2360,201812,198512,,1.7232495388540099
(주)SH에너지화학,2360,201912,198512,,1.3782668118029617
(주)SH에너지화학,2360,202012,198512,,0.9902658118833437
(주)SIMPAC,9160,201112,198907,,1.2747962547860345
(주)SIMPAC,9160,201212,198907,,1.2631833981773337
(주)SIMPAC,9160,201312,198907,,1.0373345291494018
(주)SIMPAC,9160,201412,198907,,1.229809046460606
(주)SIMPAC,9160,201512,198907,,1.1948936674437227
(주)SIMPAC,9160,201612,198907,,1.1306535919587435
(주)SIMPAC,9160,201712,198907,,0.9584970142815485
(주)SIMPAC,9160,201812,198907,,0.9059606309670798
(주)SIMPAC,9160,201912,198907,,0.9816736927917309
(주)SIMPAC,9160,202012,198907,,0.8083754305006072
(주)SNT에너지,100840,201112,200802,,1.2162128022412033
(주)SNT에너지,100840,201212,200802,,1.3417045976568907
(주)SNT에너지,100840,201312,200802,,1.0525098606452319
(주)SNT에너지,100840,201412,200802,,1.1961593454965778
(주)SNT에너지,100840,201512,200802,,1.1846352757532768
(주)SNT에너지,100840,201612,200802,,1.101865473377155
(주)SNT에너지,100840,201712,200802,,0.7941554666343877
(주)SNT에너지,100840,201812,200802,,0.5999494777199962
(주)SNT에너지,100840,201912,200802,,0.8958952559617026
(주)SNT에너지,100840,202012,200802,,0.9876683848537764
(주)SNT홀딩스,36530,201112,200210,,1.2691354466801856
(주)SNT홀딩스,36530,201212,200210,,1.2694793768885013
(주)SNT홀딩스,36530,201312,200210,,1.1709815980107507
(주)SNT홀딩스,36530,201412,200210,,1.1371017385677773
(주)SNT홀딩스,36530,201512,200210,,1.1179097510408371
(주)SNT홀딩스,36530,201612,200210,,1.0049863207282288
(주)SNT홀딩스,36530,201712,200210,,0.9888919876983295
(주)SNT홀딩스,36530,201812,200210,,0.9272295482850323
(주)SNT홀딩스,36530,201912,200210,,0.9664517683761162
(주)SNT홀딩스,36530,202012,200210,,0.8853223188197982
(주)STX,11810,201112,199009,,3.1147607808587106
(주)STX,11810,201212,199009,,3.599534970830493
(주)STX,11810,201312,199009,,4.913660910593635
(주)STX,11810,201412,199009,,-7.858663801288939
(주)STX,11810,201512,199009,,19.648044625430714
(주)STX,11810,201612,199009,,-13.321404508739459
(주)STX,11810,201712,199009,,-12.525364884944937
(주)STX,11810,201812,199009,,28.201767553570757
(주)STX,11810,201912,199009,,24.454392074402215
(주)STX,11810,202012,199009,,14.136603390812926
(주)TCC스틸,2710,201112,198412,,2.28184684317518
(주)TCC스틸,2710,201212,198412,,2.2210554811922836
(주)TCC스틸,2710,201312,198412,,2.3200832438492403
(주)TCC스틸,2710,201412,198412,,2.6293143486247366
(주)TCC스틸,2710,201512,198412,,3.605126382618929
(주)TCC스틸,2710,201612,198412,,4.694516786919215
(주)TCC스틸,2710,201712,198412,,3.8322007966994454
(주)TCC스틸,2710,201812,198412,,3.876640806539953
(주)TCC스틸,2710,201912,198412,,3.8166236146862262
(주)TCC스틸,2710,202012,198412,,3.6289501088131413
(주)가비아,79940,201112,200510,,1.0857507114552984
(주)가비아,79940,201212,200510,,1.2834775452161302
(주)가비아,79940,201312,200510,,1.1082410497764899
(주)가비아,79940,201412,200510,,1.1162596159491551
(주)가비아,79940,201512,200510,,1.1484368774703433
(주)가비아,79940,201612,200510,,1.1350193753066578
(주)가비아,79940,201712,200510,,1.1868155587985747
(주)가비아,79940,201812,200510,,1.2025974102409611
(주)가비아,79940,201912,200510,,1.190518841015505
(주)가비아,79940,202012,200510,,1.0971147234762637
(주)가온칩스,399720,201812,202205,,
(주)가온칩스,399720,201912,202205,,
(주)가온칩스,399720,202012,202205,,
(주)강스템바이오텍,217730,201312,201512,,
(주)강스템바이오텍,217730,201412,201512,,
(주)강스템바이오텍,217730,201512,201512,,
(주)강스템바이오텍,217730,201612,201512,,0.03812394310781618
(주)강스템바이오텍,217730,201712,201512,,0.38487640951443763
(주)강스템바이오텍,217730,201812,201512,,0.2543714722190225
(주)강스템바이오텍,217730,201912,201512,,0.10325971635058492
(주)강스템바이오텍,217730,202012,201512,,0.15572674497893868
(주)강원랜드,35250,201112,200309,,0.5606925405663743
(주)강원랜드,35250,201212,200309,,0.5599836310690739
(주)강원랜드,35250,201312,200309,,0.5567949197526463
(주)강원랜드,35250,201412,200309,,0.5730522588677033
(주)강원랜드,35250,201512,200309,,0.5729211144169063
(주)강원랜드,35250,201612,200309,,0.5428484813728939
(주)강원랜드,35250,201712,200309,,0.47511955925034427
(주)강원랜드,35250,201812,200309,,0.4057721944179577
(주)강원랜드,35250,201912,200309,,0.41620177234073563
(주)강원랜드,35250,202012,200309,,0.13742812836159207
(주)강원에너지,114190,201111,200911,,2.0497103267373356
(주)강원에너지,114190,201212,200911,,3.513300596577839
(주)강원에너지,114190,201312,200911,,1.2358506184387075
(주)강원에너지,114190,201412,200911,,1.0689349418411949
(주)강원에너지,114190,201512,200911,,0.8631024270417232
(주)강원에너지,114190,201612,200911,,0.7573473960141213
(주)강원에너지,114190,201712,200911,,1.5868745556945094
(주)강원에너지,114190,201812,200911,,1.7441524317575217
(주)강원에너지,114190,201912,200911,,1.1930648584558972
(주)강원에너지,114190,202012,200911,,2.006502830624527
(주)갤럭시아에스엠,11420,201112,198911,,1.8727306783088735
(주)갤럭시아에스엠,11420,201212,198911,,2.151167138899975
(주)갤럭시아에스엠,11420,201312,198911,,1.959365282377427
(주)갤럭시아에스엠,11420,201412,198911,,1.9636357372186741
(주)갤럭시아에스엠,11420,201512,198911,,1.7128833888206865
(주)갤럭시아에스엠,11420,201612,198911,,1.1127735839286108
(주)갤럭시아에스엠,11420,201712,198911,,0.8736997834386331
(주)갤럭시아에스엠,11420,201812,198911,,0.6588492353295823
(주)갤럭시아에스엠,11420,201912,198911,,1.1904759122844002
(주)갤럭시아에스엠,11420,202012,198911,,0.9191171832433648
