회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS)
(주)CMG제약,058820,2010/12,11350419,-7537071,-6945220
(주)CMG제약,058820,2011/12,17751704,714950,-1264488
(주)CMG제약,058820,2012/12,16255389,-4045140,-6892739
(주)CMG제약,058820,2013/12,20322140,822547,335258
(주)CMG제약,058820,2014/12,22752584,446018,171502
(주)CMG제약,058820,2015/12,27041894,-2570878,-3648668
(주)CMG제약,058820,2016/12,32969825,1730753,1693463
(주)CMG제약,058820,2017/12,41535588,1558607,2834901
(주)CMG제약,058820,2018/12,49864782,2567820,6065026
(주)CMG제약,058820,2019/12,58622681,2603774,3051177
(주)CMG제약,058820,2020/12,64459891,1822365,214996
(주)DB하이텍,000990,2010/12,593441908,-362804081,-204814784
(주)DB하이텍,000990,2011/12,534317238,-39983672,-93084414
(주)DB하이텍,000990,2012/12,583901597,-14429657,-32121504
(주)DB하이텍,000990,2013/12,493752028,-9392980,-73243309
(주)DB하이텍,000990,2014/12,567718224,45310506,-58319918
(주)DB하이텍,000990,2015/12,666594987,124372824,127469869
(주)DB하이텍,000990,2016/12,773140180,171787648,88002359
(주)DB하이텍,000990,2017/12,679737744,142353689,74401732
(주)DB하이텍,000990,2018/12,669279136,112884303,95087399
(주)DB하이텍,000990,2019/12,807416423,181155872,121159865
(주)DB하이텍,000990,2020/12,935919766,239188805,165657642
(주)ES큐브,050120,2010/12,34640205,577543,-2165930
(주)ES큐브,050120,2011/12,41700477,-2080143,-2933429
(주)ES큐브,050120,2012/12,44178050,645839,516857
(주)ES큐브,050120,2013/12,45823196,217136,-14749080
(주)ES큐브,050120,2014/12,37188072,325909,-2412385
(주)ES큐브,050120,2015/12,36887119,2370570,3610344
(주)ES큐브,050120,2016/12,34818205,2359527,17469014
(주)ES큐브,050120,2017/12,37104908,2170102,1218923
(주)ES큐브,050120,2018/12,31308873,691469,-3836071
(주)ES큐브,050120,2019/12,28527284,587700,-12738710
(주)ES큐브,050120,2020/12,30293088,1452732,-29081429
(주)HJ중공업,097230,2010/12,2734440000,101888000,-39395000
(주)HJ중공업,097230,2011/12,2316017000,59453000,-116272000
(주)HJ중공업,097230,2012/12,1980761000,28591000,13082000
(주)HJ중공업,097230,2013/12,1927307000,-109107000,-212716000
(주)HJ중공업,097230,2014/12,1799016000,-106249000,-225739000
(주)HJ중공업,097230,2015/12,2041347000,-97810000,-260118000
(주)HJ중공업,097230,2016/12,1928591000,49319000,-334429000
(주)HJ중공업,097230,2017/12,1737428000,86683000,-299028000
(주)HJ중공업,097230,2018/12,1750954000,-66005000,-963474000
(주)HJ중공업,097230,2019/12,1609530000,77055000,-73654000
(주)HJ중공업,097230,2020/12,1694634000,51087000,76553000
(주)MH에탄올,023150,2010/12,43304589,9209231,4582073
(주)MH에탄올,023150,2011/12,43206995,6908187,3351943
(주)MH에탄올,023150,2012/12,45488675,6518758,2571700
(주)MH에탄올,023150,2013/12,46298516,9650241,-11627211
(주)MH에탄올,023150,2014/12,48983781,8746818,4618332
(주)MH에탄올,023150,2015/12,50386203,11094172,7744832
(주)MH에탄올,023150,2016/12,48897025,11876872,8134873
(주)MH에탄올,023150,2017/12,48270464,10452914,5903108
(주)MH에탄올,023150,2018/12,46943080,9028515,6553371
(주)MH에탄올,023150,2019/12,46992295,7828586,-5004935
(주)MH에탄올,023150,2020/12,51277355,8238755,1156387
(주)SH에너지화학,002360,2010/12,150353519,-7397588,-6557499
(주)SH에너지화학,002360,2011/12,172752632,4987642,3164441
(주)SH에너지화학,002360,2012/12,191907628,2874585,1079738
(주)SH에너지화학,002360,2013/12,229783541,7203175,4841817
(주)SH에너지화학,002360,2014/12,226971465,20274504,15569914
(주)SH에너지화학,002360,2015/12,213882181,22899622,12639344
(주)SH에너지화학,002360,2016/12,214380015,23600205,17574101
(주)SH에너지화학,002360,2017/12,184672638,13189274,8905104
(주)SH에너지화학,002360,2018/12,180753289,2811557,2766802
(주)SH에너지화학,002360,2019/12,138161816,-2363194,-3151629
(주)SH에너지화학,002360,2020/12,91354318,-7104116,-7218778
(주)SIMPAC,009160,2010/12,180593108,21914500,14884986
(주)SIMPAC,009160,2011/12,213867522,27382839,21196377
(주)SIMPAC,009160,2012/12,223854758,25309896,22517068
(주)SIMPAC,009160,2013/12,204527751,23741361,19196136
(주)SIMPAC,009160,2014/12,227491803,18736806,10218575
(주)SIMPAC,009160,2015/12,213152303,23630499,19448583
(주)SIMPAC,009160,2016/12,215839356,21406076,16444650
(주)SIMPAC,009160,2017/12,203150228,13971089,7133940
(주)SIMPAC,009160,2018/12,268863854,7215888,62381304
(주)SIMPAC,009160,2019/12,391970769,8438305,11507259
(주)SIMPAC,009160,2020/12,272087150,6895814,26301694
(주)SNT에너지,100840,2010/12,213919312,4121693,3200978
(주)SNT에너지,100840,2011/12,195318747,-6597216,-4155767
(주)SNT에너지,100840,2012/12,230707564,15132783,9087721
(주)SNT에너지,100840,2013/12,200750984,16804410,16189688
(주)SNT에너지,100840,2014/12,242746888,13777651,11264253
(주)SNT에너지,100840,2015/12,260094045,33918033,27029932
(주)SNT에너지,100840,2016/12,254089906,1195144,1659742
(주)SNT에너지,100840,2017/12,184091945,19201911,4581777
(주)SNT에너지,100840,2018/12,139516396,-1892191,1825479
(주)SNT에너지,100840,2019/12,202822913,14679703,14578960
(주)SNT에너지,100840,2020/12,229991237,22712569,9407217
(주)SNT홀딩스,036530,2010/12,2068556,183979,4776920
(주)SNT홀딩스,036530,2011/12,2257851,-4240083,5766277
(주)SNT홀딩스,036530,2012/12,8718270,6695560,9011145
(주)SNT홀딩스,036530,2013/12,8826810,6923357,8018313
(주)SNT홀딩스,036530,2014/12,7701882,5966121,6891599
(주)SNT홀딩스,036530,2015/12,8475099,6719535,27765789
(주)SNT홀딩스,036530,2016/12,9818190,7999927,6923176
(주)SNT홀딩스,036530,2017/12,7417869,5401909,4172419
(주)SNT홀딩스,036530,2018/12,7292112,5392033,6218079
(주)SNT홀딩스,036530,2019/12,11015928,8991504,9244252
(주)SNT홀딩스,036530,2020/12,25309708,22973048,22951239
(주)STX,011810,2010/12,3191730000,72473000,8971000
(주)STX,011810,2011/12,4173397000,61711000,84657000
(주)STX,011810,2012/12,4116767000,17733000,-23863000
(주)STX,011810,2013/12,1895063000,-67233000,-1646014000
(주)STX,011810,2014/12,1291351000,23414000,334488000
(주)STX,011810,2015/12,1362127000,-16336000,-53449000
(주)STX,011810,2016/12,1465561000,-105780000,-456150000
(주)STX,011810,2017/12,1595494000,30170000,336179000
(주)STX,011810,2018/12,1329890000,-6902000,5024000
(주)STX,011810,2019/12,1237876000,-13697000,-37142000
(주)STX,011810,2020/12,788462000,-7439000,-16578000
(주)TCC스틸,002710,2010/12,412110088,19558371,13684096
(주)TCC스틸,002710,2011/12,456928069,12575854,6828699
(주)TCC스틸,002710,2012/12,440568155,11675644,4206491
(주)TCC스틸,002710,2013/12,419483813,8348275,391783
(주)TCC스틸,002710,2014/12,401323585,10868549,1022624
(주)TCC스틸,002710,2015/12,350074629,14570434,-140083396
(주)TCC스틸,002710,2016/12,317235565,13291420,15468493
(주)TCC스틸,002710,2017/12,333762378,6759804,-2328706
(주)TCC스틸,002710,2018/12,351301866,16306122,7565000
(주)TCC스틸,002710,2019/12,339334364,12657106,1996130
(주)TCC스틸,002710,2020/12,323435107,2414062,-3176050
(주)가비아,079940,2010/12,26065926,3959527,3095686
(주)가비아,079940,2011/12,33792831,3932156,3262397
(주)가비아,079940,2012/12,38482449,2949228,5737877
(주)가비아,079940,2013/12,40507693,3035051,3786937
(주)가비아,079940,2014/12,43906243,3451259,3076978
(주)가비아,079940,2015/12,48446932,4531993,4288423
(주)가비아,079940,2016/12,49430564,3981746,3544032
(주)가비아,079940,2017/12,52365659,3176328,2493743
(주)가비아,079940,2018/12,55197652,4106091,2762732
(주)가비아,079940,2019/12,58254105,4889113,4654769
(주)가비아,079940,2020/12,64097025,7129578,4758214
(주)가온칩스,399720,2018/12,,,
(주)가온칩스,399720,2019/12,,,
(주)가온칩스,399720,2020/12,17098306,1973589,1851742
(주)강스템바이오텍,217730,2013/12,,,
(주)강스템바이오텍,217730,2014/12,,,
(주)강스템바이오텍,217730,2015/12,1484593,-5125200,-5754141
(주)강스템바이오텍,217730,2016/12,842805,-9117541,-8300375
(주)강스템바이오텍,217730,2017/12,5394323,-11132505,-10855842
