,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,수지비율,유보율,자기자본구성비율,유동비율,이자보상배율,CASH FLOW 대 총자본비율,순운전자본회전률
0,(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,5.219838981,56.39690482,4.65,1263.950784,2.37,0.8,108.35,-17.45,66.04694461,200.97,3.53,-15.65,0.86
1,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,109.1471192,75.17050474,-8.429134465,-0.74,-756.8194064,-9.96,2.53,140.55,-4.31,55.31740849,693.49,-7.75,-3.62,0.42
2,(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,55.10040697,25.51000779,1.49,631.501169,1.4,1.65,98.55,13.12,87.63197101,694.71,0.7,-4.93,0.42
3,(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,0.010945505,11.52057578,20.59,-44.09832543,0.78,-0.65,99.32,13.13,84.38790538,324.58,3.6,-2.77,0.56
4,(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-4.480892909,18.85196864,-4.88,-681.514824,-4.49,-0.11,113.24,6.02,82.79595317,296.85,-32.22,2.77,0.75
5,(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,96.31050607,116.0101629,21.92128628,2.56,248.6155448,2.07,-0.47,95.06,86.02,91.10448384,862.15,50.08571429,2.58,0.54
6,(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,-3.12895856,25.98061409,25.0,-9.946306608,1.41,-2.72,93.31,79.9,89.3909556,746.28,50.08571429,2.4,0.46
7,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,6.164569375,20.05315057,11.0,64.75096031,2.29,-1.01,92.86,90.99,90.90921061,957.86,50.08571429,1.24,0.55
8,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,73.25936202,17.56329547,8.56,1.400176025,1.7,-1.86,93.7,159.42,93.71375157,1618.07,303.0,0.96,0.47
9,(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,0.539925772,9.957255281,-1.66,-30.01063072,0.94,-1.27,99.15,160.82,92.71862171,1069.54,79.74,1.48,0.4
10,(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-28.92081189,-23.94249659,-21.21911983,5.38,84.54820029,-3.34,9.4,113.85,80.99,25.69227832,35.2,-0.75,4.36,0.72
11,(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-6.578983294,54.09825664,20.3,-618.261456,-6.58,-0.98,108.28,227.25,70.74248312,230.24,-245.99,2.0,1.09
12,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,1.564117767,4.854247527,-0.42,4185.927443,0.19,-0.65,100.19,235.11,86.12413859,472.77,1.72,11.29,2.03
13,(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,6.304011816,4.69208537,-57.63,-1403.615523,-2.49,-0.52,126.45,128.55,89.89100903,1056.51,-37.44,8.29,1.69
14,(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,17.12351472,-24.12699097,-73.0,780.7008007,0.33,-1.43,100.68,128.93,87.66380762,769.89,22.2,4.84,0.94
15,(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,0.053133214,-5.188114571,44.44,-2473.26904,-7.24,-0.54,104.45,133.16,89.2740202,765.67,-11.86,0.1,0.85
16,(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,89.07604564,44.39009507,-18.65487191,-23.08,287.8921316,2.69,-0.61,61.22,244.51,68.17513144,1493.9,8.98,-0.73,0.68
17,(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,1.563205887,4.247404846,16.67,4.048002791,2.13,1.01,95.23,74.95,68.76514743,1378.49,2.86,1.68,0.66
18,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-2.840375748,-5.545508375,-14.29,-153.8633857,-1.11,2.29,115.62,68.98,62.92630364,119.8,-0.82,0.43,0.49
19,(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,312.6611959,4.65013396,29.45408102,0.0,-116.0852395,-0.91,7.25,132.18,34.11,15.95799695,156.01,-0.68,8.0,0.13
20,(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-6.132879872,84.57029349,-20.0,125.3690776,1.75,4.05,124.44,1.9,9.721473764,61.5,3.09,2.67,0.11
21,(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-7.519747157,-9.364472804,-19.81,-50.60025987,1.48,5.92,102.53,672.79,26.53023869,96.33,0.55,-0.73,0.52
22,(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,-8.106283961,-11.83400029,-5.42,-50.99375776,0.78,6.86,100.5,610.26,26.05150755,92.89,0.27,-3.69,0.53
23,(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,0.229277913,-17.1965321,-3.77,-69.82421494,0.45,8.83,106.81,852.03,31.7922205,58.36,0.12,1.79,0.36
24,(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,-7.005543678,33.45531496,1.96,803.7149942,4.06,7.51,98.31,787.71,29.5256308,61.27,1.08,-1.76,0.47
25,(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,15.64399285,4.068573283,-1.92,-44.79294932,2.28,5.07,98.82,939.04,35.37876115,57.37,0.87,0.47,0.5
26,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-34.05073231,15.04430493,-21.24779744,3.92,190.5516122,8.13,2.46,90.72,1048.39,61.71599972,90.87,5.62,6.59,0.55
