,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,종업원수증가율,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,수지비율,CASH FLOW 대 총자본비율,총자본투자효율,순운전자본회전률
0,(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,4.65,2.37,3.51,0.8,108.35,-15.65,12.72,0.86
1,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,109.1471192,-0.74,-9.96,-16.95,2.53,140.55,-3.62,0.47,0.42
2,(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,1.49,1.4,1.96,1.65,98.55,-4.93,12.51,0.42
3,(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,20.59,0.78,0.9,-0.65,99.32,-2.77,12.16,0.56
4,(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-4.88,-4.49,-5.37,-0.11,113.24,2.77,7.63,0.75
5,(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,96.31050607,2.56,2.07,2.34,-0.47,95.06,2.58,9.48,0.54
6,(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,25.0,1.41,1.57,-2.72,93.31,2.4,12.51,0.46
7,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,11.0,2.29,2.54,-1.01,92.86,1.24,14.73,0.55
8,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,8.56,1.7,1.83,-1.86,93.7,0.96,9.9,0.47
9,(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,-1.66,0.94,1.01,-1.27,99.15,1.48,8.71,0.4
10,(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-28.92081189,5.38,-3.34,-12.22,9.4,113.85,4.36,18.17,0.72
11,(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,20.3,-6.58,-9.3,-0.98,108.28,2.0,21.71,1.09
12,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,-0.42,0.19,0.22,-0.65,100.19,11.29,38.87,2.03
13,(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,-57.63,-2.49,-2.83,-0.52,126.45,8.29,3.04,1.69
14,(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,-73.0,0.33,0.37,-1.43,100.68,4.84,10.2,0.94
15,(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,44.44,-7.24,-8.18,-0.54,104.45,0.1,4.8,0.85
16,(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,89.07604564,-23.08,2.69,3.56,-0.61,61.22,-0.73,25.56,0.68
17,(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,16.67,2.13,3.11,1.01,95.23,1.68,7.08,0.66
18,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-14.29,-1.11,-1.69,2.29,115.62,0.43,1.04,0.49
19,(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,312.6611959,0.0,-0.91,-3.62,7.25,132.18,8.0,-0.12,0.13
20,(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-20.0,1.75,14.37,4.05,124.44,2.67,0.53,0.11
21,(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-19.81,1.48,5.65,5.92,102.53,-0.73,7.02,0.52
22,(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,-5.42,0.78,2.95,6.86,100.5,-3.69,8.26,0.53
23,(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,-3.77,0.45,1.35,8.83,106.81,1.79,6.51,0.36
24,(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,1.96,4.06,13.24,7.51,98.31,-1.76,11.43,0.47
25,(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,-1.92,2.28,7.04,5.07,98.82,0.47,10.06,0.5
26,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-34.05073231,3.92,8.13,17.72,2.46,90.72,6.59,13.21,0.55
27,(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,-11.32,13.48,20.04,1.17,80.41,11.74,20.83,0.97
28,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,-8.51,15.69,19.55,0.6,78.78,17.71,23.63,1.39
29,(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,591.4326057,11.63,2.84,9.53,-1.46,88.65,1.56,2.84,0.34
30,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,4.17,0.26,1.24,14.97,112.24,-0.9,3.83,0.33
31,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,-6.0,1.76,9.16,12.76,105.78,0.01,5.0,0.33
32,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,14.89,3.5,19.75,12.52,94.65,3.38,10.06,0.38
33,(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,-1.8,4.16,6.57,0.77,98.0,3.13,13.57,2.27
34,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,2.75,2.1,3.36,0.65,99.59,2.4,14.0,2.36
35,(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,3.57,6.0,9.55,0.52,97.71,2.31,18.86,2.66
36,(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,20.69,19.23,27.66,0.34,90.96,13.86,33.51,2.64
37,(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,4.29,20.29,26.1,0.09,91.94,21.37,31.5,2.6
38,(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,1.37,20.08,24.63,-0.07,89.41,14.59,32.85,2.4
39,(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,0.0,11.35,13.39,-0.1,93.35,10.33,23.24,1.95
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,5.41,1.7,1.97,-0.11,98.53,7.93,16.27,1.95
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,1.28,-2.55,-3.06,-0.2,102.32,8.62,11.1,1.54
42,(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,11.74,9.42,17.4,-0.29,84.89,6.72,17.28,0.84
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,7.0,8.0,14.12,-0.95,82.16,4.96,13.74,0.85
44,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,0.73,6.93,11.9,-1.49,86.97,3.48,12.74,0.82
45,(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,10.11,4.66,8.1,0.53,94.06,6.09,13.54,1.0
46,(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,-2.95,5.28,9.42,0.44,92.04,5.29,14.18,0.86
47,(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,3.38,5.61,9.98,0.42,92.06,5.44,14.14,0.79
48,(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,-0.33,2.93,4.86,0.37,95.9,3.37,11.36,0.75
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.86293087,63.93,1.92,3.02,0.5,80.75,2.04,16.76,0.75
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,-1.8,1.64,2.54,0.35,97.01,5.51,9.64,0.82
51,(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,8.559551973,-1.43,1.1,1.72,0.6,89.67,1.39,13.08,0.66
52,(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,2.22,-2.49,-4.02,0.15,102.62,-5.92,-1.83,0.91
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,5.98,5.32,8.8,-0.27,95.11,1.6,-1.34,0.94
54,(주)SNT에너지,100840,201312,200802,,0,0,0,제조업,1,6.445735983,7.18,5.56,8.81,-0.56,90.16,7.5,11.6,0.77
55,(주)SNT에너지,100840,201412,200802,,0,0,0,제조업,1,-2.298373815,4.31,4.47,6.79,-0.31,93.92,-0.76,10.48,0.93
