,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,매출액증가율,종업원수증가율,매출액정상영업이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,수지비율,자기자본구성비율,CASH FLOW 대 총자본비율,총자본투자효율,순운전자본회전률
0,(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,56.39690482,4.65,3.61,2.37,3.51,0.8,108.35,66.04694461,-15.65,12.72,0.86
1,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,109.1471192,-8.429134465,-0.74,-25.87,-9.96,-16.95,2.53,140.55,55.31740849,-3.62,0.47,0.42
2,(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,25.51000779,1.49,3.88,1.4,1.96,1.65,98.55,87.63197101,-4.93,12.51,0.42
3,(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,11.52057578,20.59,1.94,0.78,0.9,-0.65,99.32,84.38790538,-2.77,12.16,0.56
4,(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,18.85196864,-4.88,-9.51,-4.49,-5.37,-0.11,113.24,82.79595317,2.77,7.63,0.75
5,(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,96.31050607,21.92128628,2.56,5.25,2.07,2.34,-0.47,95.06,91.10448384,2.58,9.48,0.54
6,(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,25.98061409,25.0,3.75,1.41,1.57,-2.72,93.31,89.3909556,2.4,12.51,0.46
7,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,20.05315057,11.0,5.15,2.29,2.54,-1.01,92.86,90.90921061,1.24,14.73,0.55
8,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,17.56329547,8.56,4.44,1.7,1.83,-1.86,93.7,93.71375157,0.96,9.9,0.47
9,(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,9.957255281,-1.66,2.83,0.94,1.01,-1.27,99.15,92.71862171,1.48,8.71,0.4
10,(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-28.92081189,-21.21911983,5.38,-7.81,-3.34,-12.22,9.4,113.85,25.69227832,4.36,18.17,0.72
11,(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,54.09825664,20.3,-6.84,-6.58,-9.3,-0.98,108.28,70.74248312,2.0,21.71,1.09
12,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,4.854247527,-0.42,0.16,0.19,0.22,-0.65,100.19,86.12413859,11.29,38.87,2.03
13,(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,4.69208537,-57.63,-1.99,-2.49,-2.83,-0.52,126.45,89.89100903,8.29,3.04,1.69
14,(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,-24.12699097,-73.0,0.38,0.33,0.37,-1.43,100.68,87.66380762,4.84,10.2,0.94
15,(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,-5.188114571,44.44,-9.63,-7.24,-8.18,-0.54,104.45,89.2740202,0.1,4.8,0.85
16,(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,89.07604564,-18.65487191,-23.08,6.3,2.69,3.56,-0.61,61.22,68.17513144,-0.73,25.56,0.68
17,(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,4.247404846,16.67,6.29,2.13,3.11,1.01,95.23,68.76514743,1.68,7.08,0.66
18,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-5.545508375,-14.29,-3.59,-1.11,-1.69,2.29,115.62,62.92630364,0.43,1.04,0.49
19,(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,312.6611959,29.45408102,0.0,-5.99,-0.91,-3.62,7.25,132.18,15.95799695,8.0,-0.12,0.13
20,(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,84.57029349,-20.0,12.79,1.75,14.37,4.05,124.44,9.721473764,2.67,0.53,0.11
21,(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-9.364472804,-19.81,3.73,1.48,5.65,5.92,102.53,26.53023869,-0.73,7.02,0.52
22,(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,-11.83400029,-5.42,2.08,0.78,2.95,6.86,100.5,26.05150755,-3.69,8.26,0.53
23,(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,-17.1965321,-3.77,1.35,0.45,1.35,8.83,106.81,31.7922205,1.79,6.51,0.36
24,(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,33.45531496,1.96,9.12,4.06,13.24,7.51,98.31,29.5256308,-1.76,11.43,0.47
