,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,당좌비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,종업원1인당부가가치율_계산,당좌자산회전률
0,(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,5.219838981,56.39690482,4.65,594.6717064,2.37,0.8,-92.25,200.97,165.03,3.53,-19.54,-13.66,35.59007636,27.17962963,1.55
1,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,78.27578096,75.17050474,-8.429134465,-0.74,-432.3986363,-9.96,2.53,-92.25,693.49,649.98,-7.75,-8.1,-12.71,7.330001366,-0.657014925,0.57
2,(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,55.10040697,25.51000779,1.49,594.6717064,1.4,1.65,-92.25,694.71,610.74,0.7,-19.54,-13.51,14.12036409,51.11823529,0.56
3,(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,0.010945505,11.52057578,20.59,-44.09832543,0.78,-0.65,-92.25,324.58,268.23,3.6,-17.73,-7.06,25.0902282,43.0795122,0.8
4,(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-4.480892909,18.85196864,-4.88,-432.3986363,-4.49,-0.11,-92.25,296.85,235.21,-21.04,16.12,5.8,31.31521064,27.67179487,1.22
5,(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,78.27578096,102.2875763,21.92128628,2.56,248.6155448,2.07,-0.47,-53.95,862.15,792.17,50.08571429,29.03,8.69,9.181754936,65.742875,0.71
6,(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,-3.12895856,25.98061409,25.0,-9.946306608,1.41,-2.72,-3.47,746.28,673.66,50.08571429,22.67,6.34,11.23710531,68.55005,0.57
7,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,6.164569375,20.05315057,11.0,64.75096031,2.29,-1.01,2.22,957.86,856.94,50.08571429,13.63,2.84,11.76334853,75.89031532,0.68
8,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,73.25936202,17.56329547,8.56,1.400176025,1.7,-1.86,2.81,1062.09,940.6,303.0,15.35,3.16,6.405069126,78.97614108,0.56
9,(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,0.539925772,9.957255281,-1.66,-30.01063072,0.94,-1.27,3.11,1062.09,940.6,79.74,20.27,4.47,-110.2423158,71.81308017,0.56
10,(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-22.36308992,-23.94249659,-21.21911983,5.38,84.54820029,-3.34,5.3,-92.25,51.15,33.02,-0.75,5.87,9.47,-14.9739367,84.5009739,2.54
11,(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-6.578983294,54.09825664,20.3,-432.3986363,-6.58,-0.98,-7.97,230.24,194.35,-21.04,6.82,2.08,27.55824953,33.59337553,1.86
12,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,1.564117767,4.854247527,-0.42,594.6717064,0.19,-0.65,1.22,472.77,371.91,1.72,81.36,9.33,27.05654208,49.22597458,3.13
13,(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,6.304011816,4.69208537,-30.12,-432.3986363,-2.49,-0.52,-31.95,1056.51,883.95,-21.04,82.01,6.67,18.04070889,-57.2254,2.35
14,(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,17.12351472,-24.12699097,-30.12,594.6717064,0.33,-1.43,-6.03,769.89,668.53,22.2,39.24,6.16,15.13021877,54.86666667,1.23
15,(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,0.053133214,-5.188114571,44.44,-432.3986363,-7.24,-0.54,8.13,765.67,639.55,-11.86,0.93,0.13,18.94690932,160.5933333,1.13
16,(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,78.27578096,44.39009507,-18.65487191,-23.08,287.8921316,2.69,-0.61,30.22,1062.09,940.6,8.98,-2.3,-2.24,15.68640579,672.0003333,0.88
17,(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,1.563205887,4.247404846,16.67,4.048002791,2.13,1.01,31.17,1062.09,940.6,2.86,5.37,4.97,17.63272441,127.8877143,0.83
18,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-2.840375748,-5.545508375,-14.29,-153.8633857,-1.11,2.29,28.8,119.8,95.25,-0.82,1.16,1.43,124.010987,5.900333333,0.86
19,(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,78.27578096,4.65013396,29.45408102,0.0,-116.0852395,-0.91,5.3,7.75,156.01,152.69,-0.68,9.52,28.6,5.933525597,-75.62221774,0.56
20,(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-6.132879872,82.96258463,-20.0,125.3690776,1.75,4.05,-34.12,61.5,59.7,3.09,2.96,23.68,-4.667892938,-75.62221774,0.56
21,(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-7.519747157,-9.364472804,-19.81,-50.60025987,1.48,5.3,45.63,96.33,81.81,0.55,-0.99,-1.77,-395.9502789,130.7116697,1.29
22,(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,-8.106283961,-11.83400029,-5.42,-50.99375776,0.78,5.3,45.51,92.89,83.75,0.27,-4.99,-9.54,-128.5423834,185.285877,1.25
23,(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,0.229277913,-17.1965321,-3.77,-69.82421494,0.45,5.3,85.36,58.36,45.92,0.12,2.62,5.35,-29.87167,238.3558824,1.22
24,(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,-7.005543678,33.45531496,1.96,594.6717064,4.06,5.3,85.99,61.27,36.07,1.08,-2.5,-3.95,-65.0537565,220.6909615,1.83
25,(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,15.64399285,4.068573283,-1.92,-44.79294932,2.28,5.07,82.42,57.37,40.78,0.87,0.72,0.97,-38.91907509,-75.62221774,2.07
26,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-22.36308992,15.04430493,-21.24779744,3.92,190.5516122,8.13,2.46,82.1,90.87,68.77,5.62,17.21,11.51,-241.9316167,208.1232075,1.87
27,(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,9.652951927,2.863033378,-11.32,26.84050306,13.48,1.17,84.97,109.55,92.01,12.69,43.92,18.4,183.6212964,350.0610638,2.48
28,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,9.842964973,-2.95552733,-8.51,7.054292129,15.69,0.6,86.9,257.95,185.46,29.41,121.58,26.21,45.89207382,392.6251163,2.96
29,(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,78.27578096,68.03111037,6.299170553,11.63,-31.64573325,2.84,-1.46,90.08,51.15,41.69,3.46,1.98,14.99,-5.335214014,310.0485417,1.11
30,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-14.27578638,40.05363551,4.17,-84.86820585,0.26,5.3,90.82,51.15,33.02,0.1,-1.14,-5.45,-5.86347243,320.945,1.42
31,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,-13.31695475,11.10431097,-6.0,537.4432098,1.76,5.3,90.82,51.15,33.02,0.73,0.01,0.06,-3.275407124,108.437234,3.39
32,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,1.305491938,17.02028807,14.89,101.5802193,3.5,5.3,90.82,51.15,33.02,1.29,4.11,16.04,-7.709118423,205.4540741,3.5
