,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
0,(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,5.219838981,56.39690482,4.65,558.2374493,-8.5,2.37,-8.28,0.8,200.97,165.03,51.41,-19.47,-14.6,27.17962963
1,(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,55.10040697,25.51000779,1.49,558.2374493,1.45,1.4,0.74,1.65,694.71,610.74,14.11,-19.47,-13.51,51.11823529
2,(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,0.010945505,11.52057578,20.59,-44.09832543,0.69,0.78,0.32,-0.65,324.58,268.23,18.5,-17.73,-7.06,43.0795122
3,(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-4.480892909,18.85196864,-4.88,-488.7035721,-13.5,-4.49,-7.62,-0.11,296.85,235.21,20.78,16.12,5.8,27.67179487
4,(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,78.12143123,106.7705723,21.92128628,2.56,248.6155448,5.24,2.07,2.34,-0.47,862.15,792.17,9.76,29.03,8.69,65.742875
5,(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,-3.12895856,25.98061409,25.0,-9.946306608,6.83,1.41,2.85,-2.72,746.28,673.66,11.87,22.67,6.34,68.55005
6,(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,0.539925772,9.957255281,-1.66,-30.01063072,0.33,0.94,0.12,-1.27,1062.63,944.43,8.57,20.27,4.47,71.81308017
7,(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-23.18877172,-23.94249659,-21.21911983,5.38,84.54820029,-17.74,-3.34,-27.74,5.14,50.76,32.91,289.22,5.87,9.47,84.5009739
8,(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-6.578983294,54.09825664,20.3,-488.7035721,-8.99,-6.58,-12.61,-0.98,230.24,194.35,41.36,6.82,2.08,33.59337553
9,(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,6.304011816,4.69208537,-31.52,-488.7035721,-28.08,-2.49,-40.47,-0.52,1056.51,883.95,11.25,82.01,6.67,-57.2254
10,(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,17.12351472,-24.12699097,-31.52,558.2374493,-1.38,0.33,1.15,-1.43,769.89,668.53,14.07,39.24,6.16,54.86666667
