,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률
0,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,-0.6302925590398931,-4.029712818195541,-2.0354200988467874,1.4285714285714284,-0.37226599458845205,-0.32617247283260764,-0.8042620363062352,-2.022075055187638,-1.080551139374669,-1.1105411821787703,-0.3372904985240657,-0.6457399103139014,-1.0937500000000002
1,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,0.8037217736767444,0.7932364951738887,-0.4299835255354201,-0.8701298701298702,-0.25225260988875636,-0.31007213123434885,0.05327545382794007,-0.3057395143487859,0.6221515633280339,-0.30735924392347924,-0.2261087420859101,0.9686098654708523,-0.8906250000000001
2,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,0.6783635766289977,0.07069199238173837,-0.48846787479406917,-1.422077922077922,-0.2781084190823491,-0.30393465429587657,0.12115232833464878,-0.2704194260485651,0.552199258081611,-0.2749808512727858,0.12308881405443096,1.273542600896861,-1.0156250000000002
3,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,0.03849367563441619,7.390980493740282,-0.6210873146622734,-0.6363636363636364,-0.30671707347198807,-0.2016670562596852,2.7261247040252563,0.41059602649006616,0.5347111817700053,-0.5871380005346756,-0.6290297840989916,2.5426008968609866,1.4218749999999996
4,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,-0.4851089426911975,-1.7001595333647432,-0.7784184514003294,1.2727272727272727,-0.3513135226334785,-0.32232903415765957,-0.4388318863456985,-0.4613686534216336,-0.9856915739268682,-1.0417374281246645,3.607328071394484,-0.6591928251121079,-0.9843750000000001
5,(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,1.2770359403458258,-1.2692825967874746,-0.9373970345963755,3.7207792207792205,-0.4219569120036192,0.1443141999018095,-0.10891870560378847,2.43598233995585,-1.2363540010598837,-1.9154322512150836,4.74398392833414,-0.8116591928251123,-1.234375
6,(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-0.8017193384582973,-0.5268846479594188,-0.3962108731466227,3.7207792207792205,-1.1396363578504554,-1.1945276116729069,-0.6815311760063141,-1.672185430463576,-0.03815580286168535,0.8404866572391924,1.9239668139587218,-0.8116591928251123,-0.9218750000000001
7,(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,1.4784884155057867,7.390980493740282,0.4514003294892916,3.7207792207792205,-0.26347986196830087,-0.6672370148135985,-0.5832675611681136,-1.055187637969095,0.19395866454689986,1.2119787040785375,2.4463290465178753,-0.7757847533632288,-1.0156250000000002
8,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,1.8106979355260866,-0.9132381324314786,-0.5370675453047775,3.7207792207792205,-1.5450168465240093,-1.0835630599787451,-0.5295974743488555,-1.2207505518763797,0.058293587705352305,2.263906089431212,1.8482250761138312,-0.8116591928251123,-1.234375
9,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,0.35316929055213253,6.184506551830854,0.1153212520593081,3.7207792207792205,-1.0794766428140101,0.4619906011356059,-0.484214680347277,-0.6125827814569537,0.31054583995760465,0.0341431591776042,1.795129680479543,-0.8116591928251123,-1.234375
