,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당순이익,1주당 CASH FLOW,이자보상배율,CASH FLOW 대 부채비율,설비투자효율,부가가치율,종업원1인당부가가치율_계산,재고자산회전률
0,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,78.45578966,-341.5718679,75.17050474,-8.429134465,-0.74,-358.1124348,-33.34,2.53,-80.37,-100.872314,-23.81776809,-7.75,-8.1,2.89,1.66,-0.657014925,5.71
1,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,113.9413687,6.164569375,20.05315057,11.0,64.75096031,12.16,-1.01,2.22,55.70005978,8.1440118,50.08571429,13.63,106.25,33.79,75.89031532,6.05
2,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,-49.69226843,73.25936202,17.56329547,8.56,1.400176025,5.2,-1.86,2.81,21.96794372,20.32789534,303.0,15.35,114.6,32.47,78.97614108,6.65
3,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,92.5107757,1.564117767,4.854247527,-0.42,643.2236429,-0.64,-0.65,1.22,-15.35560098,223.3456039,1.72,81.36,565.49,32.14,49.22597458,11.55
4,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-452.2282032,-2.840375748,-5.545508375,-14.29,-153.8633857,-18.13,2.29,28.8,-73.53721068,-16.18792122,-0.82,1.16,7.67,3.45,5.900333333,3.84
5,(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,78.45578966,-124.9094742,4.65013396,29.45408102,0.0,-116.0852395,-31.5,6.06,7.75,-165.7002906,910.174308,-0.68,9.52,-3.22,-1.28,-77.36723404,5.18
6,(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,45.09492365,-8.106283961,-11.83400029,-5.42,-50.99375776,-2.09,6.06,45.51,-1102.00231,-1747.643045,0.27,-4.99,19.11,21.33,185.285877,8.72
7,(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,767.8950912,-7.005543678,33.45531496,1.96,643.2236429,0.48,6.06,85.99,41.05271429,-700.886,1.08,-2.5,21.39,25.71,220.6909615,3.94
8,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-379.3230748,-14.27578638,40.05363551,4.17,-84.86820585,-16.53,6.06,91.63,-1630.871532,-1527.360478,0.1,-1.14,4.32,23.15,320.945,11.99
9,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,37.24113362,-13.31695475,11.10431097,-6.0,537.4432098,-9.34,6.06,91.63,-1023.516486,1540.813301,0.73,0.01,5.62,27.91,108.437234,11.0
