,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,노동소득분배율
0,(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,55.10040697,25.51000779,1.49,522.1526616,0.52,1.4,1.65,-62.5,694.71,-16.38,-11.04,71.28432327
1,(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,0.010945505,11.52057578,20.59,-44.09832543,0.28,0.78,-0.65,-62.5,324.58,-16.38,-7.06,76.80981107
2,(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-4.480892909,18.85196864,-4.88,-417.5185649,-6.37,-4.49,-0.11,-62.5,296.85,16.12,5.8,134.4744069
3,(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,74.29506522,102.2875763,21.92128628,2.56,248.6155448,2.06,2.07,-0.47,-53.95,862.15,29.03,8.69,63.25389982
4,(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,0.539925772,9.957255281,-1.66,-30.01063072,0.11,0.94,-1.27,3.11,1069.54,20.27,4.47,86.15954025
5,(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,6.304011816,4.69208537,-28.87,-417.5185649,-16.92,-2.49,-0.52,-31.95,1056.51,82.01,6.67,163.5949843
6,(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,17.12351472,-24.12699097,-28.87,522.1526616,-1.19,0.33,-1.43,-6.03,769.89,39.24,6.16,79.24722726
7,(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,0.053133214,-5.188114571,42.07,-417.5185649,-4.11,-7.24,-0.54,8.13,765.67,0.93,0.13,120.8459936
8,(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,74.29506522,44.39009507,-18.65487191,-23.08,287.8921316,17.6,2.69,-0.61,30.22,1083.24,-2.3,-2.24,16.20042042
9,(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-6.132879872,79.59517381,-20.0,125.3690776,-4.29,1.75,4.05,-34.12,61.5,2.96,23.68,0.0
10,(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,15.64399285,4.068573283,-1.92,-44.79294932,5.32,2.28,4.47,82.42,57.37,0.72,0.97,40.05949384
11,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-19.85291941,15.04430493,-21.24779744,3.92,190.5516122,-0.19,8.13,2.46,82.1,90.87,17.21,11.51,38.67303873
12,(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,9.652951927,2.863033378,-11.32,26.84050306,9.46,13.48,1.17,84.97,109.55,43.92,18.4,26.63980529
13,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,9.842964973,-2.95552733,-8.51,7.054292129,10.76,15.69,0.6,86.9,257.95,127.32,26.21,28.31500723
14,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,1.305491938,17.02028807,14.89,101.5802193,0.84,3.5,4.47,91.0,51.85,4.11,16.04,22.02879444
15,(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,7.271657822,19.57313536,3.57,194.259531,4.3,6.0,0.52,12.26,168.09,6.23,1.1,57.97240075
16,(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,21.03194923,-0.431038523,20.69,231.1201021,15.13,19.23,0.34,26.39,291.69,57.91,6.65,35.16254844
17,(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,8.795430361,-6.266970193,4.29,7.889598239,11.13,20.29,0.09,31.84,399.36,103.42,11.41,45.24632793
18,(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,13.57684568,0.903853572,1.37,5.015146943,15.02,20.08,-0.07,39.53,673.11,89.01,8.31,38.24387805
19,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,11.16256187,-8.698414966,0.73,-6.319362055,5.89,6.93,-1.49,14.48,81.19,8.23,6.13,38.70562658
