회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율
(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,2.342738598850196,7.6524172326543916,-0.3574840764331211,0.29220779220779225,-0.3204832862393582,-1.3882447827401954,-2.287564067979498,-0.4082077356092246
(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,-0.6486611890873218,-4.910348869129189,-1.9864649681528663,1.4155844155844153,-0.37201763945559113,-0.7938300231878214,-1.9552198543296466,-1.297984383511894
(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,0.9391778284697463,-0.07641409740363699,-0.5119426751592357,-1.9935064935064937,-0.27345166958290174,0.4470208690392176,0.10035068788777984,-0.4234610495732704
(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,0.6656548227099571,0.7451363223510535,-0.43471337579617836,-0.883116883116883,-0.2504116952033027,0.08246799072487145,-0.2773131912597788,-0.2622117305247866
(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,0.5507603744252142,0.04837905707835356,-0.49124203821656054,-1.435064935064935,-0.27661060709351803,0.15182982155459213,-0.24278392230914486,-0.613037951697839
(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-1.2388554988210936,0.9628742863572581,-1.6098726114649682,3.961038961038961,-2.0092341829734064,-0.23046678092549652,0.4380900998111681,-0.01234792082803691
(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,2.236667400392973,-4.910348869129189,-1.3773885350318473,-0.8636363636363636,-0.4539415305941648,-0.19215646738582517,-0.3593202050175344,0.2447793717087344
(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-0.03569907521718948,7.6524172326543916,-0.6194267515923567,-0.6493506493506493,-0.30559889402121976,2.8137917128742815,0.4229835446452657,1.4911930270564735
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,-0.06370185137437599,0.07750091495613906,-0.3893312101910829,0.4285714285714286,-0.2774573588841212,-0.250630103841113,-0.047477744807121705,-0.8178681677864535
(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,-0.5155961650744624,-1.6592716987091294,-0.7714968152866243,1.2597402597402596,-0.35078713135118456,-0.42040528279060385,-0.42945778257350964,-1.2565825313237697
(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,1.0994610781085103,-1.243772535905288,-0.92515923566879,3.961038961038961,-0.4223679478662263,-0.08327452364149616,2.429997302400863,-1.3408389322680225
(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-0.6918224085570703,-0.5235425365706041,-0.18710191082802546,3.616883116883117,-1.8525417632126584,-0.5071075713277547,-0.7747504720798489,-0.8222262574904667
(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-0.8057788384023165,-0.527870383760207,-0.40207006369426757,3.961038961038961,-1.1495708919465537,-0.6684141546526868,-1.6131642837874292,-0.7321590702741965
(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,-1.053233051187363,-0.7349752838281616,-0.5294585987261148,3.961038961038961,-0.7771322825425384,-0.3615283798770037,-0.0064742379282439165,-0.8592700199745779
(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,1.2840981543763175,7.6524172326543916,0.41719745222929944,3.961038961038961,-0.26178793122820787,-0.5680008065329166,-1.0099811168060426,-0.5019066642455057
(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,0.03097694696827474,-0.3150730711749431,0.12181528662420378,-1.1753246753246753,0.15980165063799326,-0.38733743320899283,1.0337199892096034,-1.1258398402033776
(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,1.5885778806054185,-0.900435113308455,-0.5382165605095541,3.961038961038961,-1.5603307186938333,-0.5131565682024397,-1.171837065012139,-1.0539313600871618
(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,0.25271031496303664,5.943994754609421,0.0923566878980892,3.961038961038961,-1.0886128665457913,-0.46678092549652184,-0.5772862152684112,-0.9689486108589068
(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,0.4319858786365173,0.29133088996220824,-0.11385350318471336,0.27272727272727276,-0.28112528530490116,-0.1316664986389757,-0.378742918802266,-0.3464681314690394
(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,0.2928598160766211,-0.4904900174479638,-0.3694267515923568,0.19480519480519484,-0.29219906924260125,-0.20909365863494303,-0.44564337739411924,-0.3152351552569457
(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,-0.8995420077375399,-0.4196776610372191,0.42914012738853513,-0.2922077922077922,-0.22463508812611926,2.4960177437241655,0.15861882924197462,0.3559106591610676
(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-0.3704784701133076,-0.9039491855832473,-0.480095541401274,-0.2987012987012987,-0.27946144371093157,1.8290150216755718,-0.012948475856487738,-0.15035409478845108
(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,-1.3340654289509568,-2.706214489355108,-0.8805732484076434,-0.35714285714285715,-0.31526737257234694,1.2906542998286117,0.2319935257620717,-0.5258761576175777
(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,0.6211231607482823,0.23555461852328294,0.7484076433121019,-0.4155844155844155,0.37329583711177644,0.12602076822260308,0.4629080118694361,-0.07699291810423088
(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,-0.04570004441714361,-0.05369466532485854,0.4872611464968153,-0.844155844155844,0.2213314714591703,0.019558423228147975,0.17264634475316964,-0.33412021064100234
(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-0.8892969505039746,-0.5209160567319019,-0.25,0.012987012987012998,0.05069052607531488,-0.09779211614074002,0.017264634475316985,-0.506991102233521
(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,1.2512131602957648,-0.10874128944637843,-0.3964968152866243,0.09740259740259742,0.5277431377673287,-0.23974190946668011,-0.09387644995953602,-0.11476302887234416
(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,1.6083203947619504,0.13559083173685854,-0.43471337579617836,0.0,-0.18105180590148917,0.16675068051214836,0.35500404639870503,-0.6319230070818957
(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,-0.6591838173296155,-1.9799207094884625,-0.9570063694267517,-0.12987012987012986,-0.749263208083884,-1.0365964310918439,-1.4879956838413813,-1.4650444888323952
(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,0.5763800659323483,1.612300367583622,0.06369426751592364,-0.40259740259740256,0.7026009376041664,-0.2949894142554693,-0.364715403291071,-1.4294534229162883
(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,-1.5309250211324268,7.6524172326543916,0.0222929936305732,-0.2922077922077922,0.20862091247221404,0.42605101320697636,0.2794712705691934,-0.7830034501543491
(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.24911026675793602,0.03398042098065373,0.10429936305732489,-0.23376623376623376,4.2443918907213805,-0.08246799072487151,-0.08092797410304829,-0.2513165062647539
(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.24609820683623004,-0.2847395833169403,-0.11783439490445864,-0.2987012987012987,2.9983180442473225,-0.08287125718318383,-0.11761532236309682,-0.3195932449609588
(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.3483698731214913,-0.14422198142674178,-0.3200636942675159,-0.422077922077922,0.9752522137968055,0.33088012904526654,0.3032101429727543,-0.5861630651897585
(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.5866117994333719,0.2508715000157854,-0.2539808917197453,-0.538961038961039,3.218747253783709,0.3026514769634035,0.31400053951982737,-0.3580897040130743
(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.10518906287676295,0.8448301419053869,0.005573248407643335,-0.6233766233766234,5.637633661209571,0.2530497025909869,0.19422713784731588,-0.29199201016887594
(주)STX,11810,201112,199009,,0,0,0,도매 및 소매업,1,-2.0624290954045574,-0.46378486963146975,0.41878980891719747,1.1038961038961037,2.5874612355697044,-0.4881540477870753,-0.615052603183167,-0.6050481205738152
(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-0.11111996716734039,-2.9927385698125115,-2.548566878980892,0.9285714285714286,-2.0092341829734064,-0.29377961488053234,-0.31507957917453466,-1.5325948792445978
(주)TCC스틸,2710,201112,198412,,0,0,0,제조업,1,0.4911875785027128,-0.26871471534988706,-0.23328025477707007,0.655844155844156,-0.0724235157909361,-0.7276943240245992,-0.8934448340976532,-0.5200653713455602
(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,-0.3770880534145779,-0.4954413881295031,-0.427547770700637,0.9285714285714286,-0.28798086590989974,-0.5603387438249824,-0.743458322093337,-0.6704194661340113
(주)가비아,79940,201112,200510,,0,0,0,정보통신업,0,1.1097960618614657,0.29295339251608976,0.8797770700636944,-0.512987012987013,0.13412549204294175,1.9967738683335012,1.4480712166172105,1.5514799346286547
(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,1.1567574467514776,-0.04243100133714558,0.4904458598726115,-2.2337662337662336,0.25490217043955743,1.2866216352454884,1.203129214998651,1.313964045759942
(주)가비아,79940,201712,200510,,0,0,0,정보통신업,0,0.37431491983526827,0.047256039601092634,0.3964968152866243,-0.40909090909090906,0.26116843782065724,1.8399032160500048,1.1944968977609927,1.3190484837479572
(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,0.23703833224217538,0.5067813278798792,0.715764331210191,-0.40909090909090906,0.5865715574733402,1.822966024800887,1.1901807391421635,1.6531686943889596
(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,0.44212605697532037,0.36847107847159627,0.8797770700636944,-0.20779220779220775,0.9171795468386339,1.3588063312833953,1.5559751820879415,2.2821863083348464
(주)강원랜드,35250,201112,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-0.42967236994596825,-0.11735801902405021,1.1488853503184715,-2.2337662337662336,1.0901213764813027,3.5320092751285412,2.429997302400863,0.7524968222262575
(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-0.14848256147029706,-0.15539318640807456,0.7555732484076433,-2.2337662337662336,0.8180411354989892,2.79282185704204,2.429997302400863,0.44888323951334663
(주)강원랜드,35250,201712,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-0.5101048440076168,-0.12297646510174397,0.6146496815286625,-1.7402597402597404,1.2947458943778842,2.654098195382599,2.429997302400863,0.4031232976212094
(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-0.7383007558139778,-0.1745956982423735,0.33041401273885357,-2.207792207792208,0.7853967775988879,2.120173404577074,2.429997302400863,0.0987833666242963
(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,0.0034943229873420196,0.2128892894877789,0.4554140127388536,-2.0064935064935066,0.9212330494788513,1.6931142252243168,2.155921230105206,0.15398583620846204
(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,3.694470765352979,0.8709858263759279,1.9235668789808917,-0.7012987012987013,0.2566083999283365,-0.7059179352757334,-0.9020771513353115,0.19466134011258396
(주)갤럭시아에스엠,11420,201112,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,0.24021549397349232,0.4417222681592227,0.9904458598726117,0.40259740259740256,-0.1785130122331817,0.7426151829821553,0.7725923927704343,1.290720900671872
(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,0.4927855745703867,-0.62512834026556,0.0007961783439490277,0.1363636363636364,-0.2782746449922486,0.1578788184292771,-0.03452926895063397,0.5345923370256037
(주)갤럭시아에스엠,11420,201712,198911,,1,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-1.6052186661793046,0.08276061442006237,-1.298566878980892,-0.24675324675324675,-0.4599971407149849,-1.3882447827401954,-1.8257350957647696,-1.355365897948066
(주)경농,2100,201112,197706,,0,0,0,제조업,1,-0.9626114329992562,-0.4657641584113122,-0.20939490445859874,0.29870129870129875,-0.27542399489348335,1.3878415162818831,0.6765578635014836,-0.2251679680406755
(주)경농,2100,201212,197706,,0,0,0,제조업,1,0.33843160094852975,0.7571040568659959,0.031050955414012787,0.6363636363636365,0.07549030456918092,-0.1655408811372114,0.10898300512543833,-0.27891774105683675
(주)경농,2100,201712,197706,,0,0,0,제조업,1,-0.20202554145253274,-0.053472640162319306,-0.27945859872611467,0.6818181818181817,0.06722301083993064,-0.02076822260308501,0.24710008092797411,-0.12711094970038134
