,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,당좌비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
0,(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,5.219838981,56.39690482,4.65,692.7769383,-5.58,2.37,3.51,0.8,-112.34,165.03,3.53,-22.84,-15.79,27.17962963
1,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,80.33282474,75.17050474,-8.429134465,-0.74,-449.4588517,-15.78,-9.96,-16.95,2.53,-112.34,649.98,-7.75,-8.1,-12.71,-0.657014925
2,(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,-3.12895856,25.98061409,25.0,-9.946306608,2.57,1.41,1.57,-2.72,-3.47,673.66,50.08571429,22.67,6.34,68.55005
3,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,6.164569375,20.05315057,11.0,64.75096031,5.42,2.29,2.54,-1.01,2.22,856.94,50.08571429,13.63,2.84,75.89031532
4,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,73.25936202,17.56329547,8.56,1.400176025,1.99,1.7,1.83,-1.86,2.81,933.26,303.0,15.35,3.16,78.97614108
5,(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-25.32298956,-23.94249659,-21.21911983,5.38,84.54820029,-7.59,-3.34,-12.22,6.45,-112.34,33.38,-0.75,5.87,9.47,84.5009739
6,(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-6.578983294,54.09825664,20.3,-449.4588517,-8.65,-6.58,-9.3,-0.98,-7.97,194.35,-21.15,6.82,2.08,33.59337553
7,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,1.564117767,4.854247527,-0.42,692.7769383,-0.78,0.19,0.22,-0.65,1.22,371.91,1.72,81.36,9.33,49.22597458
8,(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,1.563205887,4.247404846,16.67,4.048002791,1.65,2.13,3.11,1.01,31.17,933.26,2.86,5.37,4.97,127.8877143
9,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-2.840375748,-5.545508375,-14.29,-153.8633857,-5.61,-1.11,-1.69,2.29,28.8,95.25,-0.82,1.16,1.43,5.900333333
10,(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,80.33282474,4.65013396,29.45408102,0.0,-116.0852395,-4.78,-0.91,-3.62,6.45,7.75,152.69,-0.68,9.52,27.93,-88.28790698
11,(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-7.519747157,-9.364472804,-19.81,-50.60025987,-1.33,1.48,5.65,5.92,45.63,81.81,0.55,-0.99,-1.77,130.7116697
12,(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,-8.106283961,-11.83400029,-5.42,-50.99375776,-0.78,0.78,2.95,6.45,45.51,83.75,0.27,-4.99,-9.54,185.285877
13,(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,0.229277913,-17.1965321,-3.77,-69.82421494,-3.24,0.45,1.35,6.45,85.36,45.92,0.12,2.62,5.35,238.3558824
14,(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,-7.005543678,33.45531496,1.96,692.7769383,0.21,4.06,13.24,6.45,85.99,36.07,1.08,-2.5,-3.95,220.6909615
15,(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,80.33282474,68.03111037,6.299170553,11.63,-31.64573325,1.5,2.84,9.53,-1.46,90.08,41.69,3.46,1.98,14.99,310.0485417
16,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-14.27578638,40.05363551,4.17,-84.86820585,-2.56,0.26,1.24,6.45,90.73,33.38,0.1,-1.14,-5.45,320.945
17,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,-13.31695475,11.10431097,-6.0,537.4432098,-1.69,1.76,9.16,6.45,90.73,33.38,0.73,0.01,0.06,108.437234
18,(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,3.08790843,14.98935662,-1.8,23.48991936,1.8,4.16,6.57,0.77,4.5,115.16,2.82,8.32,1.9,130.4706422
19,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-0.553511841,11.97438295,2.75,-47.59504828,0.2,2.1,3.36,0.65,6.05,123.05,1.72,6.4,1.28,117.5369643
20,(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,3.46298736,-13.86592358,0.0,-41.15662483,7.91,11.35,13.39,-0.1,40.46,816.13,162.17,73.48,6.88,184.1913514
