,Feature,Lasso,Stepwise,RFE,Chi-2,LR,RF,Total
0,총자본증가율,False,True,False,False,True,True,3
1,순이익증가율,False,False,False,False,False,True,1
2,자기자본증가율,False,True,False,False,False,False,1
3,종업원수증가율,False,False,False,False,False,True,1
4,정상영업손익증가율,False,True,False,False,False,True,2
5,매출액정상영업이익률,False,False,False,False,True,True,2
6,매출액순이익률,False,False,False,False,False,True,1
7,총자본순이익률,False,False,True,False,False,False,1
8,총자본정상영업이익률,True,True,True,True,True,True,6
9,자기자본정상영업이익률,False,True,True,True,True,True,5
10,자기자본순이익률,False,True,False,False,False,True,2
11,금융비용부담률,False,True,True,False,True,True,4
12,수지비율,False,False,False,False,False,True,1
13,사내유보 대 자기자본비율,False,False,False,False,False,False,0
14,1주당매출액,False,True,True,True,True,False,4
15,1주당순이익,False,False,False,False,False,False,0
16,1주당 CASH FLOW,False,True,False,False,False,False,1
17,1주당순자산,False,False,False,False,False,False,0
18,유보율,False,False,True,True,True,False,3
19,부채비율,False,True,False,True,False,False,2
20,CASH FLOW 대 부채비율,False,False,False,False,False,False,0
21,CASH FLOW 대 총자본비율,True,True,True,False,True,False,4
22,CASH FLOW 대 매출액비율,False,False,False,False,False,False,0
23,총자본투자효율,False,False,True,False,False,False,1
24,설비투자효율,False,False,False,False,False,False,0
25,부가가치율,False,False,False,False,False,False,0
26,노동소득분배율,False,False,False,False,False,False,0
27,종업원1인당부가가치율_계산,False,False,False,False,False,False,0
28,유동자산회전률,False,True,False,True,False,False,2
29,당좌자산회전률,False,False,False,False,False,False,0
30,재고자산회전률,False,True,False,True,False,False,2
31,자기자본구성비율,False,False,False,False,False,False,0
32,총자본회전률,False,False,False,True,False,False,1
33,타인자본회전률,False,True,True,True,True,False,4
34,순운전자본회전률,True,True,True,True,True,False,5
