,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당순이익,1주당 CASH FLOW,유보율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,설비투자효율,노동소득분배율,종업원1인당부가가치율_계산,순운전자본회전률,유동비율,당좌자산회전률
0,(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,3.51,-8.28,0.8,-92.25,-34.51983375,-58.60037718,18.83,51.41,3.53,-19.54,-13.66,35.86,89.81904688,27.17962963,0.86,200.97,1.55
1,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,-16.95,-26.84,2.53,-92.25,-100.872314,-23.81776809,18.83,80.77,-7.75,-8.1,-12.71,2.89,170.9206997,-0.657014925,0.42,693.49,0.57
2,(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,1.96,0.74,1.65,-92.25,3.419043233,-45.47103205,18.83,14.11,0.7,-19.54,-13.51,77.91,71.28432327,51.11823529,0.42,694.71,0.56
3,(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,0.9,0.32,-0.65,-92.25,1.824364742,8.367992904,18.83,18.5,3.6,-17.73,-7.06,37.8,76.80981107,43.0795122,0.56,324.58,0.8
4,(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-5.37,-7.62,-0.11,-92.25,-41.33867417,27.29649184,18.83,20.78,-21.04,16.12,5.8,24.21,134.4744069,27.67179487,0.75,296.85,1.22
5,(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,2.34,2.34,-0.47,-53.95,15.89493889,30.55318006,86.02,9.76,50.08571429,29.03,8.69,62.31,63.25389982,65.742875,0.54,862.15,0.71
6,(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,1.57,2.85,-2.72,-3.47,26.03519839,17.89085598,79.9,11.87,50.08571429,22.67,6.34,84.87,67.97929441,68.55005,0.46,746.28,0.57
7,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,2.54,6.01,-1.01,2.22,55.70005978,8.1440118,90.99,10.0,50.08571429,13.63,2.84,106.25,67.32648173,75.89031532,0.55,957.86,0.68
8,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,1.83,2.15,-1.86,2.81,21.96794372,20.32789534,159.42,8.48,303.0,15.35,3.16,114.6,72.1686029,78.97614108,0.47,1062.09,0.56
9,(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.01,0.12,-1.27,3.11,1.547933807,21.19836872,160.82,8.48,79.74,20.27,4.47,108.22,86.15954025,71.81308017,0.4,1062.09,0.56
