회사명,index,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,시장구분,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,부가가치율,종업원1인당부가가치율_계산,자기자본회전률,타인자본회전률
삼정펄프(주),2492,009770,201812,200610,,0,0,0,KOSPI,제조업,1,-2.226942758,-1.6662854,-5.425115078,-23.36,-156.0960971,-2.1,-1.35,-69.6640081,893.17,780.6,11.91,21.29,3.37,11.24,16.73,97.37618026,0.793973093,6.1
효성첨단소재(주),3976,298050,202012,201807,,0,0,0,KOSPI,제조업,1,-6.104265255,-5.991532857,-21.58075329,-3.66,-78.39374459,1.39,1.95,1520.171439,59.64,39.02,388.92,11.01,9.17,21.88,21.72,120.49183,6.550720162,1.16
(주)퍼시스,1340,016800,201212,199612,,0,0,0,KOSPI,제조업,1,-1.633047635,3.564255476,-20.03806796,19.69,-29.81365648,7.07,-2.05,2556.546609,740.06,676.07,12.79,46.09,8.06,13.37,20.62,150.5497697,0.947149533,4.86
(주)현대백화점,1544,069960,201212,200211,,0,0,0,KOSPI,도매 및 소매업,1,14.40686608,11.89821328,5.616145524,21.44,-5.302028812,8.42,-0.46,15571.07517,101.78,98.6,66.85,18.0,25.62,14.33,50.9,363.495826,0.497563186,0.76
에이치에스디엔진(주),2901,082740,201112,201101,,0,0,0,KOSPI,제조업,1,5.469908305,69.07080618,15.90599314,0.23,21.7310623,13.18,-0.28,3234.185079,81.66,61.33,257.31,14.55,10.71,20.9,21.37,317.9315666,0.464403656,1.2
삼성SDI(주),2388,006400,201412,197902,,0,0,0,KOSPI,제조업,1,51.27934656,56.80533421,9.12508605,33.76,138.6830311,0.53,0.08,-1141.114928,156.84,122.75,35.02,7.47,5.65,9.62,28.08,48.94663764,0.664129048,1.53
(주)우성,987,006980,201612,198810,,0,0,0,KOSPI,제조업,1,-4.118872522,-0.396100003,-12.17684678,4.48,-68.65793894,0.43,-0.08,26.0294822,201.36,152.67,48.53,9.98,2.91,12.18,10.87,90.43739286,1.84285889,3.23
(주)영흥,960,012160,201412,201001,,0,0,0,KOSPI,제조업,1,10.48930384,1.415047115,-10.50564575,32.14,-69.30244878,0.94,0.56,32.08892215,115.15,78.0,98.59,9.35,7.49,11.67,18.84,76.76586873,1.359459655,1.37
(주)비지에프리테일,474,282330,201812,201712,,0,0,0,KOSPI,도매 및 소매업,1,16.06600301,34.22637793,82.96258463,0.0,594.6717064,13.73,-0.12,8920.823973,91.15,77.61,184.2,16.69,2.78,48.04,12.33,250.7851035,6.550720162,6.25
한국주강(주),3596,025890,201712,199707,,0,0,0,KOSPI,제조업,1,30.97605815,-10.13275819,12.89855365,44.64,-432.3986363,-2.79,-1.29,-417.8265791,123.31,97.7,50.73,-0.25,-0.24,1.87,5.31,15.11895238,0.411458731,1.95
디와이파워(주),2200,210540,202012,201501,,0,0,0,KOSPI,제조업,1,9.585727162,13.17599108,-11.27448805,3.62,36.95869689,12.91,0.17,2301.308004,216.91,166.31,52.23,37.26,12.07,28.35,26.78,95.43518703,2.165483765,3.14
자화전자(주),3126,033240,201812,199901,,0,0,0,KOSPI,제조업,1,-22.36308992,-2.351359593,-19.5877507,-5.56,-127.6681165,-1.9,-0.52,-71.68558659,267.48,229.07,27.17,49.77,10.45,31.16,30.63,67.88704044,1.568241618,2.84
(주)넥솔론,152,110570,201112,201110,42842.0,0,0,0,KOSPI,제조업,1,44.32627985,8.3112714,30.32730958,0.0,-121.3055317,-1.1,4.62,-304.3907307,61.39,35.6,388.92,-5.62,-8.5,5.37,9.84,61.69902985,3.112422321,0.77
케이피엑스케미칼(주),3309,025000,201412,199412,,0,0,0,KOSPI,제조업,1,8.565192378,9.524825376,5.782005427,17.79,37.23682793,9.33,-0.3,8457.55124,277.59,210.15,33.87,21.61,3.39,18.35,11.36,270.1979866,2.277080732,6.56
삼성공조(주),2402,006660,201812,198711,,0,0,0,KOSPI,제조업,1,-1.108828825,2.72415842,-11.87570014,-1.73,-126.4911312,-0.43,-2.91,779.2412402,353.92,325.07,21.64,17.87,10.23,6.48,20.85,51.49180617,0.450964538,1.6
(주)태영건설,1301,009410,201712,198911,,0,0,0,KOSPI,건설업,1,36.18777535,13.79600309,58.61739114,19.01,220.5318331,7.55,0.72,1561.284415,128.02,72.14,231.06,-1.18,-1.2,13.19,19.19,204.4221006,1.63080462,1.18
(주)화승엔터프라이즈,1584,241590,201712,201610,,0,0,0,KOSPI,제조업,1,43.53029205,35.62495155,19.99114518,-25.0,33.55532457,11.01,0.45,1374.835021,92.42,53.36,139.71,8.88,4.22,33.82,27.59,685.3952381,3.320893447,2.52
(주)종근당홀딩스,1180,001630,202012,197606,,0,0,0,KOSPI,제조업,1,17.09364763,13.54415242,19.07664947,44.64,3.600595683,7.65,0.26,16360.35769,140.66,82.03,49.76,21.26,10.36,22.03,32.31,569.20525,1.021578509,2.28
해태제과식품(주),3801,101530,201612,201605,,0,0,0,KOSPI,제조업,1,6.437380776,66.63241485,-0.685345876,0.0,-24.98007194,4.55,1.37,874.5360328,58.47,45.7,170.22,10.0,6.33,24.69,24.8,77.07606792,5.471444985,1.48
(주)사조해표,507,079660,201112,200409,43642.0,0,0,0,KOSPI,제조업,1,15.03015651,2.44589069,11.52172831,2.85,-51.15234838,2.18,0.61,385.4797486,86.17,38.99,168.12,-0.07,-0.03,8.89,5.44,71.44686981,4.38069785,2.89
(주)삼양패키징,529,272550,201712,201711,,0,0,0,KOSPI,제조업,1,1.106061569,12.72864085,7.517800422,0.0,4.148652765,8.62,2.36,1966.196156,130.79,109.21,102.38,21.15,15.96,20.45,30.51,243.3914593,1.356713203,1.27
세기상사(주),2621,002420,201712,196812,,0,0,0,KOSPI,도매 및 소매업,1,-1.969144293,-1.792663779,2.99459498,0.0,49.30773473,-0.86,5.3,232.8087892,51.15,33.02,81.76,-2.76,-9.5,7.37,56.31,83.42815789,0.348038399,0.58
(주)삼원강재,533,023000,201112,201107,,0,0,0,KOSPI,제조업,1,45.72275688,80.17294023,22.47603052,0.0,36.09779378,14.73,0.03,511.263375,190.14,121.63,60.51,14.85,3.51,24.73,15.52,207.9283398,2.557658445,4.39
전방(주),3127,000950,201112,196810,,0,0,0,KOSPI,제조업,1,69.21124533,67.96820657,-4.910520405,-1.47,-236.7932278,-5.53,2.26,-2238.020276,58.68,33.02,119.64,-1.64,-1.51,2.09,3.55,6.36587156,1.783291249,1.27
(주)신세계인터내셔날,690,031430,202012,201107,,0,0,0,KOSPI,도매 및 소매업,1,1.645427448,6.99476074,-6.982569179,6.86,-60.03839846,2.97,0.67,7137.0,142.17,57.65,78.95,20.5,7.83,20.94,18.12,151.9501834,2.137016421,2.56
신세계건설(주),2678,034300,201312,200206,,0,0,0,KOSPI,건설업,1,-5.108089745,-31.51271657,-26.41997617,0.7,-358.3450197,-3.57,2.05,-2238.020276,51.15,33.7,388.92,0.79,0.94,-3.59,-5.86,-75.62221774,3.716251589,0.93
(주)삼일씨엔에스,554,004440,201712,201603,,0,0,0,KOSPI,제조업,1,-4.654513425,-1.115568695,-22.2306671,-11.33,-76.78184199,3.49,-0.3,345.5435371,257.4,198.27,26.55,39.82,13.66,10.13,16.57,137.6225188,0.76950658,2.66
(주)세이브존아이앤씨,635,067830,201112,200207,,0,0,0,KOSPI,도매 및 소매업,1,6.76904866,1.61403232,5.850872714,-10.69,10.48789944,5.85,4.97,390.3371259,56.35,53.91,109.42,11.94,19.61,10.89,34.24,244.477906,0.666370983,0.63
에스케이네트웍스(주),2828,001740,201512,197706,,0,0,0,KOSPI,도매 및 소매업,1,-3.545767983,0.045382238,-9.158430291,-3.85,-4.850012041,2.29,0.35,294.1538303,92.06,65.27,225.6,-1.01,-0.28,7.74,3.12,154.4765658,6.550720162,3.49
씨제이제일제당(주),2757,097950,202012,200709,,0,0,0,KOSPI,제조업,1,-2.544612158,7.224173301,8.47004385,2.93,51.59051182,5.24,1.17,16360.35769,105.47,79.19,151.93,13.42,8.55,23.57,24.9,190.0882001,2.662641056,1.5
삼아알미늄(주),2431,006110,201312,198012,,0,0,0,KOSPI,제조업,1,9.959018926,-0.134471627,-14.08869921,-1.85,-76.87683964,0.64,0.37,34.08718182,159.26,96.79,74.44,16.67,10.52,12.88,19.06,92.73407547,1.377342421,1.77
(주)대유에이텍,228,002880,201412,197702,,0,0,0,KOSPI,제조업,1,70.82381289,18.94140111,32.83425446,1.05,9.265835346,2.39,0.61,176.7217647,65.19,51.6,388.92,5.51,4.68,9.71,9.87,93.8334715,6.505337827,1.53
(주)지에스리테일,1192,007070,201212,201112,,0,0,0,KOSPI,도매 및 소매업,1,-2.679273459,6.262968463,13.01102091,27.96,36.39407185,4.76,0.07,1603.359221,121.34,96.55,91.14,7.99,2.47,26.46,17.14,169.8080552,2.775409561,3.05
알보젠코리아(주),2789,002250,201412,197311,43605.0,0,0,0,KOSPI,제조업,1,78.27578096,90.75571586,-7.865142334,2.47,-331.5007431,-3.56,-0.58,-901.2594281,302.14,222.54,73.53,-10.8,-13.66,7.24,34.87,65.92846386,0.752723424,0.58
한화솔루션(주),3781,009830,201112,197406,,0,0,0,KOSPI,제조업,1,27.68326088,31.60038948,10.59496817,9.65,-58.12649111,2.85,2.18,1178.837127,89.35,61.96,147.06,10.48,9.31,10.97,16.36,360.1604097,1.069560127,1.19
이연제약(주),3027,102460,201312,201006,,0,0,0,KOSPI,제조업,1,13.68604989,11.11051684,-4.059556715,-1.92,-17.87311082,10.4,-1.35,875.4233333,361.09,291.76,27.07,28.97,10.04,22.1,35.94,128.8531699,0.986387868,3.2
동일산업(주),2122,004890,201712,200506,,0,0,0,KOSPI,제조업,1,6.833721257,5.595639625,24.54487089,-0.85,91.06585003,6.11,-1.54,9626.707323,643.89,518.53,15.09,43.8,6.01,12.82,13.42,231.7614592,0.947866066,7.82
에이치디씨현대이피(주),2892,089470,201212,200609,,0,0,0,KOSPI,제조업,1,25.52219491,13.66224323,12.31237866,6.82,9.881293796,6.61,1.15,595.5985893,117.46,82.75,274.75,-2.93,-1.28,13.79,8.26,141.2423889,6.331403668,2.58
진양산업(주),3230,003780,201512,197306,,0,0,0,KOSPI,제조업,1,9.167948992,9.942361321,13.67921904,10.71,67.95558795,16.9,-0.2,408.6227692,478.06,357.46,17.88,69.13,10.32,27.81,27.38,138.766129,1.175158682,6.86
(주)세아홀딩스,615,058650,201112,200107,,0,0,0,KOSPI,제조업,1,21.45864868,46.54935499,25.26692874,26.92,41.81684533,9.32,1.2,16360.35769,130.46,72.62,78.62,17.23,6.84,19.95,18.0,377.0169697,1.979886504,2.48
태평양물산(주),3431,007980,201212,199412,,0,0,0,KOSPI,제조업,1,43.06776205,-1.431487633,26.40899512,15.64,-50.46986314,1.6,1.61,-656.5848978,102.34,33.02,329.3,-19.54,-11.63,22.78,17.68,106.5072,4.313111227,1.68
효성아이티엑스(주),3971,094280,201912,200710,,0,0,0,KOSPI,임대업,1,31.23696961,8.276600427,-3.449266602,-8.29,14.90334239,9.28,-0.52,871.4077084,73.51,66.2,208.04,17.92,4.97,50.49,65.0,38.55444036,6.550720162,4.28
(주)한창,1486,005110,201812,197606,,0,0,0,KOSPI,도매 및 소매업,1,2.263075389,-20.37222053,-11.53967242,0.0,1.795142439,4.4,0.18,44.77362669,127.06,60.86,225.67,-0.99,-0.74,12.54,13.45,-75.62221774,2.813091427,1.45
(주)삼양사,520,145990,201712,201112,,0,0,0,KOSPI,제조업,1,3.123741655,6.047046129,2.01362143,6.9,-39.67177142,4.24,0.49,4613.986489,174.21,116.85,72.11,7.26,3.17,12.45,12.98,120.8056457,1.699168456,2.28
(주)아모레퍼시픽그룹,751,002790,201112,197304,,0,0,0,KOSPI,제조업,1,28.53604438,27.66097569,14.37394637,44.64,17.45022327,10.76,-0.76,16360.35769,243.78,192.18,26.72,50.64,14.86,22.95,31.92,685.3952381,0.91092463,3.63
(주)디아이,328,003160,201612,199607,,0,0,0,KOSPI,제조업,1,4.586307865,-0.29260958,4.02423821,6.96,254.003119,3.12,0.69,53.96938132,144.41,110.26,55.92,6.47,3.8,18.89,30.91,84.52691057,0.95128255,1.82
써니전자(주),2726,004770,201612,198704,,0,0,0,KOSPI,제조업,1,0.151722399,26.14281811,-10.14295823,-3.75,199.3114789,3.06,0.87,37.18306083,587.85,518.81,15.9,56.02,15.16,15.33,30.25,83.32116883,0.858715691,2.24
(주)광명전기,94,017040,202012,199009,,0,0,0,KOSPI,제조업,1,5.852738615,4.163561162,-6.306460034,17.53,-46.93814812,2.63,-0.15,104.5241414,206.7,181.07,51.1,22.97,10.43,12.14,16.3,83.77736842,1.148292985,2.3
일신방직(주),3084,003200,202012,197305,,0,0,0,KOSPI,제조업,1,1.110660368,0.880503753,-6.313560041,-30.12,-0.301881039,1.41,0.02,4346.888333,292.56,227.32,32.16,18.37,9.27,9.83,20.38,69.59578629,0.686097706,2.0
(주)영풍,955,000670,201312,197606,,0,0,0,KOSPI,제조업,1,36.00600683,29.12278522,82.96258463,3.6,13.05816844,4.61,0.19,16360.35769,156.22,93.12,39.87,23.05,7.91,17.45,20.99,240.5736,0.784717155,3.56
고려아연(주),1793,010130,201112,199007,,0,0,0,KOSPI,제조업,1,19.4798372,27.87665633,44.69334593,7.89,71.66698126,20.54,-0.23,16360.35769,355.31,226.73,31.21,69.25,13.66,26.21,21.73,685.3952381,5.149342492,4.92
계룡건설산업(주),1754,013580,201112,199601,,0,0,0,KOSPI,건설업,1,8.545890114,0.67630548,4.53008579,0.41,-2.643823715,2.91,1.13,1327.334503,174.95,163.19,203.97,6.55,3.94,12.24,10.97,163.7933605,5.077792999,1.74
성보화학(주),2599,003080,201212,197612,,0,0,0,KOSPI,제조업,1,1.006295602,1.807928661,9.993419838,1.43,74.20325343,2.75,-0.39,1485.396603,453.16,170.39,16.06,20.31,6.3,12.8,28.7,91.58373239,0.479194573,3.16
그린케미칼(주),1842,083420,201812,200510,,0,0,0,KOSPI,제조업,1,-3.173151682,-2.280180604,0.183892611,2.84,-4.777123148,1.75,0.35,125.6508,108.34,73.57,76.31,17.47,5.63,16.6,12.35,216.4148276,2.252280151,3.04
(주)유니드,1045,014830,201212,200412,,0,0,0,KOSPI,제조업,1,-12.43239328,-0.673163244,-5.03214151,0.24,-58.68834371,3.2,1.35,682.5316485,166.72,110.87,78.68,8.55,4.9,9.01,11.71,151.5588808,1.437223655,1.51
(주)화승코퍼레이션,1601,013520,201412,199102,,0,0,0,KOSPI,제조업,1,3.212893763,4.61769287,3.939988543,3.61,19.99231502,7.64,1.66,1805.489705,77.22,56.02,388.92,10.02,5.7,23.63,16.27,103.4833547,6.550720162,1.78
