,회사명,거래소코드,회계년도,상장일,상장폐지일,1주당매출액,1주당순이익,1주당Cashflow,1주당순자산,노동소득분배율
0,(주)CMG제약,58820,Dec-11,2001-08-31,,406.2807027,-34.51983375,-58.60037718,418.6234929,89.81904688
1,(주)CMG제약,58820,Dec-12,2001-08-31,,246.1985014,-100.872314,-23.81776809,478.648111,1749.845902
2,(주)CMG제약,58820,Dec-13,2001-08-31,,235.5174664,3.419043233,-45.47103205,566.1984817,71.28432327
3,(주)CMG제약,58820,Dec-14,2001-08-31,,262.6504346,1.824364742,8.367992904,566.4178132,76.80981107
4,(주)CMG제약,58820,Dec-15,2001-08-31,,306.2597741,-41.33867417,27.29649184,530.854621,134.4744069
5,(주)CMG제약,58820,Dec-16,2001-08-31,,303.2900457,15.89493889,30.55318006,930.0944103,63.25389982
6,(주)CMG제약,58820,Dec-17,2001-08-31,,381.4550399,26.03519839,17.89085598,899.4993022,67.97929441
7,(주)CMG제약,58820,Dec-18,2001-08-31,,457.9487933,55.70005978,8.1440118,954.9511603,67.32648173
8,(주)CMG제약,58820,Dec-19,2001-08-31,,422.0731073,21.96794372,20.32789534,1297.106266,72.1686029
9,(주)CMG제약,58820,Dec-20,2001-08-31,,464.100004,1.547933807,21.19836872,1304.111697,86.15954025
10,(주)DB하이텍,990,Dec-11,1975-12-12,,12865.19095,-2281.898654,1415.296649,6796.055027,62.53392133
11,(주)DB하이텍,990,Dec-12,1975-12-12,,13272.77013,-704.1225857,1659.732242,6168.18247,55.92542734
12,(주)DB하이텍,990,Dec-13,1975-12-12,,11092.76753,-1865.751307,637.6138824,4432.303471,67.15008351
13,(주)DB하이텍,990,Dec-14,1975-12-12,,12754.51223,-1730.101662,1080.136564,3057.749531,68.58971084
14,(주)DB하이텍,990,Dec-15,1975-12-12,,14975.90452,2847.226001,3431.099009,6238.052577,35.92649367
15,(주)DB하이텍,990,Dec-16,1975-12-12,,17369.57784,1984.760768,5578.649308,8187.832954,40.68768984
16,(주)DB하이텍,990,Dec-17,1975-12-12,,15271.17328,2475.223555,4114.115521,9919.915153,40.20091318
17,(주)DB하이텍,990,Dec-18,1975-12-12,,15036.20734,1950.718749,4051.64695,12189.23332,42.92454242
18,(주)DB하이텍,990,Dec-19,1975-12-12,,18139.63725,2350.803608,3618.830102,14497.59787,38.21393018
19,(주)DB하이텍,990,Dec-20,1975-12-12,,21026.62835,3729.976143,6964.154186,17866.01102,32.58393102
20,(주)ES큐브,50120,Dec-11,2002-04-25,,2296.513946,-206.352504,47.6565362,1684.054379,96.36475949
21,(주)ES큐브,50120,Dec-12,2002-04-25,,2392.628947,-15.35560098,223.3456039,1704.814715,71.07159012
22,(주)ES큐브,50120,Dec-13,2002-04-25,,1605.700752,-450.9293014,70.99873549,1197.835462,346.888797
23,(주)ES큐브,50120,Dec-14,2002-04-25,,1218.293476,-16.86360405,79.17653217,1129.686014,79.24722726
24,(주)ES큐브,50120,Dec-15,2002-04-25,,1155.087015,-63.22139561,-76.12997511,1229.622096,120.8459936
25,(주)ES큐브,50120,Dec-16,2002-04-25,,823.8377463,517.5458123,29.81279375,1677.785632,16.20042042
26,(주)ES큐브,50120,Dec-17,2002-04-25,,429.4147353,20.87771792,27.76181181,857.7051966,54.12754945
27,(주)ES큐브,50120,Dec-18,2002-04-25,,405.6015052,-73.53721068,-16.18792122,799.0936998,340.5431111
28,(주)ES큐브,50120,Dec-19,2002-04-25,,526.0459375,-165.7002906,910.174308,649.7428548,-118.7980449
29,(주)ES큐브,50120,Dec-20,2002-04-25,,594.7501558,-186.4640143,-275.8787573,537.8172761,-91.16982721
30,(주)HJ중공업,97230,Dec-11,2007-08-31,,59879.70419,-2007.104595,-8320.579252,38826.60176,41.14505949
31,(주)HJ중공업,97230,Dec-12,2007-08-31,,52793.53982,-1102.00231,-1747.643045,38591.59739,39.22391682
32,(주)HJ중공업,97230,Dec-13,2007-08-31,,36504.50331,-2744.944631,-4637.813812,26044.86908,78.12838646
33,(주)HJ중공업,97230,Dec-14,2007-08-31,,24639.38627,-2931.034306,-2330.037898,17224.67924,96.21608635
34,(주)HJ중공업,97230,Dec-15,2007-08-31,,30457.71583,-2550.874138,2517.849887,13467.10013,96.67574038
35,(주)HJ중공업,97230,Dec-16,2007-08-31,,26527.152,-3153.588786,-346.6490392,8525.493805,127.0629494
36,(주)HJ중공업,97230,Dec-17,2007-08-31,,23123.58327,-2621.135561,3634.624086,5312.557059,119.6950467
37,(주)HJ중공업,97230,Dec-18,2007-08-31,,16009.70153,-12103.8816,3962.141093,-3761.627212,59.2731952
38,(주)HJ중공업,97230,Dec-19,2007-08-31,,19558.87196,3676.633365,1872.534931,2969.368177,51.67579573
39,(주)HJ중공업,97230,Dec-20,2007-08-31,,20364.21065,940.8186905,3175.698389,3847.742618,55.78869989
40,(주)MH에탄올,23150,Dec-11,1996-12-24,,6397.879857,-622.4731429,25.54571429,8023,50.38883707
41,(주)MH에탄올,23150,Dec-12,1996-12-24,,8538.310714,41.05271429,-700.886,8387.571429,37.65607508
42,(주)MH에탄올,23150,Dec-13,1996-12-24,,8885.698143,1004.033429,873.4357143,6731.428571,40.05949384
43,(주)MH에탄올,23150,Dec-14,1996-12-24,,6638.694639,-27.53842705,699.2214976,7116.326486,38.67303873
44,(주)MH에탄올,23150,Dec-15,1996-12-24,,6828.762682,1054.22045,1813.921371,7802.371368,26.63980529
45,(주)MH에탄올,23150,Dec-16,1996-12-24,,6626.936735,1103.836186,1659.658176,8573.257043,28.31500723
46,(주)MH에탄올,23150,Dec-17,1996-12-24,,7044.378782,583.8656664,452.2434427,8768.553502,38.05332824
47,(주)MH에탄올,23150,Dec-18,1996-12-24,,9865.908584,-1630.871532,-1527.360478,9279.902246,35.78520565
48,(주)MH에탄올,23150,Dec-19,1996-12-24,,10961.44975,-1023.516486,1540.813301,8060.959601,30.96013195
49,(주)MH에탄올,23150,Dec-20,1996-12-24,,12827.12008,515.3906078,2573.11501,7807.656976,22.02879444
50,(주)SH에너지화학,2360,Dec-11,1985-12-23,,1553.726486,16.15512027,52.25331551,578.5704066,59.35306122
51,(주)SH에너지화학,2360,Dec-12,1985-12-23,,1745.097978,1.897193583,-7.699526588,583.8494619,70.259756
52,(주)SH에너지화학,2360,Dec-13,1985-12-23,,2086.668367,41.45108937,53.53362135,627.875035,57.97240075
53,(주)SH에너지화학,2360,Dec-14,1985-12-23,,2077.674023,150.5583726,222.6870176,750.441223,35.16254844
54,(주)SH에너지화학,2360,Dec-15,1985-12-23,,1947.466811,113.2861496,221.6185629,816.4480909,45.24632793
55,(주)SH에너지화학,2360,Dec-16,1985-12-23,,1965.069059,162.2177984,105.1445227,927.5062657,38.24387805
56,(주)SH에너지화학,2360,Dec-17,1985-12-23,,1692.594085,88.888442,127.8424185,951.2151121,50.02467638
57,(주)SH에너지화학,2360,Dec-18,1985-12-23,,1651.960128,18.29738091,46.81270776,936.3419724,75.98243207
58,(주)SH에너지화학,2360,Dec-19,1985-12-23,,1267.344236,-27.80414243,144.6976537,876.2465702,107.577529
59,(주)SH에너지화학,2360,Dec-20,1985-12-23,,842.0398066,-62.49417964,37.91426935,808.1432464,178.6314672
60,(주)SIMPAC,9160,Dec-11,1989-07-29,,7404.719008,858.747719,633.5605473,5357.861504,33.45089233
61,(주)SIMPAC,9160,Dec-12,1989-07-29,,7748.114221,663.0876992,452.3649279,6114.163953,41.96925117
62,(주)SIMPAC,9160,Dec-13,1989-07-29,,7074.151094,689.1403708,414.6669795,6804.24653,38.70562658
63,(주)SIMPAC,9160,Dec-14,1989-07-29,,9047.720219,492.0871895,1184.249229,7010.676493,54.55637683
64,(주)SIMPAC,9160,Dec-15,1989-07-29,,9266.932543,565.5841643,352.6441275,7567.081572,52.02996624
65,(주)SIMPAC,9160,Dec-16,1989-07-29,,9182.562994,556.4340634,1211.818906,7872.084937,51.45748802
66,(주)SIMPAC,9160,Dec-17,1989-07-29,,7929.702827,443.380858,-328.1269936,7694.088948,60.24502511
67,(주)SIMPAC,9160,Dec-18,1989-07-29,,4679.093286,1057.604614,570.9998222,6283.402738,27.54291805
68,(주)SIMPAC,9160,Dec-19,1989-07-29,,6573.259108,145.0036097,572.6821363,6407.138943,57.1257515
69,(주)SIMPAC,9160,Dec-20,1989-07-29,,5591.716482,521.7749739,-260.4751195,6636.347425,39.734838
70,(주)SNT에너지,100840,Dec-11,2008-02-22,,27569.43457,-586.5906277,-2438.252794,22668.28445,0
71,(주)SNT에너지,100840,Dec-12,2008-02-22,,32564.60114,1282.740819,3759.590081,25873.82344,-1973.751912
72,(주)SNT에너지,100840,Dec-13,2008-02-22,,28336.2002,2285.190495,2841.211911,27971.186,39.89592521
73,(주)SNT에너지,100840,Dec-14,2008-02-22,,34263.96364,1589.960466,-3496.919238,29318.89566,49.05022201
74,(주)SNT에너지,100840,Dec-15,2008-02-22,,36712.53203,3815.301671,311.2161965,32662.33917,30.11322367
75,(주)SNT에너지,100840,Dec-16,2008-02-22,,35865.04187,234.274227,4942.792209,32436.49758,75.91191483
76,(주)SNT에너지,100840,Dec-17,2008-02-22,,25984.76035,646.7223611,-787.5415054,33003.50111,63.94620718
77,(주)SNT에너지,100840,Dec-18,2008-02-22,,19119.29945,250.1632829,1978.280973,31694.01753,81.12255669
78,(주)SNT에너지,100840,Dec-19,2008-02-22,,28418.13492,2058.461156,-5337.200806,32710.06437,41.97863899
79,(주)SNT에너지,100840,Dec-20,2008-02-22,,31625.00008,1303.838792,9370.435468,31513.00217,50.36334948
80,(주)SNT홀딩스,36530,Dec-11,2002-10-22,,111492.2538,5842.934158,5828.544162,25988.60865,48.60095359
81,(주)SNT홀딩스,36530,Dec-12,2002-10-22,,111820.854,4238.56571,3840.31559,26040.40641,57.84897304
82,(주)SNT홀딩스,36530,Dec-13,2002-10-22,,105630.4887,3602.595799,6310.49867,26592.55856,61.3042469
83,(주)SNT홀딩스,36530,Dec-14,2002-10-22,,104022.7035,4488.598092,6384.500526,26727.31316,59.10541609
84,(주)SNT홀딩스,36530,Dec-15,2002-10-22,,104927.7134,7574.453828,7824.511993,27451.06791,43.88689703
85,(주)SNT홀딩스,36530,Dec-16,2002-10-22,,97137.71797,640.9665634,9088.106807,26953.89576,65.42289175
86,(주)SNT홀딩스,36530,Dec-17,2002-10-22,,95271.13888,1633.789921,6582.950903,26856.17057,66.72353576
