회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,총자본정상영업이익률,금융비용부담률,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,설비투자효율,기계투자효율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,자기자본회전률,당좌자산회전률,재고자산회전률,매출채권회전률
(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,5.219838981,56.39690482,4.65,2.37,0.8,694.7452343,-34.51983375,-58.60037718,594.1197573,18.83,200.97,165.03,15.1,602.31,3.53,-19.54,-40.41,-13.66,35.86,128.51,27.17962963,71.5037037,19.71583704,204.0666667,0.984332866,1.55,6.42,2.45
(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,78.27578096,75.17050474,-8.429134465,-0.74,-9.96,2.53,694.7452343,-100.872314,-23.81776809,594.1197573,18.83,693.49,649.98,68.81,323.41,-7.75,-8.1,-11.83,-12.71,2.89,10.67,-0.657014925,69.13432836,18.56217164,425.2910448,0.655129899,0.57,5.71,1.88
(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,55.10040697,25.51000779,1.49,1.4,1.65,694.7452343,3.419043233,-45.47103205,594.1197573,18.83,694.71,610.74,305.29,282.72,0.7,-19.54,-40.41,-13.51,77.91,289.4,51.11823529,79.44852941,17.60488235,411.4852941,0.506332174,0.56,5.39,2.07
(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,0.010945505,11.52057578,20.59,0.78,-0.65,694.7452343,1.824364742,8.367992904,594.1197573,18.83,324.58,268.23,101.24,285.31,3.6,-17.73,-40.41,-7.06,37.8,132.06,43.0795122,114.8414634,30.44576829,354.4329268,0.464338804,0.8,4.77,1.88
(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-4.480892909,18.85196864,-4.88,-4.49,-0.11,694.7452343,-41.33867417,27.29649184,594.1197573,18.83,296.85,235.21,29.0,254.69,-21.04,16.12,3052.28,5.8,24.21,90.92,27.67179487,114.2435897,28.00719872,362.7692308,0.564492769,1.22,5.22,2.1
(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,78.27578096,102.2875763,21.92128628,2.56,2.07,-0.47,694.7452343,15.89493889,30.55318006,930.0944103,86.02,862.15,792.17,23.52,219.41,50.08571429,29.03,0.0,8.69,62.31,273.6,65.742875,105.6625,22.0474375,693.625,0.445795644,0.71,5.56,2.66
(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,-3.12895856,25.98061409,25.0,1.41,-2.72,694.7452343,26.03519839,17.89085598,899.4993022,79.9,746.28,673.66,34.9,215.55,50.08571429,22.67,0.0,6.34,84.87,389.08,68.55005,80.915,16.22651,547.84,0.417334769,0.57,5.81,3.01
(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,6.164569375,20.05315057,11.0,2.29,-1.01,694.7452343,55.70005978,8.1440118,954.9511603,90.99,957.86,856.94,158.5,414.65,50.08571429,13.63,0.0,2.84,106.25,478.91,75.89031532,77.78828829,14.95242342,515.2252252,0.493891974,0.68,6.05,3.08
(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,73.25936202,17.56329547,8.56,1.7,-1.86,694.7452343,21.96794372,20.32789534,1297.106266,159.42,1062.09,940.6,199.55,468.79,303.0,15.35,647.74,3.16,114.6,438.05,78.97614108,100.0788382,14.3143195,797.6887967,0.412632184,0.56,6.65,3.12
(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,0.539925772,9.957255281,-1.66,0.94,-1.27,694.7452343,1.547933807,21.19836872,1304.111697,160.82,1062.09,940.6,58.94,336.15,79.74,20.27,587.05,4.47,108.22,475.13,71.81308017,125.4894515,12.11221941,824.2869198,0.356832562,0.56,5.35,3.3
(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-22.36308992,-23.94249659,-21.21911983,5.38,-3.34,5.3,12865.19095,-2238.020276,1415.296649,6796.055027,80.99,51.15,33.02,5.04,336.28,-0.75,5.87,7.39,9.47,29.75,78.9,84.5009739,295.3564472,200.041222,461.2220491,1.792550864,2.54,7.04,6.12
(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-6.578983294,54.09825664,20.3,-6.58,-0.98,2296.513946,-206.352504,47.6565362,1684.054379,227.25,230.24,194.35,21.35,461.69,-21.04,6.82,1107.72,2.08,279.2,1125.26,33.59337553,5.936708861,0.003037975,190.8565401,1.360143281,1.86,10.05,4.27
(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,1.564117767,4.854247527,-0.42,0.19,-0.65,2392.628947,-15.35560098,223.3456039,1704.814715,235.11,472.77,371.91,84.78,297.97,1.72,81.36,3052.28,9.33,565.49,2009.57,49.22597458,5.915254237,0.002084746,189.3050847,1.415101079,3.13,11.55,12.19
(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,6.304011816,4.69208537,-30.12,-2.49,-0.52,1605.700752,-450.9293014,70.99873549,1197.835462,128.55,1056.51,883.95,278.73,334.9,-21.04,82.01,2558.09,6.67,65.87,225.06,-57.2254,9.15,0.00186,475.1,1.425169637,2.35,10.55,15.18
(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,17.12351472,-24.12699097,-30.12,0.33,-1.43,1218.293476,-16.86360405,79.17653217,1129.686014,128.93,769.89,668.53,305.29,284.54,22.2,39.24,102.05,6.16,251.09,857.87,54.86666667,23.7037037,0.0,1663.481481,0.966507052,1.23,7.2,13.48
(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,0.053133214,-5.188114571,44.44,-7.24,-0.54,1155.087015,-63.22139561,-76.12997511,1229.622096,133.16,765.67,639.55,305.29,211.48,-11.86,0.93,2.88,0.13,135.68,575.47,160.5933333,15.28205128,0.0,1208.307692,0.849151569,1.13,6.55,14.27
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,78.27578096,44.39009507,-18.65487191,-23.08,2.69,-0.61,823.8377463,517.5458123,29.81279375,1677.785632,244.51,1062.09,940.6,305.29,263.79,8.98,-2.3,-2.58,-2.24,380.46,11735.41,672.0003333,155.7666667,0.0,3482.0,0.565129304,0.88,4.82,13.3
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,1.563205887,4.247404846,16.67,2.13,1.01,694.7452343,20.87771792,27.76181181,857.7051966,74.95,1062.09,940.6,305.29,199.81,2.86,5.37,6.21,4.97,64.47,1606.97,127.8877143,214.4571429,0.0,2995.714286,0.494706961,0.83,4.53,13.8
(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-2.840375748,-5.545508375,-14.29,-1.11,2.29,694.7452343,-73.53721068,-16.18792122,799.0936998,68.98,119.8,95.25,71.07,356.25,-0.82,1.16,1.34,1.43,7.67,278.71,5.900333333,362.7,0.0,3616.066667,0.47035689,0.86,3.84,11.85
(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,78.27578096,4.65013396,29.45408102,0.0,-0.91,5.3,694.7452343,-165.7002906,910.174308,649.7428548,34.11,156.01,152.69,48.38,2279.16,-0.68,9.52,53.92,28.6,-3.22,-62.13,-75.62221774,352.5666667,0.0,4535.5,0.603758667,0.56,5.18,1.88
(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-6.132879872,82.96258463,-20.0,1.75,4.05,694.7452343,-186.4640143,-275.8787573,594.1197573,18.83,61.5,59.7,2.11,2279.16,3.09,2.96,270.39,23.68,13.0,1164.79,-75.62221774,23.08333333,0.0,3416.458333,1.124069766,0.56,9.46,1.88
(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-7.519747157,-9.364472804,-19.81,1.48,5.3,59879.70419,-2007.104595,-1992.098136,38826.60176,672.79,96.33,81.81,34.4,132.35,0.55,-0.99,-1.51,-1.77,15.81,125.15,130.7116697,512.5709156,27.86247756,2103.094794,1.54886686,1.29,8.86,10.97
(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,-8.106283961,-11.83400029,-5.42,0.78,5.3,52793.53982,-1102.00231,-1747.643045,38591.59739,610.26,92.89,83.75,29.88,96.91,0.27,-4.99,-6.56,-9.54,19.11,156.53,185.285877,510.0820046,26.44570995,2254.406986,1.42326073,1.25,8.72,9.73
(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,0.229277913,-17.1965321,-3.77,0.45,5.3,6397.879857,-622.4731429,25.54571429,8023.0,852.03,58.36,45.92,5.22,2279.16,0.12,2.62,20.09,5.35,11.62,358.35,238.3558824,689.6666667,18.91531373,2665.235294,1.049635649,1.22,4.99,4.83
(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,-7.005543678,33.45531496,1.96,4.06,5.3,8538.310714,41.05271429,-700.886,8387.571429,787.71,61.27,36.07,1.01,2279.16,1.08,-2.5,-3.09,-3.95,21.39,728.46,220.6909615,661.9807692,14.56415385,2676.942308,1.451642278,1.83,3.94,6.33
(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,15.64399285,4.068573283,-1.92,2.28,5.07,8885.698143,1004.033429,873.4357143,6731.428571,939.04,57.37,40.78,1.01,2279.16,0.87,0.72,0.81,0.97,18.55,648.66,-75.62221774,669.0980392,10.79103922,2402.372549,1.453883537,2.07,3.76,5.98
(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-22.36308992,15.04430493,-21.24779744,3.92,8.13,2.46,6638.694639,-27.53842705,699.2214976,7116.326486,1048.39,90.87,68.77,1.01,0.0,5.62,17.21,19.17,11.51,31.73,668.75,208.1232075,680.8113208,31.86792453,1608.566038,0.992838635,1.87,5.03,4.65
