회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순자산,유보율,자기자본구성비율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률,순운전자본회전률
(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,5.219838981,56.39690482,4.65,1263.950784,2.37,0.8,108.35,-245.87,406.2807027,418.6234929,-17.45,66.04694461,200.97,165.03,15.1,602.31,51.41,3.53,-172.4,-15.65,71.5037037,19.71583704,204.0666667,6.42,2.45,0.86
(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,109.1471192,75.17050474,-8.429134465,-0.74,-756.8194064,-9.96,2.53,140.55,-165.71,246.1985014,478.648111,-4.31,55.31740849,693.49,649.98,68.81,323.41,80.77,-7.75,-11.83,-3.62,69.13432836,18.56217164,425.2910448,5.71,1.85,0.42
(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,55.10040697,25.51000779,1.49,631.501169,1.4,1.65,98.55,-106.33,235.5174664,566.1984817,13.12,87.63197101,694.71,610.74,394.63,282.72,14.11,0.7,-194.73,-4.93,79.44852941,17.60488235,411.4852941,5.39,2.07,0.42
(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,0.010945505,11.52057578,20.59,-44.09832543,0.78,-0.65,99.32,-106.65,262.6504346,566.4178132,13.13,84.38790538,324.58,268.23,101.24,285.31,18.5,3.6,-104.12,-2.77,114.8414634,30.44576829,354.4329268,4.77,1.86,0.56
(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-4.480892909,18.85196864,-4.88,-681.514824,-4.49,-0.11,113.24,-120.22,306.2597741,530.854621,6.02,82.79595317,296.85,235.21,29.0,254.69,20.78,-32.22,24988.82,2.77,114.2435897,28.00719872,362.7692308,5.22,2.1,0.75
(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,96.31050607,116.0101629,21.92128628,2.56,248.6155448,2.07,-0.47,95.06,-53.95,303.2900457,930.0944103,86.02,91.10448384,862.15,792.17,23.52,219.41,9.76,50.08571429,0.0,2.58,105.6625,22.0474375,693.625,5.56,2.66,0.54
(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,-3.12895856,25.98061409,25.0,-9.946306608,1.41,-2.72,93.31,-3.47,381.4550399,899.4993022,79.9,89.3909556,746.28,673.66,34.9,215.55,11.87,50.08571429,0.0,2.4,80.915,16.22651,547.84,5.81,3.01,0.46
(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,6.164569375,20.05315057,11.0,64.75096031,2.29,-1.01,92.86,2.22,457.9487933,954.9511603,90.99,90.90921061,957.86,856.94,158.5,414.65,10.0,50.08571429,0.0,1.24,77.78828829,14.95242342,515.2252252,6.05,3.08,0.55
(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,73.25936202,17.56329547,8.56,1.400176025,1.7,-1.86,93.7,2.81,422.0731073,1297.106266,159.42,93.71375157,1618.07,1520.84,199.55,468.79,6.71,303.0,647.74,0.96,100.0788382,14.3143195,797.6887967,6.65,3.12,0.47
(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,0.539925772,9.957255281,-1.66,-30.01063072,0.94,-1.27,99.15,3.11,464.100004,1304.111697,160.82,92.71862171,1069.54,959.3,58.94,336.15,7.85,79.74,587.05,1.48,125.4894515,12.11221941,824.2869198,5.35,3.3,0.4
(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-28.92081189,-23.94249659,-21.21911983,5.38,84.54820029,-3.34,9.4,113.85,-186.59,12865.19095,6796.055027,80.99,25.69227832,35.2,25.5,5.04,336.28,289.22,-0.75,7.39,4.36,295.3564472,200.041222,461.2220491,7.04,6.12,0.72
(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-6.578983294,54.09825664,20.3,-618.261456,-6.58,-0.98,108.28,-7.97,2296.513946,1684.054379,227.25,70.74248312,230.24,194.35,21.35,461.69,41.36,-245.99,1107.72,2.0,5.936708861,0.003037975,190.8565401,10.05,4.27,1.09
(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,1.564117767,4.854247527,-0.42,4185.927443,0.19,-0.65,100.19,1.22,2392.628947,1704.814715,235.11,86.12413859,472.77,371.91,84.78,297.97,16.11,1.72,3402.53,11.29,5.915254237,0.002084746,189.3050847,11.55,12.19,2.03
(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,6.304011816,4.69208537,-57.63,-1403.615523,-2.49,-0.52,126.45,-31.95,1605.700752,1197.835462,128.55,89.89100903,1056.51,883.95,278.73,334.9,11.25,-37.44,2558.09,8.29,9.15,0.00186,475.1,10.55,15.18,1.69
(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,17.12351472,-24.12699097,-73.0,780.7008007,0.33,-1.43,100.68,-6.03,1218.293476,1129.686014,128.93,87.66380762,769.89,668.53,425.42,284.54,14.07,22.2,102.05,4.84,23.7037037,0.0,1663.481481,7.2,13.48,0.94
(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,0.053133214,-5.188114571,44.44,-2473.26904,-7.24,-0.54,104.45,8.13,1155.087015,1229.622096,133.16,89.2740202,765.67,639.55,492.89,211.48,12.01,-11.86,2.88,0.1,15.28205128,0.0,1208.307692,6.55,14.27,0.85
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,89.07604564,44.39009507,-18.65487191,-23.08,287.8921316,2.69,-0.61,61.22,30.22,823.8377463,1677.785632,244.51,68.17513144,1493.9,1275.25,918.41,263.79,46.68,8.98,-2.58,-0.73,155.7666667,0.0,3482.0,4.82,13.3,0.68
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,1.563205887,4.247404846,16.67,4.048002791,2.13,1.01,95.23,31.17,429.4147353,857.7051966,74.95,68.76514743,1378.49,1153.05,654.97,199.81,45.42,2.86,6.21,1.68,214.4571429,0.0,2995.714286,4.53,13.8,0.66
(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-2.840375748,-5.545508375,-14.29,-153.8633857,-1.11,2.29,115.62,28.8,405.6015052,799.0936998,68.98,62.92630364,119.8,95.25,71.07,356.25,58.92,-0.82,1.34,0.43,362.7,0.0,3616.066667,3.84,11.85,0.49
(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,312.6611959,4.65013396,29.45408102,0.0,-116.0852395,-0.91,7.25,132.18,7.75,526.0459375,649.7428548,34.11,15.95799695,156.01,152.69,48.38,20592.7,526.65,-0.68,53.92,8.0,352.5666667,0.0,4535.5,5.18,0.42,0.13
(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-6.132879872,84.57029349,-20.0,125.3690776,1.75,4.05,124.44,-34.12,594.7501558,537.8172761,1.9,9.721473764,61.5,59.7,2.11,5952.2,928.65,3.09,270.39,2.67,23.08333333,0.0,3416.458333,9.46,0.39,0.11
(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-7.519747157,-9.364472804,-19.81,-50.60025987,1.48,5.92,102.53,45.63,59879.70419,38826.60176,672.79,26.53023869,96.33,81.81,34.4,132.35,276.93,0.55,-1.51,-0.73,512.5709156,27.86247756,2103.094794,8.86,10.97,0.52
(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,-8.106283961,-11.83400029,-5.42,-50.99375776,0.78,6.86,100.5,45.51,52793.53982,38591.59739,610.26,26.05150755,92.89,83.75,29.88,96.91,283.85,0.27,-6.56,-3.69,510.0820046,26.44570995,2254.406986,8.72,9.73,0.53
(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,0.229277913,-17.1965321,-3.77,-69.82421494,0.45,8.83,106.81,85.36,6397.879857,8023.0,852.03,31.7922205,58.36,45.92,5.22,81716.41,214.54,0.12,20.09,1.79,689.6666667,18.91531373,2665.235294,4.99,4.83,0.36
(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,-7.005543678,33.45531496,1.96,803.7149942,4.06,7.51,98.31,85.99,8538.310714,8387.571429,787.71,29.5256308,61.27,36.07,0.73,66557.71,238.69,1.08,-3.09,-1.76,661.9807692,14.56415385,2676.942308,3.94,6.33,0.47
(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,15.64399285,4.068573283,-1.92,-44.79294932,2.28,5.07,98.82,82.42,8885.698143,6731.428571,939.04,35.37876115,57.37,40.78,0.14,287248.6,182.66,0.87,0.81,0.47,669.0980392,10.79103922,2402.372549,3.76,5.98,0.5
(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-34.05073231,15.04430493,-21.24779744,3.92,190.5516122,8.13,2.46,90.72,82.1,6638.694639,7116.326486,1048.39,61.71599972,90.87,68.77,0.02,0.0,62.03,5.62,19.17,6.59,680.8113208,31.86792453,1608.566038,5.03,4.65,0.55
(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,9.652951927,2.863033378,-11.32,26.84050306,13.48,1.17,80.41,84.97,6828.762682,7802.371368,1178.69,73.27498721,109.55,92.01,15.38,0.0,36.47,12.69,49.79,11.74,783.9574468,45.25402128,1674.276596,9.52,4.7,0.97
(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,9.842964973,-2.95552733,-8.51,7.054292129,15.69,0.6,78.78,86.9,6626.936735,8573.257043,1314.52,87.8935173,257.95,185.46,17.87,0.0,13.77,29.41,233.68,17.71,869.5581395,47.99348837,1675.0,10.7,4.65,1.39
(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,591.4326057,68.03111037,6.299170553,11.63,-31.64573325,2.84,-1.46,88.65,90.08,7044.378782,8768.553502,1410.23,21.35977561,44.64,41.69,7.8,2379.05,368.17,3.46,3.07,1.56,821.2291667,48.13139583,2238.270833,9.33,4.99,0.34
(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-14.27578638,40.05363551,4.17,-84.86820585,0.26,14.97,112.24,99.39,9865.908584,9279.902246,1355.58,20.80648561,20.96,16.33,4.89,1679.28,380.62,0.1,-1.81,-0.9,811.72,41.35938,2193.14,11.99,6.8,0.33
(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,-13.31695475,11.10431097,-6.0,537.4432098,1.76,12.76,105.78,101.53,10961.44975,8060.959601,1277.63,17.58440081,11.62,8.73,3.21,1797.11,468.69,0.73,0.02,0.01,874.9148936,42.81595745,2150.191489,11.0,8.08,0.33
(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,1.305491938,17.02028807,14.89,101.5802193,3.5,12.52,94.65,101.94,12827.12008,7807.656976,1363.18,17.8850757,25.82,20.1,8.54,1936.0,459.13,1.29,6.34,3.38,776.1666667,32.3997037,1805.851852,11.45,9.91,0.38
(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,3.08790843,14.98935662,-1.8,23.48991936,4.16,0.77,98.0,4.5,1553.726486,578.5704066,15.02,62.307196,147.77,115.16,15.37,3032.99,60.5,2.82,11.28,3.13,303.8073394,120.0100642,939.293578,20.16,6.81,2.27
(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-0.553511841,11.97438295,2.75,-47.59504828,2.1,0.65,99.59,6.05,1745.097978,583.8494619,14.69,62.57224245,171.22,123.05,7.42,1264.27,59.82,1.72,8.7,2.4,291.1428571,119.7342411,915.1160714,15.32,6.81,2.36
(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,7.271657822,19.57313536,3.57,194.259531,6.0,0.52,97.71,12.26,2086.668367,627.875035,23.54,62.99194659,168.09,134.09,15.75,1206.44,58.75,5.3,9.1,2.31,275.387931,112.7900086,948.1465517,17.73,7.81,2.66
(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,21.03194923,-0.431038523,20.69,231.1201021,19.23,0.34,90.96,26.39,2077.674023,750.441223,49.06,76.06657643,291.69,224.49,37.69,1384.72,31.46,26.68,160.41,13.86,221.9285714,91.3025,779.2714286,17.87,7.43,2.64
(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,8.795430361,-6.266970193,4.29,7.889598239,20.29,0.09,91.94,31.84,1947.466811,816.4480909,62.33,79.33314148,399.36,329.69,115.03,2729.66,26.05,84.87,358.77,21.37,223.6643836,94.60160959,781.1506849,16.78,7.11,2.6
(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,13.57684568,0.903853572,1.37,5.015146943,20.08,-0.07,89.41,39.53,1965.069059,927.5062657,84.85,83.61310459,673.11,580.63,211.38,2792.03,19.6,210.93,510.0,14.59,214.8108108,90.79486486,830.7905405,18.61,6.05,2.4
(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,3.46298736,-13.86592358,0.0,-41.15662483,11.35,-0.1,93.35,40.46,1692.594085,951.2151121,90.76,85.94016507,1057.37,816.13,399.76,1678.27,16.36,162.17,364.34,10.33,209.1689189,88.10779054,832.8513514,11.92,5.24,1.95
(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-2.138086884,-2.400691212,5.41,-85.18771344,1.7,-0.11,98.53,39.13,1651.960128,936.3419724,87.25,86.07927729,1287.95,953.73,441.48,2749.34,16.17,22.72,277.3,7.93,191.75,77.61636538,774.974359,8.69,6.5,1.95
(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-6.064011679,-23.28239559,1.28,-249.053849,-2.55,-0.2,102.32,35.02,1267.344236,876.2465702,76.79,80.21659328,1110.48,887.83,542.25,1864.22,24.66,-24.12,121.45,8.62,209.6582278,214.4488861,766.6202532,7.22,6.14,1.54
(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,30.34391494,19.08811364,11.74,18.41861158,9.42,-0.29,84.89,20.24,7404.719008,5357.861504,1075.2,54.34303724,130.69,108.07,54.55,160.8,84.02,20.93,47.94,6.72,243.9766537,39.1939572,1155.459144,9.05,3.66,0.84
(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,11.19897057,4.637518481,7.0,-7.880603224,8.0,-0.95,82.16,17.53,7748.114221,6114.163953,1205.3,58.95239649,140.97,117.58,22.15,170.02,69.63,15.51,39.15,4.96,233.3927273,45.03183273,1117.698182,8.7,3.61,0.85
(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,11.16256187,-8.698414966,0.73,-6.319362055,6.93,-1.49,86.97,14.48,7074.151094,6804.24653,1349.5,57.69038318,81.19,62.03,7.16,182.56,73.34,16.58,19.01,3.48,232.0252708,47.66966065,1262.949458,8.07,3.06,0.82
(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,4.929441837,27.8983174,10.11,-26.51534583,4.66,0.53,94.06,11.14,9047.720219,7010.676493,1417.16,57.37175067,105.96,76.17,19.44,158.91,74.3,8.48,56.94,6.09,231.4918033,42.75352787,1079.757377,7.93,3.67,1.0
(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,5.879098316,2.422845961,-2.95,22.48387432,5.28,0.44,92.04,14.09,9266.932543,7567.081572,1508.53,54.86979418,102.82,69.62,14.76,145.26,82.25,14.66,42.01,5.29,256.2398649,53.40242568,1247.800676,5.56,3.56,0.86
(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,3.624312421,-0.910436635,3.38,10.94655434,5.61,0.42,92.06,12.76,9182.562994,7872.084937,1585.77,57.53443355,113.8,84.21,33.41,143.41,73.81,16.75,41.51,5.44,245.5228758,65.43861111,1196.879085,5.23,3.67,0.79
