회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,자기자본회전률,당좌자산회전률,재고자산회전률,매출채권회전률
(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,80.28016283,5.219838981,56.39690482,4.65,558.2374493,-8.5,2.37,-8.28,0.8,-96.99,721.2460925,-34.51983375,-58.60037718,590.440086,16.66,200.97,165.03,15.1,602.31,51.41,3.53,-19.47,-38.29,-14.6,35.59007636,35.86,128.51,89.81904688,27.17962963,71.5037037,19.71583704,204.0666667,0.984332866,1.55,6.42,2.45
(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,-2.093351662,813.882144,55.10040697,25.51000779,1.49,558.2374493,1.45,1.4,0.74,1.65,-96.99,721.2460925,3.419043233,-45.47103205,590.440086,16.66,694.71,610.74,305.29,282.72,14.11,0.7,-19.47,-38.29,-13.51,14.12036409,77.91,289.4,71.28432327,51.11823529,79.44852941,17.60488235,411.4852941,0.506332174,0.57,5.39,2.07
(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,3.855596818,-46.64107421,0.010945505,11.52057578,20.59,-44.09832543,0.69,0.78,0.32,-0.65,-96.99,721.2460925,1.824364742,8.367992904,590.440086,16.66,324.58,268.23,101.24,285.31,18.5,3.6,-17.73,-38.29,-7.06,25.0902282,37.8,132.06,76.80981107,43.0795122,114.8414634,30.44576829,354.4329268,0.464338804,0.8,4.77,1.88
(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-2.644307329,-1043.823069,-4.480892909,18.85196864,-4.88,-488.7035721,-13.5,-4.49,-7.62,-0.11,-96.99,721.2460925,-41.33867417,27.29649184,590.440086,16.66,296.85,235.21,29.0,254.69,20.78,-22.38,16.12,2819.67,5.8,31.31521064,24.21,90.92,134.4744069,27.67179487,114.2435897,28.00719872,362.7692308,0.564492769,1.22,5.22,2.1
(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,78.12143123,311.2449541,106.7705723,21.92128628,2.56,248.6155448,5.24,2.07,2.34,-0.47,-53.95,721.2460925,15.89493889,30.55318006,930.0944103,86.02,862.15,792.17,23.52,219.41,9.76,50.08571429,29.03,0.0,8.69,9.181754936,62.31,273.6,63.25389982,65.742875,105.6625,22.0474375,693.625,0.445795644,0.71,5.56,2.66
(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,64.06674017,-3.12895856,25.98061409,25.0,-9.946306608,6.83,1.41,2.85,-2.72,-3.47,721.2460925,26.03519839,17.89085598,899.4993022,79.9,746.28,673.66,34.9,215.55,11.87,50.08571429,22.67,0.0,6.34,11.23710531,84.87,389.08,67.97929441,68.55005,80.915,16.22651,547.84,0.417334769,0.57,5.81,3.01
(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.619000074,-92.95367001,0.539925772,9.957255281,-1.66,-30.01063072,0.33,0.94,0.12,-1.27,3.11,721.2460925,1.547933807,21.19836872,1304.111697,160.82,1062.63,944.43,58.94,336.15,8.57,79.74,20.27,587.05,4.47,-110.2423158,108.22,475.13,86.15954025,71.81308017,125.4894515,12.11221941,824.2869198,0.356832562,0.57,5.35,3.3
(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-23.18877172,-38.00740537,-23.94249659,-21.21911983,5.38,84.54820029,-17.74,-3.34,-27.74,5.14,-96.99,12865.19095,-2281.180124,1415.296649,6796.055027,80.99,50.76,32.91,5.04,336.28,289.22,-0.75,5.87,7.39,9.47,-14.9739367,29.75,78.9,62.53392133,84.5009739,295.3564472,200.041222,461.2220491,1.792550864,2.54,7.04,6.12
(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-113.2010801,-6.578983294,54.09825664,20.3,-488.7035721,-8.99,-6.58,-12.61,-0.98,-7.97,2296.513946,-206.352504,47.6565362,1684.054379,227.25,230.24,194.35,21.35,461.69,41.36,-22.38,6.82,1107.72,2.08,27.55824953,279.2,1125.26,96.36475949,33.59337553,5.936708861,0.003037975,190.8565401,1.360143281,1.86,10.05,4.27
(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,1.849356743,-1043.823069,6.304011816,4.69208537,-31.52,-488.7035721,-28.08,-2.49,-40.47,-0.52,-31.95,1605.700752,-450.9293014,70.99873549,1197.835462,128.55,1056.51,883.95,278.73,334.9,11.25,-22.38,82.01,2558.09,6.67,18.04070889,65.87,225.06,172.6519988,-57.2254,9.15,0.00186,475.1,1.425169637,2.35,10.55,15.18
(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,20.09917439,96.26025543,17.12351472,-24.12699097,-31.52,558.2374493,-1.38,0.33,1.15,-1.43,-6.03,1218.293476,-16.86360405,79.17653217,1129.686014,128.93,769.89,668.53,305.29,284.54,14.07,22.2,39.24,102.05,6.16,15.13021877,251.09,857.87,79.24722726,54.86666667,23.7037037,0.0,1663.481481,0.966507052,1.23,7.2,13.48
(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,-274.8984821,0.053133214,-5.188114571,44.44,-488.7035721,-5.47,-7.24,1.56,-0.54,8.13,1155.087015,-63.22139561,-76.12997511,1229.622096,133.16,765.67,639.55,305.29,211.48,12.01,-11.86,0.93,2.88,0.13,18.94690932,135.68,575.47,120.8459936,160.5933333,15.28205128,0.0,1208.307692,0.849151569,1.13,6.55,14.27
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,78.12143123,110.710524,44.39009507,-18.65487191,-23.08,287.8921316,24.5,2.69,28.33,-0.61,30.22,823.8377463,517.5458123,29.81279375,1677.785632,244.51,1062.63,944.43,305.29,263.79,46.68,8.98,-2.3,-2.58,-2.24,15.68640579,380.46,11735.41,16.20042042,672.0003333,155.7666667,0.0,3482.0,0.565129304,0.88,4.82,13.3
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,-91.93203097,1.563205887,4.247404846,16.67,4.048002791,4.86,2.13,2.41,1.01,31.17,721.2460925,20.87771792,27.76181181,857.7051966,74.95,1062.63,944.43,305.29,199.81,45.42,2.86,5.37,6.21,4.97,17.63272441,64.47,1606.97,54.12754945,127.8877143,214.4571429,0.0,2995.714286,0.494706961,0.83,4.53,13.8
(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-83.70571571,-6.132879872,84.57029349,-20.0,125.3690776,-31.35,1.75,-39.39,4.05,-34.12,721.2460925,-186.4640143,-275.8787573,590.440086,16.66,61.5,59.7,2.11,2381.75,395.35,3.09,2.96,270.39,23.68,-4.667892938,13.0,1164.79,-43.72002939,-75.62221774,23.08333333,0.0,3416.458333,1.124069766,0.57,9.46,1.88
