회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률
(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,78.45578966,-341.5718679,75.17050474,-8.429134465,-0.74,-358.1124348,-33.34,2.53,-80.37,646.7631768,-100.872314,-23.81776809,603.8792778,22.64,649.98,68.81,323.41,-7.75,-8.1,-11.83,7.330001366,2.89,10.67,1.66,161.5413776,-0.657014925,69.13432836,18.56217164,425.2910448,5.71,1.86
(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,113.9413687,6.164569375,20.05315057,11.0,64.75096031,12.16,-1.01,2.22,646.7631768,55.70005978,8.1440118,954.9511603,90.99,856.94,158.5,414.65,50.08571429,13.63,0.0,11.76334853,106.25,478.91,33.79,67.32648173,75.89031532,77.78828829,14.95242342,515.2252252,6.05,3.08
(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,-49.69226843,73.25936202,17.56329547,8.56,1.400176025,5.2,-1.86,2.81,646.7631768,21.96794372,20.32789534,1297.106266,159.42,933.26,199.55,468.79,303.0,15.35,647.74,6.405069126,114.6,438.05,32.47,72.1686029,78.97614108,100.0788382,14.3143195,797.6887967,6.65,3.12
(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,92.5107757,1.564117767,4.854247527,-0.42,643.2236429,-0.64,-0.65,1.22,2392.628947,-15.35560098,223.3456039,1704.814715,235.11,371.91,84.78,297.97,1.72,81.36,3402.53,27.05654208,565.49,2009.57,32.14,71.07159012,49.22597458,5.915254237,0.002084746,189.3050847,11.55,12.19
(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-452.2282032,-2.840375748,-5.545508375,-14.29,-153.8633857,-18.13,2.29,28.8,646.7631768,-73.53721068,-16.18792122,799.0936998,68.98,95.25,71.07,356.25,-0.82,1.16,1.34,124.010987,7.67,278.71,3.45,161.5413776,5.900333333,362.7,0.0,3616.066667,3.84,11.85
(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,78.45578966,-124.9094742,4.65013396,29.45408102,0.0,-116.0852395,-31.5,6.06,7.75,646.7631768,-165.7002906,910.174308,649.7428548,34.11,152.69,48.38,2096.89,-0.68,9.52,53.92,5.933525597,-3.22,-70.14,-1.28,-64.05574513,-77.36723404,352.5666667,0.0,4535.5,5.18,1.86
(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,45.09492365,-8.106283961,-11.83400029,-5.42,-50.99375776,-2.09,6.06,45.51,52793.53982,-1102.00231,-1747.643045,38591.59739,610.26,83.75,29.88,96.91,0.27,-4.99,-6.56,-128.5423834,19.11,156.53,21.33,39.22391682,185.285877,510.0820046,26.44570995,2254.406986,8.72,9.73
(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,767.8950912,-7.005543678,33.45531496,1.96,643.2236429,0.48,6.06,85.99,8538.310714,41.05271429,-700.886,8387.571429,787.71,36.07,1.14,2096.89,1.08,-2.5,-3.09,-65.0537565,21.39,728.46,25.71,37.65607508,220.6909615,661.9807692,14.56415385,2676.942308,3.94,6.33
(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-379.3230748,-14.27578638,40.05363551,4.17,-84.86820585,-16.53,6.06,91.63,9865.908584,-1630.871532,-1527.360478,9279.902246,1355.58,33.23,4.89,1679.28,0.1,-1.14,-1.81,-5.86347243,4.32,814.98,23.15,35.78520565,320.945,811.72,41.35938,2193.14,11.99,6.8
(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,37.24113362,-13.31695475,11.10431097,-6.0,537.4432098,-9.34,6.06,91.63,10961.44975,-1023.516486,1540.813301,8060.959601,1277.63,33.23,3.21,1797.11,0.73,0.01,0.02,-3.275407124,5.62,1121.61,27.91,30.96013195,108.437234,874.9148936,42.81595745,2150.191489,11.0,8.08
(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-88.29221109,-0.553511841,11.97438295,2.75,-47.59504828,0.11,0.65,6.05,1745.097978,1.897193583,-7.699526588,603.8792778,22.64,123.05,7.42,1264.27,1.72,6.4,8.7,67.63899015,45.27,108.26,7.49,70.259756,117.5369643,291.1428571,119.7342411,915.1160714,15.32,6.81
(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-79.41534298,-2.138086884,-2.400691212,5.41,-85.18771344,1.11,-0.11,39.13,1651.960128,18.29738091,46.81270776,936.3419724,87.25,933.26,306.52,2096.89,22.72,56.94,277.3,28.13395368,67.41,164.52,10.85,75.98243207,127.2395513,191.75,77.61636538,774.974359,8.69,6.5
(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-251.9569526,-6.064011679,-23.28239559,1.28,-249.053849,-2.19,-0.2,35.02,1267.344236,-27.80414243,144.6976537,876.2465702,76.79,887.83,306.52,1864.22,-17.38,43.59,121.45,22.03406348,44.32,102.46,9.73,107.577529,82.02468354,209.6582278,214.4488861,766.6202532,7.22,6.14
(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,-22.7843423,11.19897057,4.637518481,7.0,-7.880603224,8.56,-0.95,17.53,7748.114221,663.0876992,452.3649279,6114.163953,1205.3,117.58,22.15,170.02,15.51,12.07,39.15,57.09740249,59.15,353.46,19.42,41.96925117,165.4670909,233.3927273,45.03183273,1117.698182,8.7,3.61
(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.45578966,436.6018391,80.64191091,32.74267069,46.15,-12.88556978,22.6,0.5,17.66,4679.093286,1057.604614,570.9998222,6283.402738,1277.69,87.82,49.22,157.58,4.07,5.64,12.26,133.843675,32.0,292.53,37.32,27.54291805,189.48468,312.626,72.253562,1256.668,4.1,4.23
(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,-86.28943106,1.416586295,40.48147167,-1.8,9.329672564,2.21,0.35,15.52,6573.259108,145.0036097,572.6821363,6407.138943,1296.53,91.59,58.26,163.65,3.47,15.72,29.05,126.4836825,24.96,199.32,15.22,57.1257515,103.31222,311.6150713,61.88545214,1239.700611,4.34,7.08
(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,145.7294739,14.14136286,18.11849479,5.98,143.5955237,3.94,-0.27,72.32,32564.60114,1282.740819,3759.590081,25873.82344,5074.77,162.88,51.29,140.21,77.44,4.27,96.23,-19.68152128,-3.2,-69.11,-1.7,-64.05574513,-20.0574359,627.1282051,29.02157949,1501.548718,14.06,3.95
