회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률
(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,80.28016283,5.219838981,56.39690482,4.65,692.7769383,-5.58,2.37,3.51,0.8,-112.34,596.9211617,-34.51983375,-58.60037718,526.5915493,10.42,200.97,165.03,15.1,602.31,3.53,-22.84,-47.99,-15.79,35.59007636,35.86,128.51,89.81904688,27.17962963,71.5037037,19.71583704,204.0666667,6.42,2.45
(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,80.33282474,-341.5718679,75.17050474,-8.429134465,-0.74,-449.4588517,-15.78,-9.96,-16.95,2.53,-112.34,596.9211617,-100.872314,-23.81776809,526.5915493,10.42,693.49,649.98,68.81,323.41,-7.75,-8.1,-11.83,-12.71,7.330001366,2.89,10.67,171.3236808,-0.657014925,69.13432836,18.56217164,425.2910448,5.71,1.85
(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,64.06674017,-3.12895856,25.98061409,25.0,-9.946306608,2.57,1.41,1.57,-2.72,-3.47,596.9211617,26.03519839,17.89085598,899.4993022,79.9,746.28,673.66,34.9,215.55,50.08571429,22.67,0.0,6.34,11.23710531,84.87,389.08,67.97929441,68.55005,80.915,16.22651,547.84,5.81,3.01
(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,113.9413687,6.164569375,20.05315057,11.0,64.75096031,5.42,2.29,2.54,-1.01,2.22,596.9211617,55.70005978,8.1440118,954.9511603,90.99,957.86,856.94,158.5,414.65,50.08571429,13.63,0.0,2.84,11.76334853,106.25,478.91,67.32648173,75.89031532,77.78828829,14.95242342,515.2252252,6.05,3.08
(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,-49.69226843,73.25936202,17.56329547,8.56,1.400176025,1.99,1.7,1.83,-1.86,2.81,596.9211617,21.96794372,20.32789534,1297.106266,159.42,1045.09,933.26,199.55,468.79,303.0,15.35,647.74,3.16,6.405069126,114.6,438.05,72.1686029,78.97614108,100.0788382,14.3143195,797.6887967,6.65,3.12
(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-25.32298956,-38.00740537,-23.94249659,-21.21911983,5.38,84.54820029,-7.59,-3.34,-12.22,6.45,-112.34,12865.19095,-2208.852168,1415.296649,6796.055027,80.99,50.4,33.38,5.04,336.28,-0.75,5.87,7.39,9.47,-14.9739367,29.75,78.9,62.53392133,84.5009739,295.3564472,200.041222,461.2220491,7.04,6.12
(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-113.2010801,-6.578983294,54.09825664,20.3,-449.4588517,-8.65,-6.58,-9.3,-0.98,-7.97,2296.513946,-206.352504,47.6565362,1684.054379,227.25,230.24,194.35,21.35,461.69,-21.15,6.82,1107.72,2.08,27.55824953,279.2,1125.26,96.36475949,33.59337553,5.936708861,0.003037975,190.8565401,10.05,4.27
(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,92.5107757,1.564117767,4.854247527,-0.42,692.7769383,-0.78,0.19,0.22,-0.65,1.22,2392.628947,-15.35560098,223.3456039,1704.814715,235.11,472.77,371.91,84.78,297.97,1.72,81.36,3039.33,9.33,27.05654208,565.49,2009.57,71.07159012,49.22597458,5.915254237,0.002084746,189.3050847,11.55,12.19
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,-91.93203097,1.563205887,4.247404846,16.67,4.048002791,1.65,2.13,3.11,1.01,31.17,596.9211617,20.87771792,27.76181181,857.7051966,74.95,1045.09,933.26,292.43,199.81,2.86,5.37,6.21,4.97,17.63272441,64.47,1606.97,54.12754945,127.8877143,214.4571429,0.0,2995.714286,4.53,13.8
(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-452.2282032,-2.840375748,-5.545508375,-14.29,-153.8633857,-5.61,-1.11,-1.69,2.29,28.8,596.9211617,-73.53721068,-16.18792122,799.0936998,68.98,119.8,95.25,71.07,356.25,-0.82,1.16,1.34,1.43,124.010987,7.67,278.71,171.3236808,5.900333333,362.7,0.0,3616.066667,3.84,11.85
