회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,총자본증가율,순이익증가율,자기자본증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,총자본투자효율,설비투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,유동자산회전률,당좌자산회전률,재고자산회전률,자기자본구성비율,총자본회전률,타인자본회전률,순운전자본회전률
(주)CMG제약,58820,201112,200108,,0,0,0,제조업,13.16648171,80.28016283,5.219838981,4.65,1263.950784,3.61,-8.5,-5.58,2.37,3.51,-8.28,0.8,108.35,-245.87,406.2807027,-34.51983375,-58.60037718,418.6234929,-17.45,51.41,-46.08,-15.65,-24.07,12.72,35.86,19.56,89.81904688,27.17962963,1.25,1.55,6.42,66.04694461,0.66,2.01,0.86
(주)CMG제약,58820,201212,200108,,0,0,0,제조업,109.1471192,-341.5718679,75.17050474,-0.74,-756.8194064,-25.87,-40.97,-15.78,-9.96,-16.95,-26.84,2.53,140.55,-165.71,246.1985014,-100.872314,-23.81776809,478.648111,-4.31,80.77,-8.1,-3.62,-12.71,0.47,2.89,1.66,1749.845902,-0.657014925,0.52,0.57,5.71,55.31740849,0.39,0.93,0.42
(주)CMG제약,58820,201312,200108,,0,0,0,제조업,-2.093351662,2348.675303,55.10040697,1.49,631.501169,3.88,1.45,0.52,1.4,1.96,0.74,1.65,98.55,-106.33,235.5174664,3.419043233,-45.47103205,566.1984817,13.12,14.11,-39.85,-4.93,-13.51,12.51,77.91,34.29,71.28432327,51.11823529,0.48,0.52,5.39,87.63197101,0.36,1.26,0.42
(주)CMG제약,58820,201412,200108,,0,0,0,제조업,3.855596818,-46.64107421,0.010945505,20.59,-44.09832543,1.94,0.69,0.28,0.78,0.9,0.32,-0.65,99.32,-106.65,262.6504346,1.824364742,8.367992904,566.4178132,13.13,18.5,-17.73,-2.77,-7.06,12.16,37.8,31.04,76.80981107,43.0795122,0.68,0.8,4.77,84.38790538,0.4,2.85,0.56
(주)CMG제약,58820,201512,200108,,0,0,0,제조업,-2.644307329,-2409.614083,-4.480892909,-4.88,-681.514824,-9.51,-13.5,-6.37,-4.49,-5.37,-7.62,-0.11,113.24,-120.22,306.2597741,-41.33867417,27.29649184,530.854621,6.02,20.78,16.12,2.77,5.8,7.63,24.21,15.96,134.4744069,27.67179487,0.99,1.22,5.22,82.79595317,0.47,2.88,0.75
(주)CMG제약,58820,201612,200108,,0,0,0,제조업,96.31050607,311.2449541,116.0101629,2.56,248.6155448,5.25,5.24,2.06,2.07,2.34,2.34,-0.47,95.06,-53.95,303.2900457,15.89493889,30.55318006,930.0944103,86.02,9.76,29.03,2.58,8.69,9.48,62.31,31.9,63.25389982,65.742875,0.63,0.71,5.56,91.10448384,0.39,3.36,0.54
(주)CMG제약,58820,201712,200108,,0,0,0,제조업,-1.272045136,64.06674017,-3.12895856,25.0,-9.946306608,3.75,6.83,2.57,1.41,1.57,2.85,-2.72,93.31,-3.47,381.4550399,26.03519839,17.89085598,899.4993022,79.9,11.87,22.67,2.4,6.34,12.51,84.87,33.01,67.97929441,68.55005,0.52,0.57,5.81,89.3909556,0.38,3.86,0.46
(주)CMG제약,58820,201812,200108,,0,0,0,제조업,4.391537932,113.9413687,6.164569375,11.0,64.75096031,5.15,12.16,5.42,2.29,2.54,6.01,-1.01,92.86,2.22,457.9487933,55.70005978,8.1440118,954.9511603,90.99,10.0,13.63,1.24,2.84,14.73,106.25,33.79,67.32648173,75.89031532,0.61,0.68,6.05,90.90921061,0.45,4.53,0.55
(주)CMG제약,58820,201912,200108,,0,0,0,제조업,68.07428544,-49.69226843,73.25936202,8.56,1.400176025,4.44,5.2,1.99,1.7,1.83,2.15,-1.86,93.7,2.81,422.0731073,21.96794372,20.32789534,1297.106266,159.42,6.71,15.35,0.96,3.16,9.9,114.6,32.47,72.1686029,78.97614108,0.51,0.55,6.65,93.71375157,0.38,5.21,0.47
(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1.619000074,-92.95367001,0.539925772,-1.66,-30.01063072,2.83,0.33,0.11,0.94,1.01,0.12,-1.27,99.15,3.11,464.100004,1.547933807,21.19836872,1304.111697,160.82,7.85,20.27,1.48,4.47,8.71,108.22,26.4,86.15954025,71.81308017,0.43,0.47,5.35,92.71862171,0.33,4.9,0.4
(주)DB하이텍,990,201112,197512,,1,1,1,제조업,-28.92081189,-38.00740537,-23.94249659,5.38,84.54820029,-7.81,-17.74,-7.59,-3.34,-12.22,-27.74,9.4,113.85,-186.59,12865.19095,-2281.898654,1415.296649,6796.055027,80.99,289.22,5.87,4.36,9.47,18.17,29.75,39.45,62.53392133,84.5009739,1.87,2.54,7.04,25.69227832,0.43,0.59,0.72
(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,16.81759712,-113.2010801,-6.578983294,20.3,-618.261456,-6.84,-8.99,-8.65,-6.58,-9.3,-12.61,-0.98,108.28,-7.97,2296.513946,-206.352504,47.6565362,1684.054379,227.25,41.36,6.82,2.0,2.08,21.71,279.2,22.56,96.36475949,33.59337553,1.57,1.86,10.05,70.74248312,0.96,3.29,1.09
(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,-16.57509724,92.5107757,1.564117767,-0.42,4185.927443,0.16,-0.64,-0.78,0.19,0.22,0.29,-0.65,100.19,1.22,2392.628947,-15.35560098,223.3456039,1704.814715,235.11,16.11,81.36,11.29,9.33,38.87,565.49,32.14,71.07159012,49.22597458,2.46,3.13,11.55,86.12413859,1.21,8.72,2.03
(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1.849356743,-4481.062648,6.304011816,-57.63,-1403.615523,-1.99,-28.08,-35.23,-2.49,-2.83,-40.47,-0.52,126.45,-31.95,1605.700752,-450.9293014,70.99873549,1197.835462,128.55,11.25,82.01,8.29,6.67,3.04,65.87,2.45,346.888797,-57.2254,1.92,2.35,10.55,89.89100903,1.25,10.48,1.69
(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,20.09917439,96.26025543,17.12351472,-73.0,780.7008007,0.38,-1.38,-1.19,0.33,0.37,1.15,-1.43,100.68,-6.03,1218.293476,-16.86360405,79.17653217,1129.686014,128.93,14.07,39.24,4.84,6.16,10.2,251.09,12.98,79.24722726,54.86666667,1.05,1.23,7.2,87.66380762,0.86,7.57,0.94
(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,-1.751499457,-274.8984821,0.053133214,44.44,-2473.26904,-9.63,-5.47,-4.11,-7.24,-8.18,1.56,-0.54,104.45,8.13,1155.087015,-63.22139561,-76.12997511,1229.622096,133.16,12.01,0.93,0.1,0.13,4.8,135.68,6.33,120.8459936,160.5933333,0.96,1.13,6.55,89.2740202,0.75,6.51,0.85
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,89.07604564,110.710524,44.39009507,-23.08,287.8921316,6.3,62.82,26.79,2.69,3.56,38.07,-0.61,61.22,30.22,823.8377463,517.5458123,29.81279375,1677.785632,244.51,46.68,-2.3,-0.73,-2.24,25.56,380.46,78.38,16.20042042,672.0003333,0.74,0.88,4.82,68.17513144,0.43,1.74,0.68
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,0.69177729,-91.93203097,1.563205887,16.67,4.048002791,6.29,4.86,1.65,2.13,3.11,2.41,1.01,95.23,31.17,429.4147353,20.87771792,27.76181181,857.7051966,74.95,45.42,5.37,1.68,4.97,7.08,64.47,20.96,54.12754945,127.8877143,0.7,0.83,4.53,68.76514743,0.34,1.07,0.66
