회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,자본집약도_계산,총자본회전률,타인자본회전률,유동자산회전률,재고자산회전률,순운전자본회전률,유동비율,당좌비율,현금비율,총자본투자효율,당좌자산회전률
(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,3.51,-8.28,0.8,108.35,-92.25,694.7452343,-34.51983375,-58.60037718,594.1197573,18.83,66.04694461,51.41,3.53,-19.54,-40.41,-8.35,-13.66,35.86,128.51,19.56,89.81904688,27.17962963,204.0666667,0.66,2.01,1.25,6.42,0.86,200.97,165.03,15.1,12.72,1.55
(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,-16.95,-26.84,2.53,128.63,-92.25,694.7452343,-100.872314,-23.81776809,594.1197573,18.83,55.31740849,80.77,-7.75,-8.1,-11.83,-3.62,-12.71,2.89,10.67,1.66,170.9206997,-0.657014925,425.2910448,0.39,0.93,0.52,5.71,0.42,693.49,649.98,68.81,0.47,0.57
(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,1.96,0.74,1.65,98.55,-92.25,694.7452343,3.419043233,-45.47103205,594.1197573,18.83,87.63197101,14.11,0.7,-19.54,-40.41,-4.93,-13.51,77.91,289.4,34.29,71.28432327,51.11823529,411.4852941,0.36,1.26,0.51,5.39,0.42,694.71,610.74,305.29,12.51,0.56
(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,0.9,0.32,-0.65,99.32,-92.25,694.7452343,1.824364742,8.367992904,594.1197573,18.83,84.38790538,18.5,3.6,-17.73,-40.41,-2.77,-7.06,37.8,132.06,31.04,76.80981107,43.0795122,354.4329268,0.4,2.85,0.68,4.77,0.56,324.58,268.23,101.24,12.16,0.8
(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,-5.37,-7.62,-0.11,113.24,-92.25,694.7452343,-41.33867417,27.29649184,594.1197573,18.83,82.79595317,20.78,-21.04,16.12,3052.28,2.77,5.8,24.21,90.92,15.96,134.4744069,27.67179487,362.7692308,0.47,2.88,0.99,5.22,0.75,296.85,235.21,29.0,7.63,1.22
(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,2.34,2.34,-0.47,95.06,-53.95,694.7452343,15.89493889,30.55318006,930.0944103,86.02,91.10448384,9.76,50.08571429,29.03,0.0,2.58,8.69,62.31,273.6,31.9,63.25389982,65.742875,693.625,0.39,3.36,0.63,5.56,0.54,862.15,792.17,23.52,9.48,0.71
(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,1.57,2.85,-2.72,93.31,-3.47,694.7452343,26.03519839,17.89085598,899.4993022,79.9,89.3909556,11.87,50.08571429,22.67,0.0,2.4,6.34,84.87,389.08,33.01,67.97929441,68.55005,547.84,0.38,3.86,0.52,5.81,0.46,746.28,673.66,34.9,12.51,0.57
(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,2.54,6.01,-1.01,92.86,2.22,694.7452343,55.70005978,8.1440118,954.9511603,90.99,90.90921061,10.0,50.08571429,13.63,0.0,1.24,2.84,106.25,478.91,33.79,67.32648173,75.89031532,515.2252252,0.45,4.53,0.61,6.05,0.55,957.86,856.94,158.5,14.73,0.68
(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,1.83,2.15,-1.86,93.7,2.81,694.7452343,21.96794372,20.32789534,1297.106266,159.42,92.00529945,8.48,303.0,15.35,647.74,0.96,3.16,114.6,438.05,32.47,72.1686029,78.97614108,797.6887967,0.38,5.21,0.51,6.65,0.47,1062.09,940.6,199.55,9.9,0.56
(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,1.01,0.12,-1.27,99.15,3.11,694.7452343,1.547933807,21.19836872,1304.111697,160.82,92.00529945,8.48,79.74,20.27,587.05,1.48,4.47,108.22,475.13,26.4,86.15954025,71.81308017,824.2869198,0.33,4.9,0.51,5.35,0.4,1062.09,940.6,58.94,8.71,0.56
