회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,부가가치율,종업원1인당부가가치율_계산,자기자본회전률,타인자본회전률,시장구분
(주)대호에이엘,069460,201312,200211,,1,0,1,제조업,1,-11.94411033,4.876967624,-7.924354849,-0.57,-66.09607888,1.13,2.69,-94.07242107,92.39,46.18,277.25,11.39,7.62,14.74,13.42,85.53514286,4.241624853,1.36,KOSPI
(주)에이치알에스,036640,201712,200005,,0,0,0,제조업,1,5.933379748,7.597047658,19.87759606,-2.65,73.02025492,7.65,0.37,384.4654169,715.92,552.43,28.15,12.51,4.18,17.97,27.35,115.7353061,0.872714788,3.0,KOSDAQ
(주)더존비즈온,012510,201212,198810,,0,0,0,정보통신업,0,14.85414517,27.08105096,8.002868324,-2.63,69.93355668,13.38,2.8,573.8947585,169.32,163.34,134.02,22.23,19.6,37.39,57.54,104.3864358,1.701754166,1.17,KOSPI
화성밸브(주),039610,201912,200003,,0,0,0,제조업,1,10.59063266,15.76402234,2.852338545,2.78,-8.955798835,3.74,0.13,281.7620841,473.34,242.88,31.94,11.73,4.0,14.25,20.08,61.59918919,1.054039569,2.89,KOSDAQ
(주)한국코퍼레이션,050540,201312,200512,,0,0,0,임대업,1,9.132719016,-24.24588607,-6.277551706,-8.42,-36.75426159,2.39,0.42,-641.0577547,51.15,44.43,114.27,3.48,1.21,50.49,65.0,24.68363309,2.740096946,2.88,KOSDAQ
(주)파워로직스,047310,201112,200307,,0,0,0,제조업,1,-11.08245974,-3.441459355,-14.33648489,-14.89,-415.277778,-5.61,1.04,-737.3956817,94.86,66.01,236.96,-2.85,-1.37,7.54,5.16,-40.5033,2.326696766,2.09,KOSDAQ
효성화학(주),298000,201912,201807,,0,0,0,제조업,1,24.81580361,23.81500828,62.29545174,0.0,136.7687205,8.28,2.0,16360.35769,103.42,73.85,353.81,7.46,6.62,19.37,22.06,344.5574678,6.550720162,1.25,KOSPI
(주)주연테크,044380,201112,200611,,1,1,1,제조업,1,-19.59260961,-27.14446455,-38.67458151,0.77,-432.3986363,-10.89,-1.25,-215.784662,492.13,415.34,28.88,6.45,0.85,-3.59,-5.86,-40.8121374,1.369045167,8.17,KOSPI
삼아제약(주),009300,201712,200007,,0,0,0,제조업,1,3.508098279,4.826518212,-6.198347459,-0.65,-20.52878069,4.61,-2.7,910.8167975,897.8,762.96,8.48,65.87,12.64,18.16,49.35,99.33514658,0.455895453,4.9,KOSDAQ
(주)대명소노시즌,007720,201112,199401,,0,1,1,도매 및 소매업,1,-7.391041626,-10.96854997,-38.67458151,44.64,-217.8527926,-9.81,-2.77,-77.1730262,499.49,481.51,20.87,-2.32,-1.82,-3.18,-5.86,-75.62221774,0.348038399,1.26,KOSDAQ
에코캡(주),128540,202012,201812,,0,0,0,제조업,1,-3.899841732,-16.15472115,8.543924405,-1.97,-432.3986363,-5.74,1.04,-762.5221859,144.59,102.5,107.78,-3.24,-2.68,10.89,17.32,32.76497992,1.00927234,1.28,KOSDAQ
네이버(주),035420,201612,200811,,0,0,0,정보통신업,0,45.25220074,81.95443905,23.72916769,12.35,44.58605496,20.49,-0.93,16360.35769,232.82,232.25,54.27,45.08,25.11,35.89,56.83,461.3718789,1.598799956,1.85,KOSPI
엑스큐어(주),070300,201112,201006,,0,1,1,정보통신업,0,61.05544266,81.32445947,52.20132129,21.57,594.6717064,20.54,-1.71,798.1717378,685.44,618.23,19.57,70.07,11.66,33.43,33.98,142.6174194,1.734919628,6.04,KOSDAQ
(주)유테크,178780,201712,201506,,1,0,1,도매 및 소매업,1,28.44320368,-31.51271657,12.83662028,-17.11,14.29912097,-10.89,4.53,-1678.512735,67.66,59.47,388.92,-7.7,-13.66,-3.59,-5.86,-75.62221774,0.892346687,0.62,KOSDAQ
(주)엘아이에스,138690,201312,201106,,1,0,1,제조업,1,3.660647285,-8.670184879,82.96258463,11.32,80.02492066,-6.76,0.91,-470.1355225,103.39,80.88,125.63,-0.95,-0.59,17.99,20.06,36.955,1.932486929,1.73,KOSDAQ
(주)국순당,043650,201612,200008,,1,0,1,제조업,1,-1.654338279,-2.093502047,-9.996830706,-8.04,20.85798679,-3.02,-1.44,-154.588476,790.47,652.43,9.79,-19.54,-6.36,8.63,26.38,47.00394822,0.355450121,3.73,KOSDAQ
(주)아이오케이컴퍼니,078860,201112,200606,,0,0,0,정보통신업,0,-10.03094153,102.2875763,-12.69250553,-30.12,594.6717064,9.07,2.53,-8.243879395,208.76,208.76,96.41,-19.54,-13.66,50.49,59.57,98.31890625,2.447118517,1.74,KOSDAQ
(주)와이지플러스,037270,201112,200308,,0,0,0,정보통신업,0,26.78204409,34.31593983,16.99464355,7.41,594.6717064,0.46,-1.65,102.9258947,178.6,178.6,47.11,-19.54,-13.66,18.22,31.39,94.00844828,0.604733331,1.58,KOSPI
하이트진로(주),000080,201612,200910,,0,0,0,제조업,1,-1.716443462,-2.468428282,-0.904228885,0.63,-7.449551981,3.61,2.11,539.4707077,67.93,58.68,163.26,11.59,12.93,17.47,31.43,162.4272806,1.438235872,0.89,KOSPI
(주)동양,001520,201112,197606,,1,0,1,제조업,1,2.165076981,58.42777093,2.914681366,39.16,49.43070138,-0.73,5.3,-367.5606233,51.15,33.02,388.92,-4.74,-10.41,9.84,23.96,95.16655455,4.218134826,0.58,KOSPI
(주)제이웨이,058420,201112,200201,,1,1,1,정보통신업,0,-22.36308992,-1.240987421,-20.83152846,9.26,-139.1205996,-10.89,0.2,-258.6707321,103.92,103.92,23.78,102.82,16.52,5.17,4.33,12.5179661,0.828457539,3.8,KOSDAQ
(주)캠시스,050110,201312,200105,,0,0,0,제조업,1,42.00453916,19.71643819,48.58448094,35.25,400.5294552,13.51,0.75,244.272506,125.02,81.69,156.76,2.63,0.95,25.51,15.1,144.9607273,3.363224947,3.42,KOSDAQ
(주)스카이문스테크놀로지,033790,201212,200106,,1,1,1,제조업,1,-7.786620413,-8.362125607,-38.67458151,-15.38,-358.1124348,-10.74,-2.91,-200.7087649,744.0,700.38,12.12,6.42,1.33,-3.43,-5.86,-20.93431818,0.558846517,4.75,KOSDAQ
신세계건설(주),034300,201712,200206,,0,0,0,건설업,1,-7.611005537,24.77988015,-25.9881151,3.49,-52.38733023,3.5,-0.13,7255.5605,64.17,51.49,324.96,-4.02,-1.96,20.43,13.02,194.9746414,6.550720162,1.89,KOSPI
에스엘(주),005850,202012,198811,,0,0,0,제조업,1,2.873399928,3.369098243,10.73306314,7.13,113.6714145,4.04,0.07,1331.92345,186.08,154.41,64.12,6.66,2.43,31.39,29.31,125.5606545,1.883972679,2.77,KOSPI
