회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,자기자본순이익률,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,순운전자본회전률,시장구분
(주)포스코케미칼,003670,202012,201905,,0,0,0,제조업,1,0.0705167947556719,-0.3859852077402364,-0.2015384615384614,-0.29296875,-0.3461981566820277,-0.3325275315605694,0.7903225806451616,KOSPI
(주)네오위즈홀딩스,042420,201312,200006,,0,1,1,정보통신업,0,-1.663162507755874,-0.0931442679469302,1.7492307692307694,0.6474609375,1.7962749615975422,1.5089981197958635,-0.1129032258064513,KOSDAQ
(주)파트론,091700,201112,200612,,0,0,0,제조업,1,2.0291700549237084,0.6125417114046438,1.255384615384615,1.43359375,-0.1514976958525346,-0.2949234488315874,1.0322580645161292,KOSDAQ
(주)일진파워,094820,201612,200711,,0,0,0,건설업,1,0.3762368145694409,-0.0198704811431878,0.4615384615384615,0.4462890624999999,0.7206221198156683,0.6226161697555733,0.7903225806451616,KOSDAQ
(주)한일진공,123840,201712,201010,,1,0,1,제조업,1,0.5033967726160841,-2.915733785871061,-1.0907692307692307,1.9619140625,-0.6561059907834101,-1.588503894708568,-1.258064516129032,KOSDAQ
(주)브이원텍,251630,202012,201707,,0,0,0,제조업,1,0.5686796766570722,0.3804629706962288,0.4215384615384616,0.0654296874999999,1.0286098310291858,0.5742680633897393,-1.0322580645161288,KOSDAQ
(주)유니트론텍,142210,201712,201602,,0,0,0,도매 및 소매업,1,0.7292214541429837,-0.4337026766987306,0.5123076923076924,0.359375,-0.6971966205837175,-0.7719580983078163,1.2903225806451617,KOSDAQ
(주)에스엘바이오닉스,214310,201612,201506,,0,0,0,제조업,1,-0.020457574379233,-2.53644790526489,-2.463076923076923,-4.259765625,-0.407258064516129,-0.4507117915659414,0.0483870967741935,KOSDAQ
(주)티웨이항공,091810,202012,201808,,1,0,1,운수 및 창고업,0,-2.1002257945219567,-5.497345634351675,-2.463076923076923,-4.966796875,-0.3131720430107527,0.6387322052108513,-0.7741935483870965,KOSPI
(주)화승인더스트리,006060,201312,199102,,0,0,0,제조업,1,0.1327596539037254,-0.2886499549087691,-0.3784615384615384,-1.0166015625,-0.3846006144393241,-0.4356701584743486,-0.0806451612903223,KOSPI
어보브반도체(주),102120,201112,200906,,0,0,0,제조업,1,1.4318528178295462,-0.2744272487850057,0.5800000000000001,0.2734375,0.2021889400921659,-0.2315337093741606,0.903225806451613,KOSDAQ
(주)셀트리온,068270,202012,201802,,0,0,0,제조업,1,2.8297135037049364,0.9739555604271112,1.8015384615384615,1.0849609375,0.4656298003072197,1.7163577759871071,-0.8387096774193546,KOSPI
삼정펄프(주),009770,201312,200610,,0,0,0,제조업,1,-0.669884504276437,-0.2644257342082818,0.4846153846153846,0.2958984375,2.133832565284178,0.803115766854687,0.2580645161290325,KOSPI
(주)이아이디,093230,201112,200711,,0,1,1,도매 및 소매업,1,-2.1002257945219567,-1.5199080090788943,-2.463076923076923,-4.091796875,-1.276305683563748,-2.248186946011281,-1.1451612903225803,KOSPI
(주)에이제이에스,013340,201312,198909,41884.0,0,0,0,제조업,1,-1.1756988021916202,-5.497345634351675,-2.463076923076923,-4.966796875,-0.3077956989247312,0.1488047273704001,-1.161290322580645,KOSDAQ
계룡건설산업(주),013580,201112,199601,,0,0,0,건설업,1,0.0218751907462195,-0.0463875648481408,-0.2399999999999999,-0.3779296875,-0.2770737327188941,-0.2562449637389202,-0.225806451612903,KOSPI
(주)지씨셀,144510,201612,201606,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.8956280533670297,-0.4422872869650718,0.1738461538461538,0.21484375,-0.1722350230414747,-0.5291431641149611,0.3709677419354842,KOSDAQ
(주)그린플러스,186230,202012,201908,,0,0,0,제조업,1,1.149177705594553,0.1728538477754595,0.443076923076923,-1.1220703125,-0.5090245775729647,-0.631211388665055,-0.3709677419354836,KOSDAQ
(주)파나진,046210,201112,200008,,1,0,1,제조업,1,0.8941727728765447,0.9616416180614188,-0.8046153846153845,-1.5576171875,-1.062403993855607,-1.6336287939833467,-0.0967741935483868,KOSDAQ
