회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률,시장구분
(주)에이프로젠헬스케어앤게임즈,109960,201212,200911,,1,0,1,도매 및 소매업,1,-1.0284339844094337,1.0021437884565672,-1.2751235584843492,0.3116883116883117,-0.4535353501114798,-0.1805457372713252,-0.968823993685872,-1.0706401766004414,-0.3714891361950186,-0.4824290315230752,-0.5214704759088412,0.022421524663677,-0.1562500000000001,KOSDAQ
(주)휴센텍,215090,201912,201504,,1,0,1,제조업,1,-0.9297308312045806,-4.029712818195541,-2.1795716639209224,0.7857142857142857,-0.5138352492644823,-0.3953370518272431,-1.1266771902131016,-1.2770419426048565,-0.160042395336513,-0.8239083809771359,-0.6423393412390275,-0.1659192825112108,-0.5781250000000001,KOSDAQ
한국유니온제약(주),080720,201812,201807,,0,0,0,제조업,1,0.1719765576516135,0.0417020424980045,0.4678747940691927,0.5779220779220778,0.461755463357376,-0.662700072430991,-1.0627466456195738,-1.443708609271523,0.8314785373608905,-0.0875600111875027,-0.3635242298479262,-0.1838565022421525,-0.7187500000000001,KOSDAQ
(주)에이치알에스,036640,201212,200005,,0,0,0,제조업,1,0.0785656021734868,-0.344367827686346,-0.0897858319604612,-0.2987012987012987,-0.1290146281510431,-0.2622542516756744,1.6756116811365431,0.390728476821192,0.1473237943826178,-0.2030192901288897,-0.3004862837273009,1.5829596412556055,0.4999999999999997,KOSDAQ
(주)신영와코루,005800,201812,197612,,0,0,0,제조업,1,-0.5086193068417596,-0.9418199016997888,-0.6186161449752883,-0.974025974025974,2.012577381352412,2.1790503824449017,-0.09629044988161,-0.445916114790287,-0.0190779014308425,-0.5380616191332938,-0.2291596239889247,1.7713004484304935,-0.1250000000000001,KOSPI
(주)에이치비테크놀러지,078150,201912,200412,,0,0,0,제조업,1,-0.0835721914801837,0.0474462355839734,-0.1771004942339373,0.0519480519480519,-0.2390940232035457,-0.2535559008216269,-0.441594317284925,-0.576158940397351,0.2633810280869104,0.2297493821845199,0.1377211835726133,0.3991031390134528,0.390625,KOSDAQ
평화홀딩스(주),010770,201212,198603,,1,0,1,제조업,1,0.0922350638123348,7.390980493740282,-0.1202635914332784,1.6818181818181817,-0.4823776904812325,0.5270948954111376,-0.4068666140489344,-0.4690949227373068,-0.0026497085320615,-0.4955774983618753,4.203727516663832,-0.4394618834080719,-0.0625,KOSPI
제룡산업(주),147830,201812,201202,,0,0,0,제조업,1,-0.5367722259457052,0.0634434376995536,-0.1746293245469522,-1.512987012987013,-0.0473789558938456,-0.2495032646032794,-0.611681136543015,-0.6589403973509934,0.1483836777954425,0.6368463327308931,0.6542913733889953,1.901345291479821,-0.6718750000000002,KOSDAQ
(주)이라이콤,041520,201212,200307,,0,0,0,도매 및 소매업,1,0.7596078601069783,0.7618236066750792,2.187808896210873,-0.2532467532467533,0.7988151022622311,0.5132716802139141,0.0749802683504341,-0.3024282560706401,-0.3047164811870694,1.1809225530259866,0.4930004314037342,1.1165919282511214,1.6093749999999996,KOSDAQ
씨제이프레시웨이(주),051500,201212,200107,,0,0,0,도매 및 소매업,1,0.6427083225563799,0.151170890108153,1.1680395387149918,0.0064935064935064,0.5308380697688215,-0.1832797957477824,-0.2490134175217048,-0.4403973509933774,-0.7027027027027029,-0.4069782956087662,-0.3550512201112707,0.9506726457399104,2.203125,KOSDAQ
