회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,유보율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,타인자본회전률,순운전자본회전률,시장구분
신라교역(주),004970,201312,197606,,0,1,1,"농업, 임업 및 어업",0,-1.3774205030109306,-0.8943626035919557,-0.1238095238095238,2.7292995585998,0.2212927756653993,-0.1226519337016573,0.419047619047619,-0.0163934426229504,KOSPI
동일금속(주),109860,201512,200907,,0,0,0,제조업,1,0.0324619514376305,6.030962740106674,0.1793650793650793,1.1752843176716994,0.7304182509505703,0.2817679558011049,0.5571428571428572,0.098360655737705,KOSDAQ
(주)라이온켐텍,171120,202012,201311,,0,0,0,제조업,1,-0.9038296391121844,0.4066591467661085,1.1507936507936507,0.1001985277563635,1.5783269961977189,0.4828729281767955,1.3904761904761904,0.918032786885246,KOSDAQ
삼영엠텍(주),054540,201312,200111,,0,0,0,제조업,1,-0.6899036170410343,-0.2024059927323894,-0.0904761904761905,-0.0209375149236929,-0.3768060836501901,-0.3038674033149171,-0.5095238095238096,-0.721311475409836,KOSDAQ
(주)디스플레이테크,066670,201512,200212,,0,1,1,제조업,1,-1.4603151770795055,-0.3985955866429962,0.2888888888888887,0.2885679394729122,2.574524714828897,0.8574585635359117,0.4380952380952381,0.5081967213114755,KOSDAQ
(주)우리넷,115440,201612,201001,,0,0,0,제조업,1,-0.774968563208377,-0.7794436005408066,-0.173015873015873,0.2436297150342137,0.1212927756653992,0.0585635359116022,0.0047619047619046,-0.7049180327868851,KOSDAQ
(주)비상교육,100220,201312,200806,,0,0,0,정보통신업,0,-0.4770226675215782,-0.1621201691835472,0.6015873015873013,0.9217282148193124,0.4011406844106465,1.2364640883977898,-0.3761904761904763,-0.5573770491803276,KOSPI
에스맥(주),097780,201312,200801,,0,0,0,제조업,1,0.6104623820445865,0.3488560301952536,2.519047619047619,0.2755510680247512,1.4110266159695817,0.2176795580110496,1.8142857142857147,2.344262295081968,KOSDAQ
대한화섬(주),003830,201312,198512,,1,1,1,제조업,1,-2.0353976937624334,0.2724497717296204,-0.8904761904761904,3.4213086458496784,-0.6034220532319391,-0.7922651933701657,-0.2047619047619048,0.7377049180327871,KOSPI
(주)광림,014200,201512,199307,,1,0,1,제조업,1,-0.0086588992405459,-0.4848126904668439,-0.5523809523809524,-0.4938224438698585,-0.7562737642585551,-0.8972375690607733,0.7523809523809526,1.885245901639344,KOSDAQ
이엘케이(주),094190,201512,200710,43973.0,0,1,1,제조업,1,-1.9609873553424104,-2.642040097203779,-1.6031746031746033,-0.219001357629674,0.1536121673003802,0.7646408839779005,-0.5285714285714287,-0.4098360655737703,KOSDAQ
(주)세아제강,306200,202012,201810,,0,0,0,제조업,1,-0.4546776885966201,0.1646448241186343,0.1063492063492063,2.0928100205350018,-0.0087452471482889,-0.098342541436464,0.0619047619047618,0.7704918032786888,KOSPI
(주)알파홀딩스,117670,201512,201009,,0,0,0,제조업,1,1.3456277706567856,-0.6667006071761988,-0.3253968253968254,-0.2035762285184097,0.1095057034220532,0.538121546961326,-0.4047619047619049,-0.6885245901639343,KOSDAQ
(주)마크로젠,038290,201612,200002,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.6064336750055718,-0.3143453279125803,-0.3714285714285714,0.5240518764625219,0.2011406844106464,1.1215469613259663,-0.4809523809523811,-0.7377049180327866,KOSDAQ
(주)하이스틸,071090,201412,200302,,1,0,1,제조업,1,0.3658307080362809,6.030962740106674,-0.5142857142857142,0.1131062430498231,-0.3946768060836501,-0.4287292817679557,-0.361904761904762,0.0163934426229508,KOSPI
(주)케이씨피드,025880,202012,199507,,0,0,0,제조업,1,-0.0216035054646831,2.533447511867855,-0.4904761904761905,-0.3356756424863042,-0.4494296577946768,-0.4839779005524861,-0.4952380952380953,-0.6393442622950818,KOSDAQ
신일제약(주),012790,201312,199908,,0,0,0,제조업,1,0.4262245561912205,0.846576953745401,1.5539682539682536,0.3084275373689274,4.080608365019011,1.824309392265193,1.5000000000000002,-0.1475409836065571,KOSDAQ
한일홀딩스(주),003300,201612,196911,,0,0,0,제조업,1,0.1005151233718011,-0.2119262866118858,0.0380952380952379,1.971755844970972,-0.0642585551330798,-0.1027624309392264,-0.0904761904761904,-0.0491803278688521,KOSPI
