회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,시장구분
엘컴텍(주),037950,201212,200008,,0,1,1,제조업,1,-1.438309624611492,-1.2803153907758291,-0.6369426751592357,3.961038961038961,-2.0092341829734064,-0.6950297409013004,-1.2840571891016994,-1.7323406573451972,KOSDAQ
(주)에스앤에스텍,101490,201112,200904,,0,0,0,제조업,1,1.2191282098955205,-0.0238249803024066,0.0461783439490446,1.0194805194805194,-0.1653094075291568,0.159088617804214,1.5624494200161856,-0.4517886326493554,KOSDAQ
백광산업(주),001340,201812,197606,,0,0,0,제조업,1,0.7112923084198477,2.2733150921238185,0.9036624203821658,0.9675324675324676,0.0923410108849658,0.2526464361326747,0.9948745616401404,-0.0225167968040674,KOSPI
(주)셀루메드,049180,201212,200205,,0,0,0,제조업,1,-0.8710112479919415,7.652417232654391,-0.3781847133757962,2.772727272727273,-0.2946739035204659,-0.4163726182074805,-0.4348529808470461,-0.3682585799891048,KOSDAQ
(주)우진,105840,201112,201007,,0,0,0,제조업,1,2.34345492436399,0.3147625728811722,0.3622611464968154,-1.357142857142857,0.9095622332016364,-0.4518600665389655,-0.5729700566495819,0.4822952605774469,KOSPI
이화산업(주),000760,201712,199404,,1,0,1,도매 및 소매업,1,-0.345689884539259,-0.5142212259529706,-0.6035031847133758,2.0324675324675323,-1.1163689889148347,-0.5010585744530698,-0.7164823307256543,-1.1585255129834755,KOSPI
(주)성안,011300,201212,199511,,0,0,0,제조업,1,-0.4720983162895051,-0.5967567149925028,0.0111464968152866,1.6623376623376622,-0.2176075838673817,-0.0800483919749975,0.153223630968438,0.05665516615217,KOSPI
(주)영원무역,111770,201112,200907,,0,0,0,도매 및 소매업,1,0.7212790060682615,0.864402865932483,2.154458598726115,-0.3376623376623376,2.152100077549207,1.057566286924085,0.5190180739142164,1.2667514072998003,KOSPI
(주)와이티엔,040300,201112,200109,,0,0,0,정보통신업,0,0.0500351119507688,0.642774595944678,0.2396496815286624,2.6883116883116887,-0.0978468731536411,-0.1082770440568605,0.6970596169409224,0.4045759941892137,KOSDAQ
(주)윌비스,008600,201912,198907,,1,0,1,도매 및 소매업,1,-0.3938529664074103,-4.910348869129189,-1.9808917197452232,1.753246753246753,-0.7567228753671639,-0.2191753200927512,-0.1435122740760723,-0.422008353005266,KOSPI
(주)뉴인텍,012340,201212,199702,,1,0,1,제조업,1,-0.7604416373482329,-4.910348869129189,-2.541401273885351,1.779220779220779,-0.4976250601264098,-0.5478374836173001,-0.7456164014027515,-0.7989831124023969,KOSDAQ
(주)포스코엠텍,009520,201912,199711,,0,0,0,제조업,1,-0.4478402152724219,-0.3104974104564042,0.5302547770700637,-0.4415584415584415,-0.0964070124104746,0.4554894646637765,-0.2492581602373887,2.2821863083348464,KOSDAQ
(주)녹십자엠에스,142280,201712,201412,,1,0,1,제조업,1,0.3951103824527883,7.652417232654391,-0.6003184713375797,0.1038961038961039,-0.4841270007662883,0.3212017340457707,0.1489074723496088,0.1278372979843836,KOSDAQ
한국정보인증(주),053300,201712,201402,,0,0,0,정보통신업,0,-0.100750475050467,0.2176092519637919,0.2643312101910828,-1.915584415584416,-0.1563295345076572,1.5221292468998888,2.2605880766118154,-0.1271109497003813,KOSDAQ
(주)이즈미디어,181340,201812,201707,,0,0,0,제조업,1,1.9675198778334015,0.8142966445140865,0.2651273885350318,-0.2207792207792207,0.0928041041847191,-0.9099707631817724,-1.2311842460210414,0.1873978572725623,KOSDAQ
